Mass	RT	T0R1L	T0R1R	T0R2L	T0R2R	T1R3L	T1R3R	T1R4L	T1R4R	T2R5L	T2R5R	T2R6L	T2R6R	T3R7L	T3R7R	T3R8L	T3R8R	relation.id	relation.ship	codadw	charge
386.1351199	1229.953758	7.24E+07	3.94E+07	7.30E+08	6.16E+08	6.93E+07	1.91E+07	1.41E+08	6.87E+07	8.77E+07	1.26E+08	4.34E+07	3.08E+07	7.79E+07	2.57E+07	5.41E+07	2.97E+07	22	bp	0.979121884	1
356.1061363	910.8508034	3.94E+08	2.35E+08	7.23E+08	2.88E+08	2.75E+07	1.59E+07	6.11E+07	7.02E+07	9276933	3.06E+07	1.25E+07	1.04E+07	4.87E+07	2.10E+07	1.24E+07	1.08E+07	23	bp	0.959305828	1
203.0923263	994.9446259	2.21E+08	1.26E+08	3.33E+08	4.05E+08	2.95E+08	2.35E+08	5.62E+08	3.81E+08	5.09E+08	2.15E+08	3.40E+08	3.39E+08	3.20E+08	3.39E+08	6.00E+08	2.41E+08	24	bp	0.981491518	1
173.1056304	546.6108742	4.91E+07	6.45E+07	1.02E+08	8.17E+07	1.29E+08	1.89E+08	2.90E+08	2.54E+08	2.50E+08	3.05E+08	2.89E+08	2.78E+08	4.57E+08	5.48E+08	3.49E+08	3.29E+08	25	bp	0.984049778	1
352.1206509	1066.359375	1235840.125	857538.5	2828160.5	2274966.75	1.77E+08	1.26E+08	2.26E+08	3.21E+08	2.20E+08	2.55E+08	1.51E+08	1.81E+08	4.67E+08	3.24E+08	3.00E+08	1.64E+08	26	bp	0.961380243	1
155.0767089	744.8721275	3.03E+08	1.11E+08	4.21E+08	1.06E+08	1.66E+08	2.06E+08	2.80E+08	3.05E+08	2.98E+08	2.76E+08	3.27E+08	2.78E+08	4.56E+08	4.31E+08	4.21E+08	2.50E+08	27	bp	0.973841522	1
335.0386187	522.3561897	2.43E+08	3.23E+08	4.53E+08	2.05E+08	2350894	1.16E+07	1.49E+07	1.44E+07	1.08E+07	9348569	8564292	8850013	1.21E+07	1.29E+07	9586027	8625317	28	bp	0.954728195	1
217.1316246	642.3398666	7.95E+07	7.81E+07	1.07E+08	7.62E+07	1.53E+08	2.29E+08	2.84E+08	2.47E+08	3.04E+08	2.49E+08	3.13E+08	2.80E+08	4.41E+08	4.36E+08	3.54E+08	2.83E+08	29	bp	0.972978818	1
216.1001594	982.1896286	5236893.5	7681016	2.03E+07	1.53E+07	1715878.625	9.67E+07	2.82E+08	3.48E+08	3.02E+08	3.90E+08	2.74E+08	2.13E+08	4.30E+08	2.53E+08	3.31E+08	3.18E+08	30	bp	0.965054262	1
217.0956866	821.6331291	3.08E+07	3.03E+07	4.66E+07	3.61E+07	1.92E+08	2.65E+08	2.96E+08	2.74E+08	3.34E+08	2.50E+08	3.20E+08	3.09E+08	4.29E+08	4.00E+08	3.65E+08	3.28E+08	31	bp	0.970944356	1
298.064202	1235.439377	5.37E+07	2.99E+07	4.18E+08	3.56E+08	5.51E+07	1.55E+07	9.33E+07	1.37E+08	6.00E+07	9.06E+07	3.17E+07	2.34E+07	5.46E+07	1.93E+07	3.93E+07	2.27E+07	32	bp	0.986013901	1
175.0851305	744.0151215	1.60E+07	1.63E+07	2.01E+07	1.49E+07	1.71E+08	1.76E+08	2.56E+08	2.24E+08	2.88E+08	2.31E+08	2.62E+08	2.29E+08	4.10E+08	3.98E+08	3.22E+08	2.45E+08	33	bp	0.973709875	1
148.037653	577.5740013	1.03E+08	6.68E+07	1.22E+08	6.44E+07	1.17E+08	1.92E+08	2.60E+08	2.55E+08	2.01E+08	1.97E+08	2.16E+08	2.09E+08	3.18E+08	3.77E+08	2.58E+08	2.22E+08	34	bp	0.980562024	1
148.0376433	545.7363739	1.03E+08	6.09E+07	1.22E+08	6.29E+07	1.17E+08	1.92E+08	2.60E+08	2.55E+08	2.01E+08	1.97E+08	2.16E+08	2.09E+08	3.18E+08	3.77E+08	2.58E+08	2.22E+08	35	bp	0.986976365	1
318.1503193	997.4903679	9.12E+07	1.18E+08	3.77E+08	2.74E+08	1.93E+08	1.07E+08	3.13E+08	2.93E+08	3.14E+08	3.19E+08	2.68E+08	2.06E+08	2.80E+08	1.81E+08	2.82E+08	3.18E+08	36	bp	0.978404623	1
217.0956396	500.5463734	1.82E+07	2.29E+07	2.49E+07	1.98E+07	4.19E+07	1.65E+08	2.15E+08	1.49E+08	1.95E+08	1.81E+08	2.33E+08	2.10E+08	3.58E+08	3.66E+08	2.41E+08	2.51E+08	37	bp	0.964806248	1
216.1001546	856.5916901	461072.7813	542243.4375	1006367.75	715412.6875	1.28E+08	1.04E+08	1.60E+08	1.46E+08	2.15E+08	2.16E+08	2.09E+08	1.74E+08	3.36E+08	2.75E+08	2.26E+08	2.66E+08	38	bp	0.977146725	1
189.1005007	399.3763771	6.17E+07	8.53E+07	9.33E+07	7.29E+07	4.82E+07	1.74E+08	2.00E+08	1.85E+08	1.65E+08	1.81E+08	1.96E+08	1.79E+08	3.08E+08	3.17E+08	1.94E+08	2.20E+08	39	bp	0.958637779	1
247.1245275	676.0050011	9.07E+07	6.50E+07	9.52E+07	6.01E+07	7.87E+07	8.62E+07	9.96E+07	1.20E+08	1.33E+08	1.47E+08	1.19E+08	1.21E+08	2.93E+08	2.73E+08	1.42E+08	2.34E+08	40	bp	0.973240295	1
283.031945	548.2585286	1.85E+08	1.92E+08	2.56E+08	1.90E+08	0	2.21E+08	2.63E+08	2.74E+08	2.49E+08	2.35E+08	2.22E+08	2.08E+08	2.52E+08	2.35E+08	2.21E+08	2.14E+08	41	bp	0.97307195	1
304.1347076	1111.62812	8.24E+07	4.44E+07	1.07E+08	5.85E+07	1.66E+08	1.12E+08	1.52E+08	2.02E+08	1.63E+08	1.85E+08	1.02E+08	1.23E+08	2.70E+08	1.94E+08	1.61E+08	1.08E+08	42	bp	0.972441028	1
72.03959172	928.7776871	8.61E+07	9.73E+07	2.02E+08	1.55E+08	1.76E+08	1.45E+08	2.29E+08	2.69E+08	2.16E+08	1.98E+08	1.63E+08	1.55E+08	2.66E+08	2.09E+08	1.99E+08	1.36E+08	43	bp	0.981546571	1
231.1110896	707.7918701	7.99E+07	7.93E+07	9.77E+07	6.73E+07	1.04E+08	9.44E+07	1.50E+08	1.50E+08	1.54E+08	1.01E+08	1.76E+08	1.12E+08	2.37E+08	1.36E+08	1.87E+08	1.29E+08	44	bp	0.961547418	1
312.2484864	1085.140633	2.65E+07	2.89E+07	7.98E+07	8.75E+07	1.18E+08	6.66E+07	2.28E+08	2.03E+08	6.18E+07	1.86E+08	7.53E+07	9.98E+07	1.59E+08	1.36E+08	6.24E+07	1.31E+08	45	bp	0.955895902	1
386.1351066	1262.251251	6.75E+07	1.50E+07	1.71E+08	2.26E+08	2.83E+07	1.72E+07	6.94E+07	5.73E+07	3.34E+07	1.47E+07	1.29E+07	1.48E+07	2.17E+07	1.09E+07	2.84E+07	4108255.25	46	bp	0.960755707	1
203.0923768	948.8850021	8376910.5	5522697	8381042.5	9456929	1.17E+08	1.08E+08	1.79E+08	1.58E+08	1.86E+08	9.15E+07	1.36E+08	1.47E+08	1.78E+08	1.86E+08	2.23E+08	8.07E+07	47	bp	0.982470668	1
201.0973996	1177.025635	1.03E+07	4915388.5	1.32E+07	7861372.5	8.22E+07	4.74E+07	1.17E+08	9.59E+07	1.23E+08	1.11E+08	7.35E+07	6.45E+07	2.04E+08	1.27E+08	1.00E+08	6.72E+07	48	bp	0.964674404	1
170.0696146	738.081749	1.91E+08	3.81E+07	2.01E+08	7.71E+07	2808049	2070790.875	5785569	4100366.5	4967240	2510967	4785721	2275388.25	7018241.5	2568587.25	4460979	2789233.25	49	bp	0.979074924	1
187.1212274	802.8837433	7.01E+07	5.75E+07	1.39E+08	8.73E+07	1.04E+08	1.02E+08	1.26E+08	1.84E+08	1.17E+08	1.22E+08	9.90E+07	1.04E+08	1.43E+08	1.21E+08	1.27E+08	7.53E+07	50	bp	0.962552188	1
153.084825	1009.337502	3023045.75	1262191.625	4321391	3269418.25	2.56E+07	1.76E+07	4.76E+07	4.07E+07	5.63E+07	4.86E+07	2.92E+07	2.83E+07	1.68E+08	8.78E+07	5.82E+07	4.32E+07	51	bp	0.972078423	1
72.03956634	596.5656776	620165.9375	514946.4688	613195.375	611794.0625	1.58E+08	885653.8125	1198968.125	1382355.25	1437242.25	1375768.5	1478311.875	1600703.125	3253032	3388839.75	3231994.25	2547879.5	52	bp	0.942599328	1
173.1056076	970.5537491	8854127	1.39E+07	2.27E+07	2.35E+07	3.26E+07	3.77E+07	6.28E+07	4.87E+07	7.00E+07	4.92E+07	5.32E+07	5.79E+07	1.48E+08	9.94E+07	7.59E+07	5.40E+07	53	bp	0.965481786	1
240.0750467	602.1922493	5221335	6388724.5	6250510	5625230.5	4.00E+07	5.72E+07	7.09E+07	8.09E+07	6.88E+07	6.31E+07	8.23E+07	8.57E+07	1.46E+08	1.34E+08	1.18E+08	7.84E+07	54	bp	0.957590525	1
314.0955911	1224.030014	1.17E+07	6127591	1.41E+08	1.13E+08	1.61E+07	6183168	3.68E+07	5.44E+07	2.00E+07	3.09E+07	1.10E+07	8081575.5	1.98E+07	7533264.5	1.39E+07	8256369.5	55	bp	0.976773898	1
188.1052489	720.687439	2.82E+07	2.82E+07	5.08E+07	3.86E+07	5.60E+07	5.46E+07	9.22E+07	1.23E+08	7.26E+07	1.01E+08	7.82E+07	8.52E+07	1.39E+08	1.26E+08	8.20E+07	9.10E+07	56	bp	0.958845807	1
219.0932888	770.7498093	2099022.75	2583450.5	4549340	4098363.25	3.67E+07	4.26E+07	6.80E+07	4.83E+07	9.02E+07	7.14E+07	7.25E+07	8.54E+07	1.36E+08	1.35E+08	1.14E+08	8.61E+07	57	bp	0.962627704	1
203.0923678	1059.848755	8516321	3661253.75	1.03E+07	2286480.5	1.30E+08	607984.8125	2817178.25	1978593.25	872129.5	1139105.625	809463.75	881750.3125	2234602.75	1017248.438	1159825.5	1016933	58	bp	0.966497466	1
229.1318749	749.845005	7.33E+07	8.29E+07	9.70E+07	8.60E+07	7.65E+07	1.08E+08	1.09E+08	1.30E+08	9.81E+07	9.00E+07	8.33E+07	8.62E+07	1.12E+08	1.12E+08	8.53E+07	6.85E+07	59	bp	0.973187292	1
226.1321842	796.2953644	6.82E+07	2.34E+07	1.30E+08	1.80E+07	1.17E+07	2.33E+07	3.69E+07	4.92E+07	3.57E+07	1.96E+07	4.45E+07	2.83E+07	7.16E+07	5.87E+07	6.75E+07	1.69E+07	60	bp	0.959234004	1
189.0795914	525.1741867	1.23E+08	7.69E+07	1517248.5	7.78E+07	1.45E+07	4.57E+07	4.70E+07	4.75E+07	4.09E+07	3.92E+07	4.47E+07	4.71E+07	4.63E+07	4.32E+07	4.27E+07	4.34E+07	61	bp	0.98571056	1
216.1001725	875.3983078	423337.1563	353697.9063	1160715.625	632424.5	1.21E+08	1.10E+07	4.22E+07	5.06E+07	3.44E+07	4.58E+07	2.32E+07	1.19E+07	8.34E+07	2.17E+07	2.33E+07	2.17E+07	62	bp	0.852279016	1
148.0376798	577.7506828	5.39E+07	6.68E+07	6.35E+07	4.89E+07	1.17E+08	5.95E+07	6.09E+07	6.25E+07	5.37E+07	4.55E+07	6.75E+07	5.86E+07	7.97E+07	8.37E+07	7.39E+07	5.84E+07	63	bp	0.974034943	1
386.1351025	1224.934357	2.57E+07	4480744.5	1.13E+08	8.90E+07	3020030.75	7042060.5	4.82E+07	6.87E+07	2.88E+07	3.76E+07	1.40E+07	1.00E+07	2.65E+07	8258488.5	1.79E+07	1.00E+07	64	bp	0.963842918	1
340.2797189	1192.530647	8974825	6285048.5	2.75E+07	2.75E+07	4.28E+07	1.12E+07	1.00E+08	6.53E+07	1.67E+07	4.60E+07	1.41E+07	2.26E+07	4.70E+07	2.31E+07	1.53E+07	3.89E+07	65	bp	0.958085929	1
386.1350962	1259.893768	3.14E+07	5436611.5	9.58E+07	8.73E+07	8753088	9037435	5.63E+07	5.63E+07	1.75E+07	1.43E+07	5119016	5466876.5	8227123.5	5105321.5	1.10E+07	1917235.25	66	bp	0.934587022	1
216.100168	945.2280006	2931371.5	2157407.75	3147893.25	3707339	151133.9688	3.72E+07	7.44E+07	6.27E+07	7.44E+07	3.69E+07	5.33E+07	5.39E+07	7.93E+07	7.42E+07	9.56E+07	3.13E+07	67	bp	0.960376501	1
440.1550821	1113.351875	3033750.5	1962904.5	4475477.5	2515869.5	5658070.5	4560602.5	5942365.5	1.73E+07	5421019.5	1.09E+07	1903721.875	7647222	9.52E+07	4.51E+07	2.24E+07	3.25E+07	68	bp	0.966806916	1
185.0872024	788.8829994	1.50E+07	1.12E+07	1.81E+07	1.04E+07	3.15E+07	2.73E+07	4.55E+07	4.22E+07	6.01E+07	3.73E+07	7.06E+07	4.14E+07	9.28E+07	5.73E+07	8.36E+07	4.74E+07	69	bp	0.963011166	1
386.1351108	1240.245003	1.05E+07	5283267	9.14E+07	8.25E+07	8753088	3188381	1.83E+07	2.51E+07	1.19E+07	1.49E+07	5593724.5	4201050	1.04E+07	3365029.25	6612025.5	3788289.75	70	bp	0.954683962	1
216.1001748	876.0892525	804674.125	583871	1160715.625	661293.3125	3.10E+07	2.82E+07	4.22E+07	5.06E+07	4.57E+07	4.58E+07	4.44E+07	4.24E+07	9.06E+07	6.96E+07	6.51E+07	4.26E+07	71	bp	0.959672759	1
209.9933222	800.6305046	1.22E+07	1.46E+07	5.46E+07	1.76E+07	5.48E+07	2.09E+07	7.49E+07	8.20E+07	2.06E+07	7.65E+07	2.20E+07	2.12E+07	4.51E+07	5.87E+07	2.05E+07	2.88E+07	72	bp	0.997523495	1
173.1056146	1394.881866	1.93E+07	3513010.25	5.48E+07	2.40E+07	2.06E+07	3.46E+07	3.17E+07	3.91E+07	8.09E+07	3.84E+07	5124453.5	2.54E+07	3.59E+07	2.03E+07	3.00E+07	3148526.75	73	bp	0.990516637	1
244.0884552	469.862999	7.90E+07	2.12E+07	3.65E+07	2.11E+07	7602701.5	1.42E+07	5.34E+07	4.85E+07	4.52E+07	1.42E+07	2.47E+07	1.69E+07	5.52E+07	2.81E+07	4.88E+07	1.97E+07	74	bp	0.981594294	1
