peakID, mass, rt, intensity
0, 115.06328573368826, 577.2680053710938, 2.07935616E9
1, 117.07894145664908, 529.8209838867188, 1.69812992E9
2, 103.09961983676502, 932.0130004882812, 1.231442304E9
3, 257.10263614620476, 605.9390258789062, 1.099428992E9
4, 135.05452246252298, 496.76300048828125, 5.99815168E8
5, 137.0477186540849, 545.9990234375, 4.568576E8
6, 234.1578635223191, 529.8209838867188, 4.29283712E8
7, 265.1159156785441, 635.0460205078125, 2.94813312E8
8, 129.0426213031979, 482.7659912109375, 2.47324512E8
9, 145.0850527793622, 643.7899780273438, 2.25382736E8
10, 277.11608999089907, 542.280029296875, 1.77812096E8
11, 151.04939211162903, 589.7000122070312, 1.65917856E8
12, 125.0476353491773, 420.5199890136719, 1.5908192E8
13, 129.07899068789538, 567.2880249023438, 1.52407184E8
14, 128.0585253621503, 630.0640258789062, 1.19359424E8
15, 103.06327430416444, 646.27197265625, 1.18432208E8
16, 116.0665874784033, 577.2680053710938, 1.17956944E8
17, 155.06948347766428, 621.073974609375, 1.1004396E8
18, 258.10588102054646, 605.9390258789062, 9.6304432E7
19, 362.2091949086408, 205.73599243164062, 9.1229792E7
20, 118.08232593075076, 529.8209838867188, 9.0325936E7
21, 531.432229856532, 222.13999938964844, 8.5848112E7
22, 293.14725123907346, 470.9429931640625, 8.5805904E7
23, 104.10299153785262, 932.0130004882812, 8.2191512E7
24, 279.13165918725304, 500.4830017089844, 7.895816E7
25, 279.0844945592046, 609.64697265625, 7.6230336E7
26, 521.1955698327452, 659.9959716796875, 7.4982168E7
27, 521.1956083694669, 663.8939819335938, 7.0081376E7
28, 136.0384957655468, 512.3200073242188, 6.9903648E7
29, 204.0609578806823, 613.3880004882812, 6.9347824E7
30, 225.11111526565614, 415.5119934082031, 6.9277E7
31, 348.1936514134685, 208.31300354003906, 6.0982396E7
32, 279.08449211281845, 602.2239990234375, 5.908856E7
33, 188.15239899345343, 859.3839721679688, 5.6511936E7
34, 136.03851770657351, 482.7659912109375, 5.53942E7
35, 165.11533661369387, 694.0369873046875, 5.4906184E7
36, 182.07902988845876, 613.3880004882812, 4.8964084E7
37, 175.09567818673133, 653.7579956054688, 4.8279332E7
38, 251.10035695885625, 592.2579956054688, 4.6108228E7
39, 293.1472723767451, 459.5979919433594, 4.5728004E7
40, 235.16116179804723, 529.8209838867188, 4.4345628E7
41, 174.11165152929962, 1002.6699829101562, 4.2606024E7
42, 156.0535054833981, 510.90301513671875, 4.1611784E7
43, 273.08474082908805, 539.7550048828125, 4.1120784E7
44, 126.04285230109876, 410.32598876953125, 4.0250532E7
45, 234.11143049798451, 413.0329895019531, 4.0185984E7
46, 169.07385381921046, 433.3489990234375, 3.832038E7
47, 230.12659298888823, 576.0330200195312, 3.8257776E7
48, 204.0899061346737, 553.5269775390625, 3.6771424E7
49, 258.0850774849862, 482.7659912109375, 3.5572432E7
50, 228.1474137968685, 491.62200927734375, 3.5287752E7
51, 269.14728317390325, 468.4700012207031, 3.526048E7
52, 145.11026425610277, 274.85101318359375, 3.5201888E7
53, 252.12072314516973, 467.2340087890625, 3.508932E7
54, 297.0893994393602, 409.0899963378906, 3.5054204E7
55, 107.03705671712585, 420.5199890136719, 3.4856424E7
56, 202.14299073164176, 859.3839721679688, 3.4492924E7
57, 138.05105073470517, 545.9990234375, 3.4128796E7
58, 226.0951866152731, 428.34100341796875, 3.3222366E7
59, 274.10261908273196, 467.2340087890625, 3.2929518E7
60, 136.0578463852857, 496.76300048828125, 3.2562818E7
61, 266.1192237191505, 633.8040161132812, 3.2313062E7
62, 132.08983941092967, 873.60498046875, 3.1991762E7
63, 192.13617431243514, 277.7019958496094, 3.1298328E7
64, 251.10165122939216, 438.406005859375, 2.9635886E7
65, 327.13176501222847, 445.8900146484375, 2.9501134E7
66, 387.1739891041605, 514.7930297851562, 2.9452342E7
67, 225.12117600982882, 467.2340087890625, 2.926255E7
68, 146.0690937951369, 628.8159790039062, 2.8795256E7
69, 131.0946554776405, 519.739013671875, 2.84182E7
70, 427.16899259464674, 650.0330200195312, 2.8206894E7
71, 145.11025358320663, 777.4749755859375, 2.7750932E7
72, 532.4357818577424, 222.13999938964844, 2.747688E7
73, 281.1120573022649, 409.0899963378906, 2.742005E7
74, 278.1474086268455, 410.32598876953125, 2.6891066E7
75, 112.06365345379005, 454.625, 2.5932626E7
76, 151.0997007356331, 261.65399169921875, 2.5753016E7
77, 132.0534522940442, 636.2890014648438, 2.551977E7
78, 226.0952452452494, 448.3810119628906, 2.5479008E7
79, 125.0589379679508, 478.8340148925781, 2.4917608E7
80, 226.09528215859487, 457.12200927734375, 2.4004612E7
81, 183.0660122435237, 614.625, 2.3100436E7
82, 117.0789109623841, 567.2880249023438, 2.2844638E7
83, 151.0996924110587, 198.22300720214844, 2.198848E7
84, 233.0898531679996, 592.2579956054688, 2.1954712E7
85, 683.2482117898709, 677.7360229492188, 2.188157E7
86, 359.1426059003198, 659.9959716796875, 2.1807478E7
87, 235.10545080320287, 239.11099243164062, 2.1541436E7
88, 363.2127931050697, 205.73599243164062, 2.1441922E7
89, 152.06844520982762, 585.9669799804688, 2.1324176E7
90, 278.11945429165644, 542.280029296875, 2.1189112E7
91, 308.1581832063846, 798.2000122070312, 2.1054264E7
92, 265.15235165774664, 872.3350219726562, 2.0481138E7
93, 181.07392817541245, 585.9669799804688, 2.0474944E7
94, 137.04528176880189, 577.2680053710938, 2.0002934E7
95, 111.04328014304701, 550.9580078125, 1.9761036E7
96, 243.0856478492398, 559.7420043945312, 1.9470474E7
97, 159.1259354418426, 467.2340087890625, 1.9008424E7
98, 403.19937937165275, 239.11099243164062, 1.8565472E7
99, 131.0582200396881, 567.2880249023438, 1.8472026E7
100, 130.11061326110095, 921.6799926757812, 1.8450726E7
101, 103.06325474292402, 415.5119934082031, 1.8100776E7
102, 290.07664239933786, 464.5830078125, 1.7869386E7
103, 246.05042183951792, 544.760986328125, 1.769212E7
104, 256.13975943778644, 528.583984375, 1.7181418E7
105, 145.07386365574382, 661.2349853515625, 1.717545E7
106, 215.05582464376292, 636.2890014648438, 1.7032534E7
107, 266.11261749127686, 584.72802734375, 1.6595004E7
108, 69.0578813847966, 577.2680053710938, 1.6431632E7
109, 125.05892094508617, 510.90301513671875, 1.6217209E7
110, 188.11602645716198, 563.552978515625, 1.6189324E7
111, 165.07903002430663, 500.4830017089844, 1.5979306E7
112, 241.10612557100336, 478.8340148925781, 1.596094E7
113, 281.11092056668485, 553.5269775390625, 1.5781133E7
114, 179.09457122758735, 272.3599853515625, 1.5675643E7
115, 190.0952335496243, 597.22802734375, 1.5674553E7
116, 202.1065464189094, 650.0330200195312, 1.5658617E7
117, 259.1055649345648, 542.280029296875, 1.5538393E7
118, 115.06331518758942, 613.3880004882812, 1.5499854E7
119, 149.07017259536732, 438.406005859375, 1.5326802E7
120, 514.4057674886802, 219.48399353027344, 1.5260396E7
121, 522.1993177221841, 659.9959716796875, 1.5258912E7
122, 184.08471850802385, 420.5199890136719, 1.5173984E7
123, 229.09499921539737, 470.9429931640625, 1.5152954E7
124, 157.073900090676, 281.4320068359375, 1.5015682E7
125, 151.09975346736897, 213.25599670410156, 1.4389218E7
126, 174.05043505382656, 588.458984375, 1.4247685E7
127, 183.05662398340743, 539.7550048828125, 1.4188951E7
128, 208.0846687847667, 415.5119934082031, 1.4006026E7
