StdMix1_81, Phosphoenolpyruvate, C3H5O6P, 167.9823744053
StdMix1_82, 6-Phospho-D-gluconate, C6H13O10P, 276.02463315082
StdMix1_83, Thiamin diphosphate, C12H18N4O7P2S, 424.03714266818
StdMix1_84, L-Glutamate, C5H9NO4, 147.0531577829
StdMix1_85, D-glucose, C6H12O6, 180.06338811828
StdMix1_86, D-Erythrose, C4H8O4, 120.04225874552
StdMix1_87, Maltose, C12H22O11, 342.11621155017997
StdMix1_88, 2-oxobutanoate, C4H6O3, 102.03169405914
StdMix1_89, 2-Methylcitrate, C7H10O7, 206.04265267609998
StdMix1_9, riboflavin, C17H20N4O6, 376.13828439635995
StdMix1_90, Glyoxylate, C2H2O3, 74.00039393058
StdMix1_91, glycolate, C2H4O3, 76.01604399486
StdMix1_92, methylglyoxal, C3H4O2, 72.02112937276
StdMix1_93, IDP, C10H14N4O11P2, 428.01343033802004
StdMix1_94, ADP, C10H15N5O10P2, 427.0294147533
StdMix1_95, D-Fructose 1_6-bisphosphate, C6H14O12P2, 339.99604893916
StdMix1_96, CoA, C21H36N7O16P3S, 767.11520837332
StdMix1_97, 2_3-Bisphospho-D-glycerate, C3H8O10P2, 265.95926950212004
StdMix1_98, 3-Hydroxyphenylacetate, C8H8O3, 152.04734412342
StdMix1_99, Deoxyribose, C5H10O4, 134.05790880979998
