	RT	Std3
203.1157726041014	523.7570190429688	5.204522496E9
78.01388688424859	391.70001220703125	2.787823616E9
123.03205250639083	410.5169982910156	2.665058048E9
145.1101653650435	826.697021484375	2.365383168E9
202.07741273778865	437.0379943847656	1.229260928E9
189.0636150114531	586.7789916992188	1.127167872E9
156.0278298153193	391.70001220703125	1.087526272E9
170.10540312462	364.06500244140625	1.076071168E9
147.03531834773605	374.0539855957031	7.89623296E8
205.05955166181573	292.239990234375	7.33909248E8
131.0582377223726	575.4000244140625	6.8453408E8
124.06358560400618	437.0379943847656	6.25391872E8
188.032979028328	292.239990234375	5.60578112E8
204.11903721490222	524.9970092773438	4.97752928E8
124.06363076013115	364.06500244140625	3.97535872E8
244.08786020620926	443.239990234375	3.94587168E8
147.08942284733072	362.8280029296875	3.84353696E8
211.08778987512386	575.4000244140625	3.01002976E8
124.06360859062166	419.3559875488281	2.66342672E8
129.0426011078195	585.5440063476562	2.647512E8
161.10512348701818	586.7789916992188	2.57725056E8
211.04555347201267	586.7789916992188	2.34687376E8
142.07425696102501	512.3880004882812	2.26070032E8
246.07134683530072	451.9779968261719	2.11626768E8
182.1054851806391	365.30499267578125	2.09267664E8
324.04469219343576	533.8489990234375	1.88122752E8
124.06368299332786	512.3880004882812	1.87115648E8
146.11348318377816	826.697021484375	1.8092152E8
124.03536420895063	410.5169982910156	1.71263712E8
171.0530744606128	585.5440063476562	1.68933968E8
113.04773033594135	575.4000244140625	1.680548E8
80.00969130713672	394.3609924316406	1.45537664E8
142.07421524489544	365.30499267578125	1.36255664E8
404.1546531133722	437.0379943847656	1.30305992E8
78.01388400511529	1302.4599609375	1.21856816E8
211.08774978256525	535.0859985351562	1.17187224E8
203.08077695374405	437.0379943847656	1.04668304E8
165.0425454422945	1348.68994140625	1.02449408E8
158.0235870433572	394.3609924316406	1.02043576E8
78.01388075499715	1233.1400146484375	1.01640936E8
101.04767388322283	381.5429992675781	1.01175288E8
221.0542747144371	361.57501220703125	9.9194192E7
78.0138816863975	1216.47998046875	9.9114208E7
171.10872096268224	364.06500244140625	9.5421112E7
78.01388010874797	1189.530029296875	9.5282208E7
119.05821484269258	638.3599853515625	9.4377568E7
78.01387862109381	1170.1600341796875	9.191268E7
78.01387679745481	1141.77001953125	9.0120456E7
78.01387633300972	1141.77001953125	9.0120456E7
78.01388093942614	1049.8800048828125	8.879864E7
78.01392105411321	561.406005859375	8.6856392E7
78.01387384341113	1111.8800048828125	8.6175792E7
78.01387339689742	1096.4100341796875	8.5103552E7
78.01393034004097	538.833984375	8.5008008E7
190.06693289600557	586.7789916992188	8.3834184E7
78.01387600106929	1080.81005859375	8.3000896E7
78.01393639170489	571.6829833984375	8.122E7
281.05752777875136	284.63800048828125	8.1003096E7
165.04252823428737	1338.4200439453125	7.9463936E7
156.08983717423592	398.093994140625	7.9126312E7
122.04803130003441	403.10699462890625	7.7996696E7
78.01392570157873	603.1309814453125	7.7504864E7
78.01390470449634	649.9869995117188	7.5763888E7
78.01389763645345	810.4340209960938	7.3770928E7
78.01388553051407	725.25	7.2164272E7
78.01388660740314	761.739013671875	7.1973368E7
78.01388654979948	680.9509887695312	7.0841808E7
78.01388709279087	739.64501953125	6.9788288E7
207.05529351084633	294.70599365234375	6.6182352E7
79.01720177610369	391.70001220703125	6.6045284E7
233.06959159512743	610.625	6.5415352E7
206.06292321450803	294.70599365234375	5.9989628E7
160.03808373012163	292.239990234375	5.8314892E7
224.08951142944403	453.2200012207031	5.6675036E7
147.05308966451997	586.7789916992188	5.6097396E7
162.12555216414538	261.5820007324219	5.5464864E7
165.04256020455276	1362.5899658203125	5.4965652E7
204.07324423088852	437.0379943847656	5.3468804E7
145.07390466336759	382.989990234375	5.1969844E7
190.0287262489925	292.239990234375	5.1646756E7
119.04048191910341	389.2149963378906	5.0541616E7
188.07966153178094	493.43499755859375	4.9906824E7
410.1188632011632	294.70599365234375	4.9818428E7
124.06361707606402	398.093994140625	4.8606832E7
157.03117657708668	393.1189880371094	4.798464E7
189.03624404326706	294.70599365234375	4.6714736E7
