	RT	Std3_1in1000
123.03204902423803	408.52099609375	4.3459336E7
206.15183582570785	256.15899658203125	4.0607184E7
78.0139322350865	389.53900146484375	3.0725196E7
162.12555878861372	262.4939880371094	2.6004062E7
232.90740427117493	1362.2900390625	2.0397434E7
234.90554831895113	1362.2900390625	1.810461E7
176.0473430153287	239.61900329589844	1.8005364E7
303.2407822492595	230.51100158691406	1.5832616E7
241.27670388730695	36.95909881591797	1.5710192E7
222.08915249168803	239.61900329589844	1.4072312E7
223.17827941503376	256.15899658203125	1.2668363E7
198.16200549695722	230.51100158691406	1.1638353E7
303.2406878247094	1331.2099609375	1.1382967E7
117.0789737578209	536.6370239257812	1.0837149E7
403.1993009569896	240.86500549316406	9691386.0
266.16447758209705	231.9459991455078	9393327.0
113.05894265914401	499.7359924316406	9130192.0
115.06334823153556	581.958984375	8872179.0
192.13620127703987	281.385009765625	6933236.5
249.04351498518687	588.239990234375	6774895.5
198.16193314554152	1331.2099609375	6386106.0
286.214158006532	229.26100158691406	6256019.5
150.08921178475205	361.72698974609375	6026735.0
148.0160607262692	239.61900329589844	5712275.0
653.324387621848	221.21299743652344	5563393.5
386.1727745385326	242.33599853515625	5177000.0
205.05953748335142	295.3429870605469	4787471.0
110.10955581075268	229.26100158691406	4671686.0
278.15160675853235	230.51100158691406	4612952.0
286.21402824609896	1331.2099609375	4282395.5
207.155133121338	256.15899658203125	4272397.0
323.83830107925723	1360.75	4227942.0
404.19205328982207	1350.6199951171875	4220557.0
236.90375168211517	1360.75	3974083.5
145.1102821120838	585.7440185546875	3955322.75
179.15212709153747	262.4939880371094	3870727.5
232.90735231568274	2.160939931869507	3831130.5
323.83830032358935	1383.02001953125	3808103.0
232.90744379872118	64.98909759521484	3795108.25
232.9074373054549	91.72740173339844	3789236.75
232.90744656820144	36.95909881591797	3757598.75
188.03291916101958	295.3429870605469	3738093.5
232.90744386503806	267.50299072265625	3706239.0
232.90744047295365	127.58999633789062	3705225.0
232.90743280169815	147.87100219726562	3686552.0
232.90746282966217	228.01199340820312	3577957.75
232.90744644944326	198.55499267578125	3569717.0
234.90559576030643	82.8917007446289	3453672.75
