m/z,RT,Intensity,Identification,Prob
133.060739,1220.239990,655282.250000,StdMix2_42;M+H;[12C]4[1H]9[14N]2[16O]3,0.985000
206.055269,1366.880005,634850.500000,StdMix2_44;M+Na;[12C]5[1H]14[14N]1[16O]4[31P]1[23Na]1,1.000000
517.302138,289.690002,621544.875000,StdMix2_65;M+H;[12C]25[13C]1[1H]46[14N]1[16O]7[32S]1,1.000000
365.105578,928.427979,609932.937500,StdMix2_77;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
175.107733,1053.199951,606419.062500,StdMix2_37;M+H;[12C]7[1H]15[14N]2[16O]3,0.985000
269.107112,765.114014,598674.750000,StdMix2_16;M+H;[12C]9[13C]1[1H]14[14N]5[16O]4,1.000000
284.098849,745.265991,585448.500000,StdMix2_17;M+H;[12C]10[1H]14[14N]5[16O]5,1.000000
193.068119,1223.349976,542707.500000,StdMix2_43;M+2H;[12C]14[1H]22[14N]6[16O]5[32S]1,1.000000
173.128320,861.612000,500717.375000,StdMix2_19;M+ACN+H;[12C]8[1H]17[14N]2[16O]2,1.000000
124.058479,517.734985,484196.406250,StdMix2_10;M+H;[12C]5[13C]1[1H]7[14N]2[16O]1,1.000000
159.112852,1082.949951,480399.562500,StdMix2_24;M+ACN+H;[12C]7[1H]15[14N]2[16O]2,1.000000
131.081587,1074.000000,473389.656250,StdMix2_30;M+ACN+H;[12C]5[1H]11[14N]2[16O]2,1.000000
263.196437,976.038025,469657.937500,StdMix2_19;2M+H;[12C]12[1H]27[14N]2[16O]4,1.000000
177.102120,769.632019,454697.250000,StdMix2_4;M+2ACN+H;[12C]10[1H]13[14N]2[16O]1,1.000000
208.144365,797.658020,442349.250000,StdMix2_14;M+NH4;[12C]11[1H]18[14N]3[16O]1,0.995000
155.100521,1025.689941,432742.875000,StdMix2_26;M+H;[12C]6[13C]1[1H]12[14N]3[16O]1,0.995000
171.112725,864.918030,431740.968750,StdMix2_55;M+NH4;[12C]8[1H]15[14N]2[16O]2,1.000000
187.143982,900.390015,368614.125000,StdMix2_23;M+ACN+H;[12C]9[1H]19[14N]2[16O]2,1.000000
192.121035,766.619995,359589.281250,StdMix2_14;M+H;[12C]10[13C]1[1H]15[14N]2[16O]1,1.000000
165.065772,473.251007,357404.718750,StdMix2_2;M+ACN+H;[12C]8[1H]9[14N]2[16O]2,0.885000
133.097077,1560.130005,356322.468750,StdMix2_51;M+H;[12C]5[1H]13[14N]2[16O]2,1.000000
203.139135,1163.810059,349655.031250,StdMix2_29;M+ACN+H;[12C]9[1H]19[14N]2[16O]3,1.000000
261.087896,1377.439941,314717.343750,StdMix2_47;M+Na;[12C]8[1H]18[14N]2[16O]4[32S]1[23Na]1,1.000000
300.092323,595.200989,314294.718750,StdMix2_12;M+H;[12C]11[1H]16[14N]5[16O]3[34S]1,0.995000
221.121184,383.648987,314217.218750,StdMix2_7;M+H;[12C]8[13C]1[1H]18[14N]1[16O]5,1.000000
151.080587,825.497986,307918.937500,StdMix2_18;M+H;[12C]5[13C]1[1H]8[14N]5,0.980000
77.072543,1102.839966,303111.406250,StdMix2_39;M+H;[12C]3[1H]10[15N]1[16O]1,0.930000
133.105076,813.197998,294585.375000,StdMix2_19;M+H;[12C]5[13C]1[1H]14[14N]1[16O]2,1.000000
427.159040,618.023987,273273.406250,StdMix2_43;M+ACN+H;[12C]15[13C]1[1H]24[14N]7[16O]5[32S]1,1.000000
195.112695,377.980988,272426.968750,StdMix2_55;M+ACN+H;[12C]10[1H]15[14N]2[16O]2,0.855000
105.110389,1081.459961,262785.687500,StdMix2_34;M+H;[12C]4[13C]1[1H]14[14N]1[16O]1,0.975000
163.115541,1047.130005,261408.265625,StdMix2_29;M+H;[12C]6[13C]1[1H]16[14N]1[16O]3,1.000000
134.032484,1082.949951,256356.296875,StdMix2_36;M+Na;[12C]4[1H]5[14N]3[16O]1[23Na]1,1.000000
221.577034,616.367981,255679.078125,StdMix2_69;M+2H;[12C]19[1H]21[14N]7[16O]6,1.000000
76.088571,1689.020020,253112.234375,StdMix2_54;M+H;[12C]3[1H]11[14N]1[15N]1,1.000000
183.084408,900.390015,227042.765625,StdMix2_60;M+NH4;[12C]8[13C]1[1H]12[14N]1[16O]3,1.000000
261.144714,1148.579956,222402.812500,StdMix2_7;M+ACN+H;[12C]11[1H]21[14N]2[16O]5,1.000000
399.148707,496.897003,218655.468750,StdMix2_67;2M+Na;[12C]14[1H]24[14N]4[16O]8[23Na]1,1.000000
190.090157,514.831970,205788.515625,StdMix2_67;M+H;[12C]6[13C]1[1H]13[14N]2[16O]4,1.000000
246.098538,382.234985,203632.281250,StdMix2_6;M+H;[12C]9[13C]1[1H]17[14N]2[16O]3[32S]1,1.000000
165.054568,900.390015,180453.984375,StdMix2_60;M+H;[12C]9[1H]9[16O]3,1.000000
512.169297,387.890015,174260.187500,StdMix2_6;2M+Na;[12C]19[13C]1[1H]32[14N]4[16O]6[32S]2[23Na]1,1.000000
86.581487,1621.930054,170372.171875,StdMix2_53;M+ACN+2H;[12C]7[1H]19[14N]5,1.000000
243.103180,389.303986,154715.109375,StdMix2_7;M+Na;[12C]8[13C]1[1H]17[14N]1[16O]5[23Na]1,1.000000
227.052381,429.217010,153706.718750,StdMix2_62;2M+Na;[12C]8[1H]12[16O]6[23Na]1,0.995000
119.089496,963.888000,151603.546875,StdMix2_24;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2,1.000000
187.163537,1095.109985,142397.890625,StdMix2_34;M+2ACN+H;[12C]8[13C]1[1H]20[14N]3[16O]1,1.000000
538.280581,289.690002,137946.578125,StdMix2_65;M+Na;[12C]26[1H]45[14N]1[16O]7[32S]1[23Na]1,1.000000
442.146887,618.023987,130969.671875,StdMix2_69;M+H;[12C]19[1H]20[14N]7[16O]6,1.000000
146.100392,1053.199951,130873.179688,StdMix2_32;M+ACN+H;[12C]5[13C]1[1H]13[14N]2[16O]2,1.000000
533.325267,292.709991,125909.367188,StdMix2_65;M+NH4;[12C]26[1H]49[14N]2[16O]7[32S]1,1.000000
212.072006,495.337006,124170.367188,StdMix2_67;M+Na;[12C]6[13C]1[1H]12[14N]2[16O]4[23Na]1,1.000000
95.046812,2059.250000,120951.710938,StdMix2_67;M+2H;[12C]7[1H]14[14N]2[16O]4,1.000000
292.230964,983.460022,117608.531250,StdMix2_23;2M+H;[12C]13[13C]1[1H]31[14N]2[16O]4,1.000000
240.109120,1375.930054,115395.085938,StdMix2_47;M+H;[12C]7[13C]1[1H]19[14N]2[16O]4[32S]1,1.000000
79.577641,1703.959961,111767.656250,StdMix2_54;M+2ACN+2H;[12C]6[13C]1[1H]18[14N]4,1.000000
171.076232,427.679993,111372.359375,StdMix2_11;M+ACN+H;[12C]7[1H]11[14N]2[16O]3,0.990000
148.121440,990.882019,110342.257813,StdMix2_23;M+H;[12C]7[1H]16[14N]1[16O]1[18O]1,1.000000
235.107651,734.495972,107562.914063,StdMix2_59;M+ACN+H;[12C]12[1H]15[14N]2[16O]3,1.000000
168.099238,993.864014,104558.015625,StdMix2_23;M+Na;[12C]7[1H]15[14N]1[16O]2[23Na]1,0.995000
136.075618,330.373993,102028.257813,StdMix2_4;M+ACN+H;[12C]8[1H]10[14N]1[16O]1,0.975000
489.183898,387.890015,101129.687500,StdMix2_6;2M+H;[12C]20[1H]33[14N]4[16O]6[32S]2,1.000000
225.120836,1173.140015,100393.156250,StdMix2_29;M+ACN+Na;[12C]9[1H]18[14N]2[16O]3[23Na]1,1.000000
171.095675,1522.310059,98435.359375,StdMix2_49;M+H;[12C]6[13C]1[1H]12[14N]3[16O]2,0.940000
116.118196,1736.859985,88516.367188,StdMix2_54;M+ACN+H;[12C]5[1H]14[14N]3,1.000000
385.129023,1223.349976,85206.460938,StdMix2_43;M+H;[12C]14[1H]21[14N]6[16O]5[32S]1,1.000000
169.068653,914.591980,84278.171875,StdMix2_20;M+H;[12C]7[13C]1[1H]10[14N]1[16O]3,0.960000
134.094318,1612.979980,82004.046875,StdMix2_51;M+H;[12C]5[1H]13[14N]1[15N]1[16O]2,1.000000
197.089696,1078.479980,80865.125000,StdMix2_37;M+Na;[12C]7[1H]14[14N]2[16O]3[23Na]1,0.995000
158.128649,876.323975,80214.218750,StdMix2_39;M+2ACN+H;[12C]7[1H]16[14N]3[16O]1,0.995000
123.084338,1283.010010,77065.937500,StdMix2_30;M+CH3OH+H;[12C]3[13C]1[1H]12[14N]1[16O]3,0.995000
247.090993,386.476013,73920.367188,StdMix2_6;M+H;[12C]10[1H]17[14N]2[16O]3[34S]1,1.000000
113.053920,1076.979980,73856.414063,StdMix2_36;M+H;[12C]3[13C]1[1H]6[14N]3[16O]1,1.000000
268.080553,392.136993,73220.773438,StdMix2_6;M+Na;[12C]9[13C]1[1H]16[14N]2[16O]3[32S]1[23Na]1,1.000000
151.074230,828.606018,69960.507813,StdMix2_18;M+H;[12C]6[1H]8[14N]4[15N]1,0.980000
144.065735,983.460022,67337.554688,StdMix2_62;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,0.955000
245.076031,1082.949951,65984.765625,StdMix2_36;2M+Na;[12C]8[1H]10[14N]6[16O]2[23Na]1,1.000000
461.210733,383.648987,65789.921875,StdMix2_7;2M+Na;[12C]18[1H]34[14N]2[16O]10[23Na]1,1.000000
367.139344,1372.920044,62888.429688,StdMix2_44;2M+H;[12C]10[1H]29[14N]2[16O]8[31P]2,1.000000
140.068050,948.408020,62085.570313,StdMix2_24;M+Na;[12C]5[1H]11[14N]1[16O]2[23Na]1,0.995000
360.149933,925.380005,61717.964844,StdMix2_77;M+NH4;[12C]12[1H]26[14N]1[16O]11,1.000000
105.073902,1048.660034,61338.148438,StdMix2_32;M+H;[12C]3[13C]1[1H]10[14N]1[16O]2,1.000000
193.569721,1218.680054,60968.730469,StdMix2_43;M+2H;[12C]13[13C]1[1H]22[14N]6[16O]5[32S]1,1.000000
168.076403,392.136993,60087.769531,StdMix2_8;M+ACN+H;[12C]7[1H]10[14N]3[16O]2,0.995000
185.076519,1375.930054,59732.398438,StdMix2_44;M+H;[12C]4[13C]1[1H]15[14N]1[16O]4[31P]1,1.000000
181.094583,1295.119995,59070.269531,StdMix2_24;M+ACN+Na;[12C]7[1H]14[14N]2[16O]2[23Na]1,1.000000
366.108894,928.427979,58609.019531,StdMix2_77;M+Na;[12C]11[13C]1[1H]22[16O]11[23Na]1,1.000000
513.160519,387.890015,58233.628906,StdMix2_6;2M+Na;[12C]20[1H]32[14N]4[16O]6[32S]1[34S]1[23Na]1,1.000000
131.053032,446.532013,57124.976563,StdMix2_11;M+H;[12C]4[13C]1[1H]8[14N]1[16O]3,0.940000
223.093862,1076.979980,56605.246094,StdMix2_36;2M+H;[12C]8[1H]11[14N]6[16O]2,1.000000
128.053433,393.558990,55299.109375,StdMix2_8;M+H;[12C]4[13C]1[1H]7[14N]2[16O]2,0.995000
428.150980,619.685974,52185.164063,StdMix2_43;M+ACN+H;[12C]16[1H]24[14N]7[16O]5[34S]1,1.000000
199.107542,1547.500000,51666.964844,StdMix2_21;M+NH4;[12C]9[1H]15[14N]2[16O]3,0.995000
150.112491,1084.449951,50782.093750,StdMix2_24;M+CH3OH+H;[12C]6[1H]16[14N]1[16O]3,1.000000
241.101517,1375.930054,50262.355469,StdMix2_47;M+H;[12C]8[1H]19[14N]2[16O]4[34S]1,1.000000
119.081485,499.977997,49697.007813,StdMix2_28;M+NH4;[12C]4[1H]11[14N]2[16O]2,1.000000
132.065428,357.944000,49397.066406,StdMix2_91;M+ACN+H;[12C]5[1H]10[14N]1[16O]3,0.885000
103.058135,1036.410034,49284.628906,StdMix2_28;M+H;[12C]3[13C]1[1H]8[14N]1[16O]2,1.000000
132.132398,1675.599976,48949.058594,StdMix2_53;M+H;[12C]4[13C]1[1H]15[14N]4,1.000000
285.102450,748.374023,48792.890625,StdMix2_17;M+H;[12C]9[13C]1[1H]14[14N]5[16O]5,1.000000
223.107569,939.101990,47912.062500,StdMix2_21;M+ACN+H;[12C]11[1H]15[14N]2[16O]3,0.995000
134.081018,971.531982,47289.371094,StdMix2_28;M+CH3OH+H;[12C]5[1H]12[14N]1[16O]3,1.000000
222.078673,619.685974,47004.585938,StdMix2_69;M+2H;[12C]18[13C]1[1H]21[14N]7[16O]6,1.000000
264.199744,976.038025,45344.535156,StdMix2_19;2M+H;[12C]11[13C]1[1H]27[14N]2[16O]4,1.000000
155.094007,1025.689941,45029.914063,StdMix2_26;M+H;[12C]7[1H]12[14N]2[15N]1[16O]1,0.995000
124.052014,522.080017,44148.222656,StdMix2_10;M+H;[12C]6[1H]7[14N]1[15N]1[16O]1,1.000000
232.144223,711.929993,42441.515625,StdMix2_14;M+ACN+H;[12C]13[1H]18[14N]3[16O]1,0.970000
313.209642,983.460022,42393.144531,StdMix2_23;2M+Na;[12C]14[1H]30[14N]2[16O]4[23Na]1,1.000000
132.078686,1345.569946,41907.730469,StdMix2_30;M+ACN+H;[12C]5[1H]11[14N]1[15N]1[16O]2,1.000000
214.154640,1014.989990,40583.632813,StdMix2_19;M+2ACN+H;[12C]10[1H]20[14N]3[16O]2,1.000000
174.095186,874.703979,40470.335938,StdMix2_91;M+2ACN+H;[12C]6[13C]1[1H]13[14N]2[16O]3,1.000000
184.107795,1028.750000,40302.226563,StdMix2_28;M+2ACN+H;[12C]8[1H]14[14N]3[16O]2,0.990000
91.058208,1044.069946,39069.718750,StdMix2_30;M+H;[12C]2[13C]1[1H]8[14N]1[16O]2,1.000000
273.171437,1082.949951,37116.691406,StdMix2_14;M+2ACN+H;[12C]15[1H]21[14N]4[16O]1,0.940000
209.147559,794.520020,36984.582031,StdMix2_14;M+NH4;[12C]10[13C]1[1H]18[14N]3[16O]1,0.995000
539.283987,289.690002,36905.574219,StdMix2_65;M+Na;[12C]25[13C]1[1H]45[14N]1[16O]7[32S]1[23Na]1,1.000000
178.105373,775.697998,36616.679688,StdMix2_4;M+2ACN+H;[12C]9[13C]1[1H]13[14N]2[16O]1,0.995000
301.125619,331.860992,36445.128906,StdMix2_17;M+NH4;[12C]10[1H]17[14N]6[16O]5,0.970000
143.081350,1036.410034,36443.054688,StdMix2_28;M+ACN+H;[12C]6[1H]11[14N]2[16O]2,1.000000
194.102184,596.806030,34364.933594,StdMix2_25;M+CH3OH+H;[12C]7[1H]16[14N]1[16O]5,0.995000
164.081706,519.182983,34091.855469,StdMix2_10;M+ACN+H;[12C]8[1H]10[14N]3[16O]1,1.000000
306.080571,748.374023,33378.445313,StdMix2_17;M+Na;[12C]10[1H]13[14N]5[16O]5[23Na]1,1.000000
534.328804,292.709991,33096.339844,StdMix2_65;M+NH4;[12C]25[13C]1[1H]49[14N]2[16O]7[32S]1,1.000000
211.107489,736.007996,32857.167969,StdMix2_59;M+NH4;[12C]10[1H]15[14N]2[16O]3,1.000000
535.201013,732.984009,32769.753906,StdMix2_16;2M+H;[12C]20[1H]27[14N]10[16O]8,1.000000
174.131547,859.937988,32241.537109,StdMix2_19;M+ACN+H;[12C]7[13C]1[1H]17[14N]2[16O]2,1.000000
184.094346,1054.689941,31986.693359,StdMix2_29;M+Na;[12C]7[1H]15[14N]1[16O]3[23Na]1,1.000000
153.063238,463.006989,31171.033203,StdMix2_30;M+ACN+Na;[12C]5[1H]10[14N]2[16O]2[23Na]1,1.000000
282.118126,746.820007,29926.066406,StdMix2_90;2M+ACN+H;[12C]10[1H]20[14N]1[16O]8,0.970000
157.144665,1621.930054,28948.949219,StdMix2_54;M+2ACN+H;[12C]7[1H]17[14N]4,0.995000
269.072680,390.718994,28871.150391,StdMix2_6;M+Na;[12C]10[1H]16[14N]2[16O]3[34S]1[23Na]1,0.995000
389.121307,1366.880005,28509.349609,StdMix2_44;2M+Na;[12C]10[1H]28[14N]2[16O]8[31P]2[23Na]1,1.000000
172.115965,866.562012,27983.212891,StdMix2_55;M+NH4;[12C]7[13C]1[1H]15[14N]2[16O]2,1.000000
132.084845,1057.650024,27949.753906,StdMix2_30;M+ACN+H;[12C]4[13C]1[1H]11[14N]2[16O]2,0.990000
194.103364,792.929993,27588.201172,StdMix2_36;M+2ACN+H;[12C]8[1H]12[14N]5[16O]1,1.000000
174.087144,726.984009,26358.017578,StdMix2_42;M+ACN+H;[12C]6[1H]12[14N]3[16O]3,0.985000
477.204976,1375.930054,26058.101563,StdMix2_47;2M+H;[12C]16[1H]37[14N]4[16O]8[32S]2,1.000000
124.039235,444.928986,25914.541016,StdMix2_2;M+H;[12C]6[1H]6[14N]1[16O]2,0.885000
207.058423,1366.880005,25901.509766,StdMix2_44;M+Na;[12C]4[13C]1[1H]14[14N]1[16O]4[31P]1[23Na]1,1.000000
204.142350,1162.280029,25564.468750,StdMix2_29;M+ACN+H;[12C]8[13C]1[1H]19[14N]2[16O]3,1.000000
196.084651,343.473999,25450.035156,StdMix2_59;M+H;[12C]10[1H]12[14N]1[16O]2[18O]1,0.950000
188.147223,903.612000,25420.609375,StdMix2_23;M+ACN+H;[12C]8[13C]1[1H]19[14N]2[16O]2,1.000000
262.148120,1127.410034,24590.615234,StdMix2_7;M+ACN+H;[12C]10[13C]1[1H]21[14N]2[16O]5,1.000000
154.086235,1018.049988,24550.816406,StdMix2_55;M+H;[12C]8[1H]12[14N]1[16O]2,0.995000
400.152234,493.759003,23856.429688,StdMix2_67;2M+Na;[12C]13[13C]1[1H]24[14N]4[16O]8[23Na]1,1.000000
490.187261,387.890015,23118.046875,StdMix2_6;2M+H;[12C]19[13C]1[1H]33[14N]4[16O]6[32S]2,1.000000
