m/z,RT,Intensity,Identification,Prob
148.060248,864.317993,10465974.000000,StdMix2_61;M+NH4;[12C]5[1H]10[14N]1[16O]4,1.000000
239.105543,1364.109985,3456550.750000,StdMix2_47;M+H;[12C]8[1H]19[14N]2[16O]4[32S]1,1.000000
245.095120,396.437012,3004132.000000,StdMix2_6;M+H;[12C]10[1H]17[14N]2[16O]3[32S]1,1.000000
511.165282,396.437012,1484205.125000,StdMix2_6;2M+Na;[12C]20[1H]32[14N]4[16O]6[32S]2[23Na]1,1.000000
267.077080,374.773010,1036030.937500,StdMix2_6;M+Na;[12C]10[1H]16[14N]2[16O]3[32S]1[23Na]1,1.000000
261.087417,1367.160034,656323.000000,StdMix2_47;M+Na;[12C]8[1H]18[14N]2[16O]4[32S]1[23Na]1,1.000000
130.049625,450.553986,644445.812500,StdMix2_11;M+H;[12C]5[1H]8[14N]1[16O]3,0.980000
143.081243,608.471985,571425.437500,StdMix2_28;M+ACN+H;[12C]6[1H]11[14N]2[16O]2,1.000000
149.063583,864.317993,532303.187500,StdMix2_61;M+NH4;[12C]4[13C]1[1H]10[14N]1[16O]4,1.000000
489.183334,396.437012,494076.468750,StdMix2_6;2M+H;[12C]20[1H]33[14N]4[16O]6[32S]2,1.000000
512.168514,396.437012,299317.718750,StdMix2_6;2M+Na;[12C]19[13C]1[1H]32[14N]4[16O]6[32S]2[23Na]1,1.000000
246.098322,397.888000,296188.218750,StdMix2_6;M+H;[12C]9[13C]1[1H]17[14N]2[16O]3[32S]1,1.000000
240.108749,1364.109985,283508.093750,StdMix2_47;M+H;[12C]7[13C]1[1H]19[14N]2[16O]4[32S]1,1.000000
131.033746,864.317993,159967.593750,StdMix2_61;M+H;[12C]5[1H]7[16O]4,1.000000
241.101128,1364.109985,136402.843750,StdMix2_47;M+H;[12C]8[1H]19[14N]2[16O]4[34S]1,1.000000
247.090715,396.437012,107914.375000,StdMix2_6;M+H;[12C]10[1H]17[14N]2[16O]3[34S]1,1.000000
513.160050,396.437012,100339.398438,StdMix2_6;2M+Na;[12C]20[1H]32[14N]4[16O]6[32S]1[34S]1[23Na]1,0.995000
490.186832,396.437012,96619.562500,StdMix2_6;2M+H;[12C]19[13C]1[1H]33[14N]4[16O]6[32S]2,1.000000
477.204183,1364.109985,92529.960938,StdMix2_47;2M+H;[12C]16[1H]37[14N]4[16O]8[32S]2,1.000000
268.080316,374.773010,82819.539063,StdMix2_6;M+Na;[12C]9[13C]1[1H]16[14N]2[16O]3[32S]1[23Na]1,1.000000
150.064289,875.981995,66814.515625,StdMix2_61;M+NH4;[12C]5[1H]10[14N]1[16O]3[18O]1,0.990000
262.090612,1364.109985,43239.910156,StdMix2_47;M+Na;[12C]7[13C]1[1H]18[14N]2[16O]4[32S]1[23Na]1,1.000000
165.063070,612.168030,39412.832031,StdMix2_28;M+ACN+Na;[12C]6[1H]10[14N]2[16O]2[23Na]1,1.000000
189.086397,328.782013,39410.503906,StdMix2_67;M+H;[12C]7[1H]13[14N]2[16O]4,0.985000
499.186082,1368.680054,35420.542969,StdMix2_47;2M+Na;[12C]16[1H]36[14N]4[16O]8[32S]2[23Na]1,1.000000
171.075960,450.553986,32185.474609,StdMix2_11;M+ACN+H;[12C]7[1H]11[14N]2[16O]3,0.990000
269.072746,380.520996,29877.091797,StdMix2_6;M+Na;[12C]10[1H]16[14N]2[16O]3[34S]1[23Na]1,1.000000
491.178332,399.346985,29764.837891,StdMix2_6;2M+H;[12C]20[1H]33[14N]4[16O]6[32S]1[34S]1,1.000000
144.084475,599.278992,29345.648438,StdMix2_28;M+ACN+H;[12C]5[13C]1[1H]11[14N]2[16O]2,1.000000
131.052886,443.703003,29320.257813,StdMix2_11;M+H;[12C]4[13C]1[1H]8[14N]1[16O]3,1.000000
263.083156,1361.069946,22879.044922,StdMix2_47;M+Na;[12C]8[1H]18[14N]2[16O]4[34S]1[23Na]1,1.000000
478.207667,1364.109985,15697.356445,StdMix2_47;2M+H;[12C]15[13C]1[1H]37[14N]4[16O]8[32S]2,1.000000
195.087375,361.558990,14258.740234,StdMix2_9;M+2ACN+H;[12C]8[1H]11[14N]4[16O]2,1.000000
103.560407,2048.860107,14050.479492,StdMix2_67;M+H+NH4;[12C]7[1H]17[14N]3[16O]4,0.985000
302.113907,1368.680054,10086.492188,StdMix2_47;M+ACN+Na;[12C]10[1H]21[14N]3[16O]4[32S]1[23Na]1,1.000000
