,mz,rt,into,maxo,intb
1,118.926816704659,17.1747,42068.4531046875,8999.2041015625,42063.1332646875
2,215.837342156725,47.7272,265644.948109296,33559.6875,248597.003280189
3,222.877643040348,59.1027,127350.181224971,26806.564453125,123547.93057468
4,133.944740772819,56.5509,642824.208168779,45083.65625,504855.86099623
5,83.0246307374296,59.1027,481656.397458826,50428.1328125,291694.04641449
6,365.273971165889,41.37,1533881.84980096,58951.59375,1499975.65909741
7,195.872090166357,38.8623,456121.799635287,45066.0859375,291081.443215926
8,167.960861978127,56.5509,1621621.41717783,66341.9375,1621580.58053267
9,167.960881770688,17.1747,939755.420245248,53997.72265625,939730.887930803
10,328.155621735506,48.9808,1418046.88134406,65489.5546875,1418019.01645834
11,328.155713624676,6.75376,704661.266388516,65156.02734375,704646.778728516
12,328.155738095303,23.6349,931543.01592313,55922.5546875,931523.700315987
13,328.155856840934,65.5616,920205.079337813,60130.59375,920185.802237813
14,364.27084210381,40.1162,10820252.5069162,294162.78125,9914812.31319311
15,342.135022187548,5.30966,164292.969979404,47578.6953125,164288.640784404
16,342.135017538415,79.6338,1193485.10083442,53641.25,1193448.25032727
17,342.134793239926,31.2487,822944.836660854,41832.51953125,822916.969365616
18,342.134853272366,14.4765,468178.723487789,52959.53125,468163.249585971
19,385.695521184623,112.521,115700.89093418,35893.99609375,115695.80053418
20,262.144714279072,117.628,47131.2928246094,10942.7587890625,46102.512829961
21,141.066958210933,155.582,122713.946521334,32676.55859375,108241.205466173
22,409.108166009497,169.517,83660.2992972655,29973.625,83655.2440972655
23,389.877950411196,179.643,118401.029327257,35219.96875,115655.23093534
24,328.155722001134,196.128,1619349.66118892,78872.96875,1619323.08282528
25,328.155646744315,156.882,1239118.50628027,76086.734375,1239096.98853027
26,328.155588051728,130.264,1371552.51796875,79030.09375,1371527.19165296
27,328.155746442732,145.454,680097.972204862,72299.6328125,680085.323315973
28,339.134910929594,189.768,49876.4737601563,13642.68359375,48495.0919679087
29,294.18299595796,203.702,64243.8928933595,16203.4365234375,64238.8096933595
30,451.452321059745,206.251,593420.418294163,121098.21875,592159.323629002
31,491.483328993586,203.702,270733.508142857,44297.46484375,270725.910428572
32,494.502215610717,204.955,80623.7905743002,18175.6953125,80617.4497409669
33,535.546154903777,203.702,259124.581589286,57415.5625,259116.983875
34,577.593161156735,203.702,168014.401502344,43384.8515625,168009.318302344
35,293.179520927413,203.702,991897.12533252,143607.921875,899875.372935059
36,295.138115804328,204.955,95055.0299296875,27002.076171875,95049.9539296875
37,297.153142748358,204.955,275422.420098721,41461.35546875,254909.996490548
38,423.421151616451,204.955,254664.117080078,68200.59375,254657.782080078
39,449.436581639132,204.955,170890.937006836,34582.26953125,170884.602006836
40,452.455634009209,204.955,223862.594798828,42156.0703125,223856.259798828
41,479.483199797893,204.955,214334.037171875,56906.34375,214090.439740583
42,123.045209220994,206.251,152336.060226651,28645.712890625,135657.322752069
43,266.151531129517,206.251,1068851.59489687,182380.15625,1045723.92376766
44,267.143752655259,206.251,268605.11771875,52399.76171875,268597.53371875
45,283.067957232656,206.251,244422.560814942,72467.140625,244416.234981608
46,382.377468815505,206.251,129669.651033692,39694.9375,129663.325200358
47,408.393293537143,206.251,131377.524721517,37469.703125,131371.198888184
48,410.408644853141,207.501,196530.95661582,66988.796875,196525.922215821
49,465.467373049874,206.251,343621.304689209,61068.73046875,343612.464564209
50,239.06744375123,208.749,168264.822875326,52253.84765625,168258.542041992
51,351.326951624379,207.501,223052.705476423,40891.14453125,222441.071408816
52,395.389644832302,207.501,686986.070406641,113641.5703125,681593.004336997
53,407.389596271415,206.251,635913.922239356,109342.8359375,635586.750571935
54,437.437021751919,207.501,316996.665641602,72927.234375,316989.096641602
55,111.045171524563,57.849,1404045.84400684,92014.3359375,1404024.18388184
56,111.045152597105,185.959,1930715.56121841,84743.6328125,1930686.49521841
57,111.045174248905,5.30966,783657.848937934,81522.25,783644.609493489
58,111.045159016313,104.948,1427993.25264446,83006.0546875,1427970.43277387
59,111.045172773926,38.8623,1345186.1903751,85730.734375,1345164.63766885
60,111.0451784703,85.9493,1038444.96745039,67719.5859375,1038427.26165039
61,111.045169925964,146.754,1366254.61818125,88126.2890625,1366234.39844792
62,111.045157130477,168.262,1189752.92777344,104628.828125,1189735.21777344
63,111.045139689754,18.6163,930574.209958274,78763.9921875,930558.696249183
64,111.045154737937,129.008,1072301.75258952,82726.4453125,1072285.24800618
65,249.149651333113,207.501,841067.581344483,157660.234375,841058.762219483
66,294.134935019968,206.251,1074437.33232129,187997.34375,1069506.78066444
67,323.295830713774,208.749,1752112.89791548,296449.90625,1748021.10059785
68,324.299115255959,208.749,334274.429360938,53236.71875,332335.89126836
69,339.326956194274,208.749,1024661.61786754,169477.28125,1021330.97903611
70,340.330225264089,208.749,193252.281075753,40210.703125,193244.754504325
71,368.361758331519,208.749,479886.951920759,94256.3515625,479247.419924804
72,381.203400477708,85.9493,1212798.60834105,102533.8359375,1212783.45932287
73,381.203403127695,127.753,1522154.43981696,99073.6328125,1522135.42838839
74,381.203357490646,198.637,2276555.51752232,104555.4609375,2276527.71895089
75,381.203433355829,13.2214,1403740.31306817,95195.7109375,1403721.92160202
76,381.203382164775,38.8623,1403933.86960818,105225.1953125,1403914.87071532
77,381.203303162464,165.709,1594268.5625558,104119.796875,1594249.59827009
78,381.203435627741,68.1132,1933300.48090306,106073.890625,1933274.81511359
79,381.203458001194,110.01,1357937.51712801,107758.3984375,1357919.76189724
80,381.203442261536,148.009,1699629.3705,103172.7890625,1699607.8485
81,381.373924561754,207.501,681352.508822917,119973.890625,676471.625973267
82,120.996495540322,118.882,3075928.08439145,180310.21875,3075902.75807566
83,120.996489557045,45.1323,2590572.60956181,201049,2590549.85004416
84,120.99649578693,201.147,3458330.68467656,196818.328125,3458299.09467656
85,120.996501592457,21.1259,2644609.123267,180271.265625,2644586.04832583
86,120.99648982035,89.7572,3280847.62876087,201196.65625,3280818.49413814
87,120.996498411856,64.3073,2366829.72492388,167422.734375,2366807.86685513
88,120.996490591208,136.626,2068206.14398214,160167.875,2068187.13041071
89,120.996494785615,160.647,2675795.16912847,159818.90625,2675771.14257292
90,160.076816282142,161.901,11612358.2541858,117096.8046875,11612213.8362858
91,160.07682180616,27.4423,2441943.81743022,97138.125,2441913.82438477
92,160.076813654724,40.1162,1096071.59405047,90849.3515625,1096057.65727047
93,199.170424857682,29.9949,2525284.20796668,96514.21875,2525249.20578975
94,199.17039213612,120.136,2904706.8456598,93340.015625,2904666.32777593
95,199.170412987158,51.4885,2322845.18882194,86010.9765625,2322811.96581394
96,199.170425864933,154.326,1331805.31835798,94137.4453125,1331786.30371512
97,199.170416436453,187.259,978993.936771094,85300.40625,978979.990971094
98,199.170374694957,174.582,1104760.17920052,89089.2109375,1104743.72553385
99,199.170407604522,198.637,1354684.51721863,105136.296875,1354664.32221863
100,326.314832910923,209.995,480068.285815625,91928.640625,480058.212215625
101,353.342775135676,208.749,881086.952812186,138182.765625,878496.967591996
102,365.34263262133,207.501,799035.51539297,119484.765625,799024.15469297
103,367.35830746157,208.749,1914410.23536953,297568.09375,1882123.88012117
104,409.40522175318,207.501,1291865.55068932,152413.046875,1289460.78963407
105,265.147947590858,206.251,9995918.65451668,1356343.875,9995898.50945001
106,265.148010376345,10.7088,6147586.39225637,157205.890625,6147528.56408592
107,265.148012254819,110.01,2566419.2319375,141687.75,2566395.16020417
108,265.147982351927,80.8883,3723477.26769531,136135.65625,3723441.67502865
109,265.147956328144,164.455,4583077.54033938,126029.5625,4583033.26225115
110,258.241487835899,215.014,303342.211909722,83259.9296875,302936.471425006
111,440.860669827691,142.944,3997593.39940191,210169.578125,3997569.32534635
112,440.86063011039,91.0118,3681280.09093985,209352.765625,3681258.57488985
113,440.860735896966,13.2214,2939648.29591125,198791.578125,2939631.16165125
114,440.860609816434,204.955,3646640.14834852,210099.015625,3646617.43934852
115,440.860640069799,108.755,3064996.52218928,206228.5,3064977.510975
116,440.860492646281,126.499,2175866.53354688,180249.40625,2175852.63394688
117,440.860526973854,164.455,3070071.74614955,186836.28125,3070052.78186384
118,440.860678543876,177.134,2375678.85619688,189087.46875,2375664.91039688
119,440.86060749946,63.0531,4496786.92769906,217822.734375,4496760.16487906
120,251.095935642727,213.77,2117147.47918594,438363.90625,2117137.16158594
121,511.473290544251,216.294,279432.740382813,70269.765625,279426.296216146
122,302.242216669953,215.014,1197115.01998648,170108,1195637.41445701
123,325.311430754091,211.239,3572349.42995424,476179.5625,3570289.03941659
124,223.13412973234,218.97,493556.713860677,103397.71875,491129.434956698
125,270.251919418334,216.294,1091148.60549805,247179.25,1080784.75626641
126,273.207346797669,218.97,173452.874367187,42021.94921875,173447.446367187
127,297.279938678272,212.483,2459829.94386523,287254.5625,2459145.95242627
128,240.205271706242,216.294,951170.840660156,148420.796875,951157.809751065
129,257.212296579873,220.216,316946.159008345,62994.234375,314601.480292271
130,287.222954916979,220.216,237013.686820313,62109.9453125,236777.386105469
131,257.175852898361,220.216,390363.8595,62704.18359375,387172.189002325
132,299.259234530489,220.216,842163.855632102,130655.6015625,835654.749298746
133,245.175889209599,223.079,87941.8421146482,21350.09765625,87936.4029146482
