	RT	Std1_1in5
166.0265699229715	596.489013671875	2.88492736E8
95.98760502024948	1357.050048828125	2.37600336E8
174.01636418614274	698.7919921875	1.94612272E8
256.2403539929392	213.91700744628906	1.30921536E8
104.01077622304228	643.8250122070312	1.25051544E8
118.02658273342925	616.8579711914062	8.0485744E7
130.02662617505538	698.7919921875	7.421876E7
148.03717830848703	622.010009765625	7.4078824E7
115.9435517582806	1362.280029296875	6.3612928E7
169.0739180562933	436.5480041503906	6.2692424E7
173.96519948178351	1357.050048828125	5.9317196E7
284.2715530791003	212.677001953125	5.2853784E7
122.03678377613274	596.489013671875	4.5401664E7
164.04743857486272	431.56298828125	3.5919192E7
156.01714703472078	493.29901123046875	3.5574944E7
126.04290265087945	404.9280090332031	3.1630666E7
144.1150167142995	253.6840057373047	3.0447742E7
123.03206322369061	406.1669921875	3.0125568E7
117.94177087114866	1362.280029296875	2.8325902E7
209.0722524214442	386.12200927734375	2.827411E7
167.02994008704627	596.489013671875	2.5346234E7
112.02727807347559	446.6210021972656	2.4664428E7
257.2436982989589	213.91700744628906	2.2458546E7
202.04787391936642	320.6000061035156	2.152007E7
232.12121943083105	277.6180114746094	2.1380104E7
135.05453175432862	499.5010070800781	1.8325738E7
136.0524882389905	301.7860107421875	1.7928382E7
112.02726952224515	493.29901123046875	1.6124474E7
194.0426440398393	660.2109985351562	1.5368595E7
242.09040600459684	406.1669921875	1.4787662E7
74.03615760612361	616.8579711914062	1.4620511E7
354.05637150512484	310.54400634765625	1.4588336E7
77.97677359395574	1359.6300048828125	1.3822901E7
96.98718553907456	1357.050048828125	1.3470522E7
116.0837118746086	280.09698486328125	1.3288155E7
175.01973730031222	698.7919921875	1.3196434E7
113.05891972704462	499.5010070800781	1.2687461E7
104.04720340029978	456.81500244140625	1.2572036E7
124.05246330724952	585.0980224609375	1.2306974E7
196.05834777307004	595.2340087890625	1.2185139E7
170.02156811549463	778.2520141601562	1.1467287E7
102.03151975559284	363.4909973144531	1.1138519E7
122.03678927144408	354.6659851074219	1.092137E7
173.96520423907842	684.4500122070312	1.0795487E7
228.0747994273052	446.6210021972656	1.0553586E7
285.2748942037558	212.677001953125	1.0537765E7
256.2403426059052	1363.6300048828125	9939900.0
97.98447665252604	1360.8699951171875	9545615.0
233.9320372306113	1359.6300048828125	9255925.0
169.00452014881432	647.6439819335938	8964503.0
244.06956242573517	503.2569885253906	8888305.0
173.96518118913784	663.9580078125	8768475.0
204.87625739155965	1362.280029296875	8545138.0
173.96521796867037	706.676025390625	8487806.0
206.87447032911825	1362.280029296875	8269902.5
268.0807966268805	528.5479736328125	8121168.0
158.13067433515158	234.76499938964844	7765481.5
158.05791058124646	533.5670166015625	7021844.0
173.96519453777861	735.7009887695312	6988583.5
173.9651812039183	633.6320190429688	6969838.0
130.02664737933702	622.010009765625	6891686.0
122.03678778070312	459.30499267578125	6858288.5
173.96520926764336	1422.3399658203125	6835845.0
86.03633231416936	698.7919921875	6740058.5
173.96518039505656	761.7260131835938	6739647.0
382.08777101267907	219.06500244140625	6414197.0
174.9647803732832	1357.050048828125	6280596.0
195.9131653972214	827.5549926757812	6264244.0
173.96518530420332	789.7869873046875	6191538.0
135.9804535149269	1357.050048828125	6108694.5
158.0579207585911	320.6000061035156	5955350.5
108.05744432359103	459.30499267578125	5936451.5
173.9651852627729	974.0189819335938	5828477.5
200.17773523712268	223.01400756835938	5749290.0
141.99342715986816	1357.050048828125	5614964.5
116.01093800481344	653.885009765625	5440427.5
228.20912967748686	217.822998046875	5335753.0
170.0772815220207	436.5480041503906	5281178.5
102.06791094051869	338.2489929199219	5255572.0
88.0156554741889	427.8349914550781	5183909.5
215.84009640472408	1337.3699951171875	5139764.5
130.09943914477415	257.41400146484375	5064358.5
129.04262468254615	499.5010070800781	5046147.0
155.95472134614124	1366.1099853515625	4979022.5
97.97682505118132	605.406005859375	4957365.5
125.01460733747572	642.5819702148438	4843800.5
133.87514411930508	605.406005859375	4788341.0
117.93582740240211	826.302978515625	4730017.5
141.99341662158164	1369.9599609375	4699084.5
130.0266506635292	733.2039794921875	4665802.0
213.84213539851444	1340.030029296875	4544583.5
284.27154914596764	1362.280029296875	4488150.0
137.04766416575413	508.3219909667969	4363080.5
195.91318237078383	1353.1600341796875	4339879.5
152.04734333873446	459.30499267578125	4286878.0
149.0405698814067	623.4349975585938	4185237.75
311.9095634824298	1357.050048828125	4162683.75
131.02991462787202	698.7919921875	4153173.75
92.04701288073181	519.7860107421875	4099335.75
130.02665143919174	542.3159790039062	4069150.25
88.05204035591304	386.12200927734375	3976977.5
188.11613748737378	628.6389770507812	3963372.5
94.0415720640894	297.864013671875	3915734.0
131.09459836593453	523.5679931640625	3891035.5
175.96201859132591	1357.050048828125	3865665.25
172.14641259521213	230.6750030517578	3746300.75
105.01413431380861	643.8250122070312	3667842.25
165.05080879837112	431.56298828125	3530293.25
209.94196926464787	1354.4000244140625	3528292.0
219.97074639007027	1355.6400146484375	3523811.75
123.04015389358719	596.489013671875	3514497.25
119.02994184485092	616.8579711914062	3432563.5
135.87240517544933	605.406005859375	3415036.25
206.04268260476957	684.4500122070312	3316254.5
243.0857178989237	563.656982421875	3294900.5
407.90974046984985	1358.3900146484375	3290318.25
400.0981908474948	216.39999389648438	3280269.25
136.95237250679617	1363.6300048828125	3263107.75
149.0511089441623	541.0689697265625	3228806.75
242.22479001627076	216.39999389648438	3121543.5
202.01147155081546	730.4240112304688	3111998.0
355.0598759408816	310.54400634765625	2993085.25
165.07908986971245	498.260986328125	2874195.75
233.12453841951907	278.85699462890625	2850364.25
76.01547412871827	519.7860107421875	2849606.25
170.02158396057064	1350.3599853515625	2844729.75
102.06791619219797	316.8609924316406	2788279.0
119.05824417567833	620.7659912109375	2779694.0
164.0474419570257	455.3840026855469	2772269.75
173.96518281993923	1243.1300048828125	2767293.5
116.01093681756147	552.35498046875	2730088.0
329.9325131078453	1364.8699951171875	2668238.0
145.11840318660813	253.6840057373047	2652180.75
136.95238313951936	1381.6800537109375	2623300.0
372.0669182635398	309.29901123046875	2616709.75
329.0527899366864	465.5820007324219	2611105.5
151.06334338172556	436.5480041503906	2610527.0
173.96520038615913	589.030029296875	2599329.5
212.1413452417593	239.74099731445312	2579437.75
117.9417825036102	48.52360153198242	2540303.0
264.1044639662793	1105.8699951171875	2536179.5
195.947196085195	1359.6300048828125	2523854.25
97.99186621679175	1355.6400146484375	2508255.75
156.1151045709271	238.4980010986328	2491954.5
155.0695257651872	633.6320190429688	2476951.75
250.0300605065684	294.12298583984375	2437173.75
146.06915624488306	633.6320190429688	2427759.5
307.06544619304987	505.7439880371094	2394380.25
168.0305622722594	596.489013671875	2377772.5
90.03133982477812	338.2489929199219	2333772.25
117.94178186718004	349.5820007324219	2326969.75
183.05330713655894	266.3909912109375	2242435.75
176.02048047172934	700.031005859375	2238754.0
94.04156571177377	459.30499267578125	2230914.5
168.00591264070212	768.1630249023438	2168958.25
195.87593607062362	1333.5999755859375	2162970.5
178.0477830083218	544.8469848632812	2146080.75
206.1671045487132	234.76499938964844	2129648.75
126.04291823573685	528.5479736328125	2127464.75
157.02052438877135	493.29901123046875	2110502.25
156.01718721027027	501.98199462890625	2096065.0
95.99995475972656	1379.1600341796875	2085623.125
251.95504195104363	1364.8699951171875	2073699.375
168.00591749464624	788.5360107421875	2068659.5
210.07561334328128	387.364990234375	2064421.5
173.97752874730799	1359.6300048828125	2019238.0
266.1552028242347	1363.6300048828125	1990464.125
203.0512405328753	320.6000061035156	1988315.875
176.03210313732174	632.3820190429688	1974426.75
197.87414302224389	1338.7900390625	1970028.5
99.9739168668292	605.406005859375	1962187.125
172.00423236736447	1350.3599853515625	1961791.375
86.03636490438625	394.8800048828125	1946338.0
216.0402155501944	608.1290283203125	1942861.875
217.83769153327452	1340.030029296875	1940939.0
130.0266524913968	556.1409912109375	1926055.875
209.94196512714632	605.406005859375	1916997.0
293.8989227682051	1357.050048828125	1909785.125
124.03544177927652	407.406005859375	1909657.125
257.24366860468376	1362.280029296875	1902917.75
233.932023810398	684.4500122070312	1882148.75
90.0313349474347	470.62298583984375	1878693.5
124.0273311247232	449.1099853515625	1877162.125
204.09002369335258	557.3870239257812	1840452.625
192.02708534178436	613.114013671875	1830601.875
167.98241984641734	684.4500122070312	1826398.375
133.03748699756946	616.8579711914062	1812893.25
214.19344031761872	220.30599975585938	1795148.5
127.04626529549478	404.9280090332031	1792318.375
295.8071470805986	1362.280029296875	1790947.0
698.299655978088	223.01400756835938	1778309.0
117.07898828900727	572.3930053710938	1751665.5
167.0583240855393	257.41400146484375	1750540.375
258.2471502680215	212.677001953125	1740765.625
295.80717826960364	1349.1099853515625	1726977.5
131.0582264357895	624.677978515625	1721537.875
264.0722549351394	406.1669921875	1720620.625
254.2246876835018	1360.8699951171875	1695744.25
115.06330626971547	582.6079711914062	1693095.25
208.87267865019373	1362.280029296875	1692342.0
132.0534671778371	638.8499755859375	1667176.0
137.0557729176048	301.7860107421875	1666678.875
76.01548033590619	378.5690002441406	1651267.0
126.9074282175302	1332.1800537109375	1646110.875
120.05748888222458	431.56298828125	1616366.375
257.24368321567374	1377.9200439453125	1610964.25
74.0361865147387	439.02301025390625	1608125.75
134.02153486609768	650.1389770507812	1604399.5
117.9359078057983	1347.8800048828125	1603999.375
126.9074008376958	610.6220092773438	1590236.0
243.09375173960723	406.1669921875	1586142.625
136.95237564846428	1393.260009765625	1567603.875
234.9315972073435	1362.280029296875	1564652.75
202.04786829706094	527.302978515625	1564305.5
266.15525528249674	205.13699340820312	1551899.125
383.09119381065307	219.06500244140625	1539876.625
163.96751486055865	1334.8499755859375	1539793.125
