	RT	Std1new_1
166.02654111448462	596.0560302734375	9.3986528E8
174.01633958925316	698.6110229492188	5.45413504E8
104.01072900386173	641.85498046875	3.73487968E8
148.03717063098202	622.823974609375	3.55790208E8
118.02650124061672	616.4609985351562	3.23650592E8
169.07388075723964	435.8179931640625	2.55115616E8
256.2403178008407	213.70199584960938	2.36998816E8
95.98760777022754	1358.2099609375	2.23495328E8
130.0266108877958	698.6110229492188	2.1308752E8
284.2714984103172	211.2209930419922	1.57734352E8
122.03676810419097	596.0560302734375	1.5528528E8
164.0474212994105	430.8489990234375	1.42226528E8
123.0320726370166	406.4219970703125	1.3981464E8
156.01713696023455	493.1700134277344	1.32200008E8
126.04290082456903	403.9519958496094	1.200342E8
209.07224308704946	386.3340148925781	1.13899184E8
232.12120199865376	276.9840087890625	1.11785008E8
354.05635648012935	302.0299987792969	1.0749488E8
112.02727606376527	446.0589904785156	8.6779032E7
102.03152225808007	363.8179931640625	8.5986464E7
167.02989795274559	596.0560302734375	8.2594744E7
170.0215220287404	758.4710083007812	7.6250528E7
124.05243289504097	584.8870239257812	6.9210384E7
115.9435518556089	1365.9300537109375	6.5644112E7
104.0471906357141	456.4590148925781	6.3037084E7
74.03611055603776	616.4609985351562	6.0838412E7
112.02726982216676	493.1700134277344	5.8852564E7
135.05452916412224	498.1470031738281	5.7072468E7
173.96520634095452	1358.2099609375	5.6370912E7
242.09044047271632	403.9519958496094	5.5274548E7
113.05891658675583	499.3840026855469	5.425054E7
158.05788014689895	533.7239990234375	5.2175296E7
202.04783548569074	322.385009765625	5.0658936E7
130.0266273660922	732.4359741210938	4.2770308E7
170.02154011670794	810.9400024414062	4.12467E7
198.81531909269194	603.708984375	4.0853072E7
257.2436550931409	213.70199584960938	3.8624528E7
228.0748039592626	446.0589904785156	3.8267588E7
175.01970265668783	698.6110229492188	3.8001424E7
268.0807514751106	528.7689819335938	3.7762504E7
244.06955654109007	501.8550109863281	3.5202832E7
122.03676693909173	458.9360046386719	3.4702644E7
116.01091091419306	654.6710205078125	3.379402E7
130.02665867520156	622.823974609375	3.3377608E7
202.04786043857544	331.1719970703125	3.2637332E7
169.00446392545777	646.9879760742188	3.1998946E7
117.9417700015163	1365.9300537109375	3.1722064E7
196.81828606039133	603.708984375	3.1422632E7
131.0945904045974	522.4010009765625	3.1370442E7
188.11614128399754	629.1929931640625	3.1209336E7
285.27484412232144	211.2209930419922	3.095064E7
108.0574244801563	458.9360046386719	3.0309146E7
329.0526849513486	464.0780029296875	3.0228382E7
382.08765085565415	218.77999877929688	2.961054E7
88.01564882245968	427.1400146484375	2.9232596E7
194.04262671350682	661.06201171875	2.8626834E7
206.04267085568165	685.7589721679688	2.5821556E7
165.07906866651334	499.3840026855469	2.5250824E7
174.0163959966452	732.4359741210938	2.4500764E7
200.17772297396178	221.2689971923828	2.3397526E7
152.04732553711992	458.9360046386719	2.2777474E7
170.07724271414264	435.8179931640625	2.2074106E7
355.0598121293065	302.0299987792969	2.170615E7
137.0476613032373	508.2300109863281	2.149608E7
86.03632348964803	698.6110229492188	2.078379E7
149.04055611298773	622.823974609375	2.0718318E7
149.05111107325368	541.2039794921875	2.0254592E7
164.04741908239558	455.10101318359375	1.9183394E7
200.81238040454804	603.708984375	1.9005484E7
204.09000636518687	556.1790161132812	1.8962676E7
122.03679725952477	361.3330078125	1.8681102E7
144.11503177796712	253.12600708007812	1.8387174E7
97.97682694134669	606.1890258789062	1.7320646E7
196.0583267969703	593.5850219726562	1.7037196E7
400.098130581137	217.4239959716797	1.6443934E7
92.04700928844969	518.635009765625	1.6275188E7
76.0154735739623	518.635009765625	1.5312115E7
233.12453090903128	276.9840087890625	1.5062083E7
372.0668884338829	299.47100830078125	1.496807E7
202.0114511259975	729.8670043945312	1.4555677E7
