,mz,rt,into,maxo,intb
1,156.943304247247,22.1397,168075.615534563,32205.84375,129596.625237339
2,365.274133690036,37.3214,1651667.53148729,61099.5859375,1600400.26416597
3,243.087353671244,32.2336,648211.809815956,65635.140625,648194.159046725
4,243.087519996671,15.6939,697605.956512802,46728.64453125,697585.289291469
5,243.087406474169,48.6611,597527.162253255,50345.44921875,597510.717794922
6,243.087418862516,63.8023,582620.890806087,46510.5078125,582605.789506087
7,215.837343117125,86.5376,91581.3546208594,28987.134765625,91576.3155808594
8,233.154791894252,25.9341,981650.48726291,52211.3828125,981624.03629291
9,233.15476439542,82.7411,1476597.27051602,52621.25390625,1476554.37920692
10,233.154874206087,4.05568,627645.526028877,50187.51953125,627628.39665471
11,364.270850809812,37.3214,10039799.4416987,291873.625,9663446.50021263
12,546.825213251221,116.822,1668202.32299442,115271.6875,1668183.42192299
13,546.825215346268,4.05568,1522517.22375947,137157.125,1522499.09648409
14,546.825034805435,33.5242,1291355.33931846,101604.7265625,1291338.93862679
15,546.825137272761,90.2911,1753204.84143052,115690.1015625,1753184.64324385
16,546.825055726795,66.3482,2130890.57971465,115933.765625,2130864.03707965
17,157.025441534631,140.908,66646.846754004,12787.81640625,64876.0979480207
18,170.057234807483,144.892,61568.2270706543,11438.869140625,59732.9025636626
19,409.107781467285,166.337,162049.850072754,37730.78125,157563.407237091
20,738.757378514826,177.688,178826.31395638,35568.48046875,169329.568341521
21,171.84782141346,184.027,80309.3938562282,16634.939453125,78004.5373651478
22,213.838217483374,199.13,94899.5442128907,23452.373046875,88560.6592932693
23,127.003730732071,201.677,104550.458755046,26963.08203125,93613.7410915341
24,353.200702505411,202.971,441429.669465192,60722.01171875,350585.946049938
25,326.187765178672,205.47,384715.051340626,91225.5,380053.901354057
26,395.389822668622,205.47,455358.590529018,117926.1328125,451204.348380267
27,449.43662985943,204.221,249618.546696615,49717.2578125,249612.227529948
28,452.455453071441,205.47,116460.489085286,32800.17578125,116454.16991862
29,491.483504199163,204.221,237198.580136719,42914.40625,237191.006422433
30,549.561329783754,204.221,112415.37945166,28850.46875,112409.060284993
31,340.203512069681,205.47,364968.963928126,58958.875,361770.4248247
32,366.346087786923,206.72,100315.082413281,33160.6875,100310.091213281
33,437.436111294846,205.47,316123.674737305,59209.0390625,316116.108737305
34,465.467304029984,204.221,228461.514912109,50492.234375,228014.946156825
35,479.483182389999,205.47,223769.301894531,54306.41015625,223761.735894531
36,507.514387671948,206.72,67776.8098720704,16346.7060546875,67771.8186720704
37,267.143726459713,205.47,345423.094386869,66851.46875,343396.324803603
38,284.071322896122,207.966,118364.707988607,26651.07421875,118358.472155274
39,309.174475513932,205.47,1101851.46889795,102562.078125,644396.985366925
40,341.270006797,206.72,196409.131483724,45138.98046875,196402.895650391
41,351.327077115716,207.966,237847.690891927,78362.7109375,237841.455058594
42,382.37758097239,207.966,93943.3547855469,21668.931640625,93938.3683855469
43,393.37408330203,206.72,209667.368349976,47579.26953125,209658.556224976
44,407.389315462864,205.47,527167.401961372,93460.546875,527157.336183594
45,423.421072733219,206.72,374605.249529663,78431.6875,374596.437404663
46,428.125438273282,205.47,574401.056811199,116593.1484375,574390.991033421
47,451.45239136194,206.72,720602.39964106,134354.78125,720592.333863282
48,493.498876428045,205.47,469975.502371374,91772.546875,468785.749418373
49,535.545278740295,206.72,145021.789096875,36717.66015625,145016.802696875
50,216.830438165265,90.2911,13734013.17504,237574.0625,13733942.5107782
51,216.830444350903,175.184,5830071.63651897,368386.75,5830052.68187612
52,216.830446574447,132.105,5189607.33128125,300815.28125,5189586.81928125
53,216.830445378237,154.988,6531828.58958507,326470.4375,6531804.58836285
54,216.830454573143,204.221,6691174.4630239,375676.28125,6691153.0280239
55,216.83044288331,115.527,4646013.88084152,291256.3125,4645994.93155581
