	RT	Std1_1
174.01633090387975	698.968994140625	6.6020352E8
166.02660881012667	596.8109741210938	6.23663744E8
148.0371384996916	623.1890258789062	2.76331104E8
104.01075559606967	642.1430053710938	2.70745952E8
130.0266061859977	698.968994140625	2.56727616E8
95.9876017500254	1356.0	2.40198064E8
118.02651690551502	616.9710083007812	2.31084992E8
206.0426569907339	685.0479736328125	2.04182416E8
164.04740789409402	430.9339904785156	1.9332736E8
169.0739115699687	435.906005859375	1.63494336E8
156.017155744825	492.70001220703125	1.51658144E8
169.00448148768638	647.093017578125	1.46966624E8
123.03206675734178	405.260986328125	1.272418E8
354.05631807729884	301.6400146484375	1.26559624E8
232.12119481997095	276.3030090332031	1.17614088E8
209.0722488272497	386.3949890136719	1.14093344E8
126.0428947921271	405.260986328125	1.08808992E8
102.03152105049658	364.8080139160156	1.05054568E8
122.03681543979638	596.8109741210938	1.00128576E8
158.05788167883122	533.2160034179688	7.906536E7
202.04784172463908	323.375	7.1958504E7
135.0545393694548	497.8190002441406	6.9983888E7
130.02662350682235	732.3560180664062	6.8705264E7
112.02727440522533	492.70001220703125	6.6729608E7
115.94354718761515	1362.77001953125	6.5965928E7
112.02728107782644	446.1709899902344	6.566774E7
188.1160937225171	628.31201171875	6.3950452E7
173.96519734300114	1356.0	6.27492E7
167.02997079194535	596.8109741210938	5.53565E7
329.05270773208264	465.1300048828125	5.3852112E7
242.09042692888292	405.260986328125	5.1993128E7
268.080786265515	528.2680053710938	5.0737832E7
244.06952871740097	502.93798828125	4.9316104E7
124.05246507039772	585.6290283203125	4.4952352E7
175.0196925881764	698.968994140625	4.4345316E7
194.04263628675758	660.9550170898438	4.400808E7
196.05834703637854	594.3389892578125	4.3694872E7
74.03611891203799	615.7340087890625	4.312752E7
112.0159894510973	698.968994140625	4.2362984E7
174.0163927986361	733.7830200195312	4.2008896E7
167.9824107894385	685.0479736328125	3.8547544E7
104.04720206096486	456.4129943847656	3.6630836E7
382.08762538132436	219.41700744628906	3.4057984E7
324.03601613601194	585.6290283203125	3.1700502E7
117.94176546270452	1362.77001953125	3.1026018E7
165.0790827059555	499.0539855957031	3.079734E7
170.02154868144927	772.3200073242188	3.0625858E7
228.07481969903202	446.1709899902344	2.8341404E7
355.0597595299251	301.6400146484375	2.6218574E7
116.01092515710292	654.75	2.5268784E7
130.0266256140312	623.1890258789062	2.5034668E7
86.03631663776899	698.968994140625	2.36758E7
122.03677711190132	458.89300537109375	2.2684488E7
131.09460428239422	523.2839965820312	2.2321478E7
88.01563998432638	427.22100830078125	2.2255202E7
137.0476432677494	508.0769958496094	2.1989858E7
155.06950128297262	633.260986328125	2.182001E7
147.05316045150394	605.656005859375	2.1305208E7
149.05110153578244	541.9400024414062	2.1294156E7
204.09001420991623	556.9739990234375	2.0938726E7
108.05743719867812	458.89300537109375	2.0096088E7
158.05790805347513	322.13299560546875	1.9894034E7
220.05833110807362	633.260986328125	1.9568366E7
146.06914935397262	634.4990234375	1.9506058E7
97.9768172320227	605.656005859375	1.9455136E7
165.050773758716	430.9339904785156	1.9150766E7
215.07952755503578	278.7720031738281	1.9079764E7
400.0981084620634	216.8990020751953	1.895263E7
190.0954217063573	705.2869873046875	1.8907896E7
202.01144538892532	729.8670043945312	1.8763206E7
243.08568938563542	563.2119750976562	1.8554046E7
92.04701293182276	519.5139770507812	1.733134E7
372.06686607900286	297.8580017089844	1.7308592E7
113.05893124718865	499.0539855957031	1.7160074E7
210.03762412609197	677.4169921875	1.6781074E7
144.11501893389726	252.49200439453125	1.6659961E7
233.12452351387486	276.3030090332031	1.6247235E7
149.04052359003714	623.1890258789062	1.6108671E7
117.07897090029968	571.947998046875	1.5999018E7
242.05571115388713	492.70001220703125	1.5857757E7
284.2715320810846	211.9290008544922	1.5699821E7
122.03679817884327	362.3210144042969	1.5446589E7
207.04602321894268	685.0479736328125	1.5434905E7
152.04733949850942	458.89300537109375	1.5397597E7
176.03208280307925	632.0239868164062	1.5301668E7
125.01459556331753	642.1430053710938	1.4844207E7
256.2403545199803	214.41700744628906	1.4747664E7
244.08826195190602	443.6789855957031	1.4731371E7
170.0772769112065	435.906005859375	1.4631404E7
77.97677285783686	1356.0	1.43436E7
131.0298972842997	697.7310180664062	1.4277187E7
202.047863222531	526.9979858398438	1.4048186E7
170.02155828239327	859.0289916992188	1.396034E7
164.047424195804	455.0429992675781	1.3435747E7
96.98718540071926	1358.75	1.2830299E7
133.8751353772619	605.656005859375	1.2240451E7
323.05180150954266	616.9710083007812	1.2138676E7
119.0582054832113	619.4450073242188	1.173164E7
116.08372045357382	277.5369873046875	1.1257031E7
131.05819053529396	624.4249877929688	1.1151791E7
250.03005165155705	291.4750061035156	1.0841068E7
126.04291129818594	528.2680053710938	1.0795487E7
119.02987626211998	616.9710083007812	1.069223E7
174.11163767063255	1031.8699951171875	1.0686425E7
124.02732368997086	448.6499938964844	1.0355756E7
105.04245824810012	658.4739990234375	1.0197492E7
132.05345568916655	638.427001953125	1.0111303E7
173.9652076537363	688.989013671875	1.0090307E7
256.24033567454194	1356.0	1.0058723E7
135.87246010965038	605.656005859375	1.0045252E7
97.9844746427987	1356.0	9913049.0
115.06330959634123	581.9149780273438	9911329.0
230.01914900007313	632.0239868164062	9569794.0
233.93202770945834	1357.4200439453125	9498918.0
264.1044631540451	1099.1600341796875	9259030.0
348.0471264915021	619.4450073242188	9146752.0
135.98045275875015	1356.0	8932521.0
120.05748206674443	430.9339904785156	8879096.0
210.07562944496442	386.3949890136719	8824084.0
175.09568780380002	657.2329711914062	8639827.0
157.0205368715215	492.70001220703125	8610130.0
158.1306714416186	234.88999938964844	8333742.0
90.03133568967002	337.1319885253906	8299159.0
124.03544182219815	405.260986328125	8159507.5
204.8762508773246	1349.5999755859375	8117380.0
176.0204320318	698.968994140625	8037204.0
256.24034147716486	1378.5	7910913.0
206.87447105108558	1364.010009765625	7861779.5
192.02701253278593	613.2620239257812	7809295.0
383.09105901624173	219.41700744628906	7744761.5
196.9955563283564	538.219970703125	7720293.5
123.04018537068656	595.5759887695312	7648461.5
220.05834470838357	647.093017578125	7645127.5
105.01411453597397	642.1430053710938	7583182.0
167.96468342556057	1332.9100341796875	7494374.5
134.02153151557368	649.6069946289062	7399003.5
99.97390605655627	605.656005859375	7241533.5
82.05261141451903	528.2680053710938	7046327.5
319.10331746329865	610.6090087890625	7044676.0
130.02664925843322	540.697998046875	7029005.0
133.037435480054	618.2080078125	7009341.5
86.03633793634758	733.7830200195312	6999214.5
189.94668501546795	1336.6300048828125	6915273.0
347.0631367118499	621.9180297851562	6757737.0
153.07899819246555	278.7720031738281	6680973.5
190.98651284124125	647.093017578125	6652771.0
203.05121315120712	323.375	6553028.0
174.96477042511896	1356.0	6499536.5
171.000304942819	647.093017578125	6476851.0
85.99755495128613	1327.550048828125	6453799.5
151.06334870979617	435.906005859375	6335377.5
79.96580634493677	685.0479736328125	6144161.5
141.99342432312187	1356.0	6111657.5
291.07178278967933	496.406005859375	6091532.5
243.0937350712714	405.260986328125	6049554.0
159.06126701145016	533.2160034179688	5995906.5
127.04625878255669	405.260986328125	5932887.0
136.03856216545893	528.2680053710938	5894336.5
158.0215073390954	584.3909912109375	5872477.5
307.06540973156984	506.6570129394531	5869667.0
94.0415610996925	458.89300537109375	5856198.5
269.08412029024714	528.2680053710938	5841677.0
215.84009920534854	1332.9100341796875	5704232.0
195.9131647787459	834.56298828125	5662072.5
172.01371446824413	610.6090087890625	5631376.0
189.11944668338612	629.5479736328125	5426606.5
101.0111224140474	447.4100036621094	5390856.0
178.0477742632755	544.4229736328125	5379733.5
330.05657161295386	465.1300048828125	5361335.0
155.95472128321651	1356.0	5310187.0
260.0296604094285	658.4739990234375	5213862.0
211.06807390169163	386.3949890136719	5198634.5
264.0722395616709	402.7909851074219	5173801.5
177.0281348181458	300.33099365234375	5159264.5
73.99980044379825	447.4100036621094	5138315.5
327.0989977099787	541.9400024414062	5137337.0
356.05206598052587	301.6400146484375	5067194.0
219.9707474310526	1356.0	5053149.5
245.07284879653312	502.93798828125	5041629.0
151.0494667892083	590.6300048828125	5017810.5
288.0958435083262	405.260986328125	4987211.0
103.03488570181209	364.8080139160156	4857511.0
173.96520621425984	1421.949951171875	4848044.0
213.84213957525589	1335.3900146484375	4846827.0
170.0078165479446	647.093017578125	4833501.0
215.84011578371394	1348.3599853515625	4830821.5
116.0109369676463	549.510009765625	4829922.5
151.9697503825105	1331.489990234375	4819290.0
168.00591236635097	759.6229858398438	4814662.0
295.09059083385375	589.3930053710938	4801623.0
400.08680567144654	497.8190002441406	4755890.0
368.17952286989805	630.7849731445312	4700904.5
168.0308019524215	594.3389892578125	4630159.0
409.14870942788116	500.28900146484375	4625947.0
256.0961001967986	455.0429992675781	4543966.0
168.00592316031174	764.6110229492188	4511460.5
215.079525699391	308.19500732421875	4450766.0
97.96712779469951	707.9949951171875	4401828.5
117.93582805564107	834.56298828125	4337968.5
130.09943387968897	255.0189971923828	4335727.0
120.04222313626991	551.9940185546875	4318171.5
126.03168346728167	683.8090209960938	4269401.5
376.03829043212943	301.6400146484375	4257845.0
401.1014654447944	216.8990020751953	4243770.0
284.2715416358542	1364.010009765625	4129478.0
387.11693967929267	593.10400390625	4042450.0
90.0313421206265	519.5139770507812	4031040.0
175.96202132518687	1357.4200439453125	3998390.5
215.07953257405234	356.0010070800781	3974976.75
152.03344248785373	539.458984375	3972370.0
146.1055371751198	958.9030151367188	3938790.75
76.01547748801883	519.5139770507812	3925410.5
292.0220694363501	763.364013671875	3903540.75
129.0426259929542	486.4620056152344	3903225.75
148.07362009650228	362.3210144042969	3900343.75
192.0270910408433	707.9949951171875	3882019.0
163.96746101225958	1331.489990234375	3851238.75
191.9623567849499	1332.9100341796875	3845158.5
428.1293983787496	205.61599731445312	3809620.5
198.81528344148978	605.656005859375	3793863.75
249.064779152773	386.3949890136719	3750045.0
290.075168849642	502.93798828125	3746690.25
101.0111183316415	497.8190002441406	3745293.75
484.1808488464154	402.7909851074219	3735571.5
131.02991872552795	732.3560180664062	3689459.25
194.9963190775148	538.219970703125	3660179.75
204.06352746601823	571.947998046875	3656607.75
117.94178089859753	356.0010070800781	3642035.5
97.98448071413542	1383.8299560546875	3640528.5
168.04224906024334	605.656005859375	3638322.5
130.02664633996406	556.9739990234375	3635068.25
229.93912674054752	1330.219970703125	3628569.0
178.04778007590147	571.947998046875	3605665.5
117.94177907788035	218.17799377441406	3590667.25
311.90955967420365	1357.4200439453125	3590223.5
351.03467922768726	465.1300048828125	3587715.5
136.05791954452687	499.0539855957031	3581822.75
137.87039070740443	605.656005859375	3562066.5
195.9472228239467	1356.0	3556981.75
274.0802366704963	446.1709899902344	3545406.75
373.0702891859105	299.0950012207031	3515519.25
