,mz,rt,into,maxo,intb
1,248.58158140436,4.05432,52646.7100298328,14687.966796875,50352.9692015725
2,127.051275852682,4.05432,132689.379493632,26372.205078125,113886.585669033
3,135.081624325362,5.30932,54491.0879847305,13296.26171875,54485.7648807305
4,289.795862733452,32.4938,136399.923560494,23316.783203125,129005.230151916
5,166.96124523668,62.8477,61476.6669090235,13767.478515625,61471.6468290235
6,365.27408749473,31.2392,1133374.13468182,68765.2578125,1113003.18332995
7,192.102996473569,114.752,41353.0245946289,9028.7353515625,41347.9677946289
8,364.27090166474,37.5515,8286713.92259274,327691.0625,8056142.0932445
9,152.046517223062,148.994,65763.6029161242,12842.333984375,64519.2941922506
10,102.019506816346,154.014,267840.393500977,32672.546875,215137.418818359
11,113.035693543045,154.014,456721.225747393,39660.82421875,364198.045170499
12,101.03547411111,152.76,466660.823020733,36375.765625,346387.37891397
13,133.94477234549,152.76,634753.093192697,33490.25,491037.237631662
14,83.0246347063475,152.76,457143.086578591,45591.640625,285193.447013111
15,156.038461357359,104.623,539988.31688806,44206.2109375,539968.045314727
16,156.038441537993,60.3373,1029048.21877002,39290.71875,1029010.27290795
17,156.038482694903,19.8612,416353.098190341,45298.1640625,416337.633463068
18,156.038474951857,132.502,362803.06553049,45342.7421875,362790.417752712
19,156.038457218381,85.6161,387162.4309368,38753.9140625,387146.016053467
20,156.038472397658,119.863,359686.774156847,40450.50390625,359674.121934625
21,156.038444548235,150.25,394471.102952051,44794.5078125,394457.200052051
22,156.038471422338,161.63,508723.207922363,47367.26953125,508707.973922363
23,409.108153616226,164.141,127622.668332031,36323.58984375,125091.803091396
24,244.964567024099,199.635,466493.282537335,52468.3671875,350529.031374977
25,423.421053621332,205.905,248526.643905134,61306.0859375,248520.323190848
26,437.436409237415,207.2,283860.551435303,68264.859375,282542.405540527
27,452.455385519551,204.653,130390.438224804,41222.12109375,130385.389424804
28,477.4677149215,204.653,166000.581028739,37704.41015625,165994.260314453
29,479.482947925041,205.905,212001.789813111,49909.09765625,211994.212563111
30,494.503220331221,204.653,92312.5266779294,26310.951171875,92307.4778779294
31,507.514159227768,204.653,96316.2743826169,30806.095703125,96311.2255826169
32,521.530388485042,204.653,138937.297332617,38182.484375,138932.248532617
33,279.163487432004,204.653,104885.697232422,31316.951171875,102196.135305389
34,293.179514383389,203.399,1175307.61487109,176197.296875,1100560.06474489
35,312.145754840103,204.653,139814.984778771,35560.29296875,138831.592966478
36,393.374226024242,205.905,243791.067968506,52073.66015625,243375.370795639
37,491.483287588015,204.653,235805.199498885,57159.7109375,235797.608641742
38,267.143837228577,204.653,387845.977282448,60080.83203125,386588.338724363
39,294.134943253576,205.905,897677.269609932,172545.28125,897669.684752789
40,341.270020899195,205.905,241299.304634522,47208.66015625,241290.464509522
41,354.346105571401,207.2,122920.311660937,39253.44921875,122915.240460937
42,366.34579326106,205.905,148875.525445312,41499.98046875,148870.454245312
43,408.392746634452,207.2,164708.919697591,41948.64453125,164702.591364258
44,424.42457960839,207.2,71959.8600035156,16178.8046875,71954.7888035156
45,465.467499461902,205.905,212055.124988839,59675.5234375,212047.540131696
46,493.499211533128,204.653,429965.014362183,68679.7109375,429956.174237183
47,249.149727497054,207.2,711942.828100341,144601.171875,711933.995850341
48,266.151530537106,204.653,1248450.48060123,210584.515625,1161047.5971085
49,283.067943338828,207.2,983365.07760791,187536.75,983356.24535791
50,324.299639098895,207.2,156248.98228125,43386.75,156242.66228125
51,365.342823840314,207.2,628626.75925,133491.6875,628620.43925
52,368.361583544897,207.2,361329.411234375,82644.9375,361323.091234375
53,395.389557169609,207.2,516541.297136719,73312.0546875,513289.471841923
54,407.389533867968,205.905,775884.005485244,136117.375,775873.918374133
55,409.405296007282,207.2,1169526.75700355,170384.1875,1169515.43582173
56,410.408364258134,207.2,383790.983055245,69815.2734375,383783.406769531
57,451.452243455632,205.905,568500.196530273,104301.9765625,566117.655462768
58,239.067485495702,208.491,291261.806604818,70468.953125,291255.494938152
59,298.283185838841,210.983,235982.089931083,59859.54296875,235975.796359654
60,311.168968848814,204.653,1746688.74508985,115417.421875,578671.111269709
61,312.299400202911,209.738,577113.312002232,144307,577105.745145089
62,339.327205050073,208.491,973097.028366577,176287.640625,972141.47410643
63,144.038362133635,51.4698,3424298.87799935,76810.2890625,3424236.54469102
64,144.038337509026,109.731,1734444.76689232,77455.484375,1734414.36452711
65,144.038392633214,173.012,982969.926604819,81852.5546875,982953.422021485
66,144.038367175987,198.378,1454158.42376318,71182,1454131.82621318
