	RT	Std3
116.01089203027462	553.3200073242188	1.764242816E9
123.03196260090445	411.1340026855469	1.435170048E9
189.06377284516626	584.927978515625	1.06511552E9
130.02651272565853	622.4420166015625	5.36935296E8
127.91227031370983	545.81298828125	3.96178272E8
95.98760851012071	1355.5899658203125	2.79038112E8
205.05950844353785	294.0899963378906	2.62406928E8
127.91227093019256	558.3109741210938	2.3820304E8
196.05832751114824	594.9879760742188	2.08528896E8
159.07177760943415	294.0899963378906	2.04202016E8
129.04258279926876	487.66400146484375	1.67593072E8
72.0204942758385	553.3200073242188	1.36108448E8
324.0451194931301	534.468994140625	1.17742264E8
124.03531233261171	411.1340026855469	9.8125264E7
256.24030607048786	213.55599975585938	9.4055712E7
190.06710619598533	584.927978515625	8.4888472E7
244.08817548877226	443.8599853515625	8.3100296E7
216.0401761581807	607.530029296875	8.20348E7
117.01425282971609	553.3200073242188	8.0784832E7
147.03540732560595	374.677001953125	8.0705536E7
86.03628449786662	622.4420166015625	7.447164E7
173.96520416962088	1355.5899658203125	7.0430856E7
131.05818982445638	576.0230102539062	7.0283032E7
185.99296653336086	662.2269897460938	5.8749868E7
115.94356267119096	1363.2099609375	5.3162456E7
115.94356259396596	1381.0699462890625	4.5662288E7
260.02966796228276	635.0759887695312	3.5317432E7
284.271470062368	212.31199645996094	3.4802336E7
144.04226064766513	363.4490051269531	3.4436076E7
189.91276037896625	545.81298828125	3.4276876E7
131.02980008472488	622.4420166015625	3.0695578E7
116.010943143113	601.2360229492188	3.0413286E7
130.02665058186847	451.3609924316406	2.9713724E7
305.9602080692321	544.5780029296875	2.7982206E7
218.0370579662555	607.530029296875	2.7583576E7
127.91231090114526	601.2360229492188	2.6007556E7
117.9417771961453	1363.2099609375	2.4926628E7
305.96019829860893	560.7849731445312	2.4201758E7
207.05529556305697	294.0899963378906	2.3892438E7
178.04778739033688	451.3609924316406	2.2878404E7
206.0629063827076	294.0899963378906	2.2369914E7
98.00016335273068	363.4490051269531	2.1426824E7
122.0368033008336	363.4490051269531	2.0595962E7
97.97664254167086	646.6900024414062	1.9944972E7
189.91275360514163	558.3109741210938	1.9749774E7
171.0718631261962	294.0899963378906	1.9615E7
317.7464922169948	553.3200073242188	1.835854E7
77.97677861650942	1355.5899658203125	1.8199562E7
136.05249379383534	292.85699462890625	1.8140968E7
124.06369716789814	364.6889953613281	1.7481596E7
257.24365413182386	213.55599975585938	1.7151442E7
79.04160376893768	409.8999938964844	1.6175628E7
96.9871895092105	1355.5899658203125	1.6074919E7
277.80647435524713	549.5750122070312	1.5319738E7
129.04263994608087	584.927978515625	1.5079743E7
118.01517078630306	550.8109741210938	1.5025982E7
160.07514027450588	294.0899963378906	1.4791891E7
171.0532680309724	584.927978515625	1.4543043E7
119.05827356597868	638.9840087890625	1.4409926E7
196.07361977653923	277.5920104980469	1.4381788E7
115.94356135782581	315.6659851074219	1.399216E7
196.05829545926437	576.0230102539062	1.3945273E7
197.06169672980442	594.9879760742188	1.3813033E7
