m/z,RT,Intensity,Identification,Prob
266.114713,1766.400024,528950.250000,StdMix1_47;M+H;[12C]11[13C]1[1H]17[14N]4[16O]1[32S]1,1.000000
280.091703,1185.020020,527438.812500,StdMix1_39;M+Na;[12C]8[1H]20[14N]1[16O]6[31P]1[23Na]1,1.000000
152.056447,864.978027,488184.343750,StdMix1_18;M+H;[12C]5[1H]6[14N]5[16O]1,1.000000
133.560949,1766.400024,429286.218750,StdMix1_47;M+2H;[12C]11[13C]1[1H]18[14N]4[16O]1[32S]1,0.995000
465.249239,349.839996,420141.031250,StdMix1_5;2M+H;[12C]26[1H]33[14N]4[16O]4,1.000000
270.090823,618.966003,416772.187500,StdMix1_11;M+H;[12C]9[13C]1[1H]13[14N]4[16O]5,1.000000
211.038045,998.807983,413584.843750,StdMix1_77;M+ACN+H;[12C]5[1H]11[14N]2[16O]5[32S]1,1.000000
379.152905,900.966003,409029.187500,StdMix1_9;M+H;[12C]15[13C]2[1H]21[14N]4[16O]6,0.945000
291.104557,469.040985,408361.875000,StdMix1_99;2M+Na;[12C]10[1H]20[16O]8[23Na]1,0.975000
190.126366,1064.569946,396512.343750,StdMix1_27;M+H;[12C]7[13C]1[1H]17[14N]2[16O]3,0.995000
125.042360,455.816010,395332.156250,StdMix1_8;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,1.000000
339.016007,1005.929993,379580.343750,StdMix1_77;2M+H;[12C]6[1H]15[14N]2[16O]10[32S]2,1.000000
291.069524,617.513977,373875.906250,StdMix1_11;M+Na;[12C]10[1H]12[14N]4[16O]5[23Na]1,1.000000
366.108278,755.526001,371349.187500,StdMix1_87;M+Na;[12C]11[13C]1[1H]22[16O]11[23Na]1,1.000000
94.573218,1600.359985,369439.312500,StdMix1_45;M+ACN+2H;[12C]8[1H]19[14N]3[16O]2,1.000000
139.058021,360.096985,367972.500000,StdMix1_7;M+H;[12C]6[13C]1[1H]8[14N]1[16O]2,1.000000
115.069320,1031.560059,351896.906250,StdMix1_26;M+H;[12C]3[13C]1[1H]8[14N]3[16O]1,1.000000
246.096705,558.158020,351724.125000,StdMix1_88;2M+ACN+H;[12C]10[1H]16[14N]1[16O]6,1.000000
537.168300,617.513977,346114.281250,StdMix1_11;2M+H;[12C]20[1H]25[14N]8[16O]10,1.000000
86.083692,1960.719971,319506.343750,StdMix1_49;M+2ACN+2H;[12C]8[1H]20[14N]4,1.000000
108.576257,1583.189941,315832.500000,StdMix1_46;M+ACN+2H;[12C]8[1H]19[14N]5[16O]2,1.000000
116.568064,1417.300049,310986.875000,StdMix1_42;M+ACN+2H;[12C]9[1H]19[14N]3[16O]4,1.000000
137.081340,1412.989990,310714.062500,StdMix1_42;M+2ACN+2H;[12C]11[1H]22[14N]4[16O]4,1.000000
130.049714,1083.290039,281815.218750,StdMix1_58;M+ACN+H;[12C]5[1H]8[14N]1[16O]3,1.000000
256.113197,342.454987,281198.687500,StdMix1_5;M+Na;[12C]12[13C]1[1H]16[14N]2[16O]2[23Na]1,1.000000
117.073708,938.357971,259628.015625,StdMix1_22;M+H;[12C]4[13C]1[1H]10[14N]1[16O]2,1.000000
205.070327,559.599976,252075.281250,StdMix1_88;2M+H;[12C]8[1H]13[16O]6,1.000000
487.178075,1164.729980,227227.843750,StdMix1_36;2M+H;[12C]18[1H]27[14N]6[16O]10,1.000000
119.089392,882.323975,205704.000000,StdMix1_20;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2,1.000000
200.002633,811.062012,202216.859375,StdMix1_16;M+H;[12C]5[1H]12[14N]1[16O]2[82Se]1,1.000000
266.074321,1154.589966,194952.875000,StdMix1_36;M+Na;[12C]9[1H]13[14N]3[16O]5[23Na]1,1.000000
88.063017,1588.900024,193759.078125,StdMix1_46;M+2H;[12C]6[1H]16[14N]4[16O]2,1.000000
115.086440,1596.069946,188949.921875,StdMix1_45;M+2ACN+2H;[12C]10[1H]22[14N]4[16O]2,1.000000
200.577309,1772.030029,184948.843750,StdMix1_48;M+2H;[12C]14[13C]1[1H]24[14N]6[16O]5[32S]1,1.000000
153.572538,1773.430054,177453.328125,StdMix1_47;M+ACN+2H;[12C]14[1H]21[14N]5[16O]1[32S]1,0.995000
227.052151,449.942993,177198.203125,StdMix1_88;2M+Na;[12C]8[1H]12[16O]6[23Na]1,1.000000
148.096540,898.104004,173306.156250,StdMix1_22;M+CH3OH+H;[12C]6[1H]14[14N]1[16O]3,0.995000
74.060041,1601.780029,163984.468750,StdMix1_45;M+2H;[12C]6[1H]16[14N]2[16O]2,1.000000
192.105569,1412.989990,156815.796875,StdMix1_42;M+H;[12C]6[13C]1[1H]15[14N]2[16O]4,1.000000
137.064815,898.104004,155079.546875,StdMix1_21;M+H;[12C]4[13C]1[1H]6[14N]5,1.000000
153.073664,802.572021,152941.671875,StdMix1_15;M+H;[12C]7[13C]1[1H]10[14N]1[16O]2,1.000000
210.015832,864.978027,150653.265625,StdMix1_81;M+ACN+H;[12C]5[1H]9[14N]1[16O]6[31P]1,1.000000
198.084596,1134.180054,150293.125000,StdMix1_35;M+Na;[12C]6[1H]13[14N]3[16O]3[23Na]1,0.985000
267.107089,1763.569946,149098.375000,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[34S]1,1.000000
145.068501,566.822021,146091.578125,StdMix1_88;M+ACN+H;[12C]5[13C]1[1H]10[14N]1[16O]3,1.000000
399.144274,1769.209961,145857.890625,StdMix1_48;M+H;[12C]15[1H]23[14N]6[16O]5[32S]1,1.000000
128.053296,981.719971,145420.531250,StdMix1_2;M+H;[12C]4[13C]1[1H]7[14N]2[16O]2,1.000000
360.149638,761.255981,144591.625000,StdMix1_87;M+NH4;[12C]12[1H]26[14N]1[16O]11,1.000000
134.057147,1773.430054,139013.359375,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[34S]1,1.000000
264.076619,782.723999,135783.671875,StdMix1_86;2M+Na;[12C]7[13C]1[1H]16[16O]8[23Na]1,1.000000
245.095677,1161.829956,132516.093750,StdMix1_36;M+H;[12C]8[13C]1[1H]14[14N]3[16O]5,1.000000
162.075768,1375.369995,127578.148438,StdMix1_86;M+ACN+H;[12C]6[1H]12[14N]1[16O]4,0.995000
228.128060,1041.560059,123087.390625,StdMix1_26;2M+H;[12C]7[13C]1[1H]15[14N]6[16O]2,1.000000
172.007156,994.536011,122123.304688,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[34S]1,0.990000
173.128162,782.723999,120000.906250,StdMix1_13;M+ACN+H;[12C]8[1H]17[14N]2[16O]2,1.000000
487.231215,340.973999,118736.851563,StdMix1_5;2M+Na;[12C]26[1H]32[14N]4[16O]4[23Na]1,1.000000
466.252839,345.408997,103942.015625,StdMix1_5;2M+H;[12C]25[13C]1[1H]33[14N]4[16O]4,1.000000
399.126977,469.040985,103151.148438,StdMix1_9;M+Na;[12C]17[1H]20[14N]4[16O]6[23Na]1,0.945000
177.105949,1135.640015,97983.898438,StdMix1_35;M+H;[12C]5[13C]1[1H]14[14N]3[16O]3,1.000000
378.148428,463.161987,91565.351563,StdMix1_9;M+H;[12C]16[13C]1[1H]21[14N]4[16O]6,0.945000
176.121924,1588.900024,91409.601563,StdMix1_46;M+H;[12C]5[13C]1[1H]15[14N]4[16O]2,1.000000
350.057273,888.072021,90957.781250,StdMix1_76;M+H;[12C]9[13C]1[1H]14[14N]4[16O]8[31P]1,0.990000
213.084203,1412.989990,88527.781250,StdMix1_42;M+Na;[12C]7[1H]14[14N]2[16O]4[23Na]1,1.000000
537.194751,1201.010010,84782.773438,StdMix1_39;2M+Na;[12C]16[1H]40[14N]2[16O]12[31P]2[23Na]1,1.000000
147.168099,2669.750000,84459.054688,StdMix1_1;M+H;[12C]6[13C]1[1H]20[14N]3,1.000000
171.014679,998.807983,83246.781250,StdMix1_77;M+H;[12C]2[13C]1[1H]8[14N]1[16O]5[32S]1,1.000000
151.061350,827.880005,82765.171875,StdMix1_17;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2[32S]1,0.980000
259.112978,1185.020020,82598.437500,StdMix1_39;M+H;[12C]7[13C]1[1H]21[14N]1[16O]6[31P]1,1.000000
509.160025,1157.479980,79127.984375,StdMix1_36;2M+Na;[12C]18[1H]26[14N]6[16O]10[23Na]1,1.000000
441.133322,846.234009,78854.335938,StdMix1_69;2M+Na;[12C]14[1H]30[14N]2[16O]8[32S]2[23Na]1,1.000000
