m/z,RT,Intensity,Identification,Prob
233.128175,339.683014,7609486.500000,StdMix1_5;M+H;[12C]13[1H]17[14N]2[16O]2,0.995000
114.066045,1031.079956,6922498.000000,StdMix1_26;M+H;[12C]4[1H]8[14N]3[16O]1,1.000000
132.101754,782.921997,5753966.000000,StdMix1_13;M+H;[12C]6[1H]14[14N]1[16O]2,1.000000
124.039163,454.772003,4718499.500000,StdMix1_8;M+H;[12C]6[1H]6[14N]1[16O]2,1.000000
265.111400,1767.170044,4251126.500000,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[32S]1,1.000000
365.104941,758.892029,3844846.750000,StdMix1_87;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
144.065351,564.010010,3571816.000000,StdMix1_88;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,1.000000
189.123049,1060.310059,3507782.750000,StdMix1_27;M+H;[12C]8[1H]17[14N]2[16O]3,0.960000
138.054804,356.398010,3331857.250000,StdMix1_7;M+H;[12C]7[1H]8[14N]1[16O]2,1.000000
133.059315,1767.170044,3318968.750000,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[32S]1,1.000000
116.070426,940.614014,3051500.750000,StdMix1_22;M+H;[12C]5[1H]10[14N]1[16O]2,0.990000
255.110025,338.157990,2955535.500000,StdMix1_5;M+Na;[12C]13[1H]16[14N]2[16O]2[23Na]1,1.000000
269.087686,619.986023,2761971.000000,StdMix1_11;M+H;[12C]10[1H]13[14N]4[16O]5,1.000000
170.011482,1007.210022,2674336.750000,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[32S]1,1.000000
136.061601,893.562012,2633905.000000,StdMix1_21;M+H;[12C]5[1H]6[14N]5,0.960000
263.073406,782.921997,2418435.500000,StdMix1_86;2M+Na;[12C]8[1H]16[16O]8[23Na]1,0.995000
127.050009,970.421997,2146732.750000,StdMix1_2;M+H;[12C]5[1H]7[14N]2[16O]2,1.000000
355.062933,314.700989,1858829.500000,StdMix1_57;M+H;[12C]19[1H]15[16O]5[32S]1,1.000000
205.070480,569.828003,1678455.125000,StdMix1_88;2M+H;[12C]8[1H]13[16O]6,1.000000
210.079189,832.158020,1580260.875000,StdMix1_69;M+H;[12C]7[1H]16[14N]1[16O]4[32S]1,1.000000
152.070419,804.846008,1557640.125000,StdMix1_15;M+H;[12C]8[1H]10[14N]1[16O]2,0.980000
227.124721,1037.140015,1168117.750000,StdMix1_26;2M+H;[12C]8[1H]15[14N]6[16O]2,1.000000
244.092348,1160.469971,1134400.125000,StdMix1_36;M+H;[12C]9[1H]14[14N]3[16O]5,1.000000
258.109614,1187.989990,1082928.750000,StdMix1_39;M+H;[12C]8[1H]21[14N]1[16O]6[31P]1,1.000000
234.131358,341.209991,1075349.125000,StdMix1_5;M+H;[12C]12[13C]1[1H]17[14N]2[16O]2,0.995000
377.145075,468.550995,960573.937500,StdMix1_9;M+H;[12C]17[1H]21[14N]4[16O]6,1.000000
280.091441,1187.989990,833302.437500,StdMix1_39;M+Na;[12C]8[1H]20[14N]1[16O]6[31P]1[23Na]1,0.995000
244.078736,711.203979,821659.062500,StdMix1_3;M+Na;[12C]8[1H]15[14N]1[16O]6[23Na]1,1.000000
133.060499,1110.750000,755441.937500,StdMix1_32;M+H;[12C]4[1H]9[14N]2[16O]3,0.980000
165.054428,336.628998,728096.375000,StdMix1_50;M+H;[12C]9[1H]9[16O]3,0.960000
134.044532,1054.060059,715898.937500,StdMix1_29;M+H;[12C]4[1H]8[14N]1[16O]4,0.990000
349.053815,907.122009,697308.250000,StdMix1_76;M+H;[12C]10[1H]14[14N]4[16O]8[31P]1,1.000000
537.168385,615.528015,688885.125000,StdMix1_11;2M+H;[12C]20[1H]25[14N]8[16O]10,1.000000
465.249276,351.852997,603422.125000,StdMix1_5;2M+H;[12C]26[1H]33[14N]4[16O]4,1.000000
266.114590,1771.709961,560465.562500,StdMix1_47;M+H;[12C]11[13C]1[1H]17[14N]4[16O]1[32S]1,1.000000
232.061095,832.158020,531179.062500,StdMix1_69;M+Na;[12C]7[1H]15[14N]1[16O]4[32S]1[23Na]1,1.000000
243.097102,423.230011,525669.875000,StdMix1_56;M+H;[12C]10[1H]15[14N]2[16O]5,1.000000
366.108258,758.892029,512234.656250,StdMix1_87;M+Na;[12C]11[13C]1[1H]22[16O]11[23Na]1,1.000000
126.021810,978.330017,503958.312500,StdMix1_24;M+H;[12C]2[1H]8[14N]1[16O]3[32S]1,1.000000
175.118665,1584.349976,502142.875000,StdMix1_46;M+H;[12C]6[1H]15[14N]4[16O]2,1.000000
246.096702,564.010010,447997.937500,StdMix1_88;2M+ACN+H;[12C]10[1H]16[14N]1[16O]6,1.000000
222.096853,709.643982,435970.843750,StdMix1_3;M+H;[12C]8[1H]16[14N]1[16O]6,0.985000
133.560905,1768.689941,422653.687500,StdMix1_47;M+2H;[12C]11[13C]1[1H]18[14N]4[16O]1[32S]1,1.000000
227.052230,448.612000,397579.250000,StdMix1_88;2M+Na;[12C]8[1H]12[16O]6[23Na]1,0.995000
133.104998,782.921997,396786.500000,StdMix1_13;M+H;[12C]5[13C]1[1H]14[14N]1[16O]2,1.000000
169.049278,555.283020,391660.875000,StdMix1_55;M+H;[12C]8[1H]9[16O]4,1.000000
256.113262,339.683014,386921.656250,StdMix1_5;M+Na;[12C]12[13C]1[1H]16[14N]2[16O]2[23Na]1,1.000000
291.104476,517.556030,385054.656250,StdMix1_99;2M+Na;[12C]10[1H]20[16O]8[23Na]1,1.000000
356.066145,314.700989,383870.093750,StdMix1_57;M+H;[12C]18[13C]1[1H]15[16O]5[32S]1,1.000000
167.033660,357.912994,375943.093750,StdMix1_52;M+H;[12C]8[1H]7[16O]4,0.945000
266.074165,1158.839966,361933.375000,StdMix1_36;M+Na;[12C]9[1H]13[14N]3[16O]5[23Na]1,0.995000
487.231038,339.683014,358802.750000,StdMix1_5;2M+Na;[12C]26[1H]32[14N]4[16O]4[23Na]1,1.000000
339.015731,1007.210022,352209.625000,StdMix1_77;2M+H;[12C]6[1H]15[14N]2[16O]10[32S]2,1.000000
291.069559,619.986023,340050.500000,StdMix1_11;M+Na;[12C]10[1H]12[14N]4[16O]5[23Na]1,1.000000
75.080378,7.272720,318714.843750,StdMix1_101;M+H;[12C]4[1H]11[16O]1,1.000000
191.102232,1420.400024,315903.875000,StdMix1_42;M+H;[12C]7[1H]15[14N]2[16O]4,1.000000
130.049650,1084.459961,313673.687500,StdMix1_58;M+ACN+H;[12C]5[1H]8[14N]1[16O]3,0.995000
125.042402,457.841003,307132.218750,StdMix1_8;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,1.000000
190.126251,1058.739990,298780.531250,StdMix1_27;M+H;[12C]7[13C]1[1H]17[14N]2[16O]3,0.960000
115.069260,1029.560059,298144.718750,StdMix1_26;M+H;[12C]3[13C]1[1H]8[14N]3[16O]1,1.000000
270.090847,619.986023,282679.468750,StdMix1_11;M+H;[12C]9[13C]1[1H]13[14N]4[16O]5,1.000000
509.159551,1157.229980,275379.281250,StdMix1_36;2M+Na;[12C]18[1H]26[14N]6[16O]10[23Na]1,1.000000
325.042538,858.383972,269235.281250,StdMix1_75;M+H;[12C]9[1H]14[14N]2[16O]9[31P]1,1.000000
102.054746,1122.349976,260112.875000,StdMix1_86;M+2ACN+2H;[12C]8[1H]16[14N]2[16O]4,1.000000
179.081197,356.398010,241389.703125,StdMix1_7;M+ACN+H;[12C]9[1H]11[14N]2[16O]2,1.000000
307.101900,761.916016,231883.500000,StdMix1_36;M+ACN+Na;[12C]11[1H]16[14N]4[16O]5[23Na]1,1.000000
139.058053,356.398010,231168.109375,StdMix1_7;M+H;[12C]6[13C]1[1H]8[14N]1[16O]2,1.000000
487.177578,1157.229980,221922.531250,StdMix1_36;2M+H;[12C]18[1H]27[14N]6[16O]10,1.000000
145.068583,564.010010,217370.625000,StdMix1_88;M+ACN+H;[12C]5[13C]1[1H]10[14N]1[16O]3,1.000000
379.152693,887.429993,180479.203125,StdMix1_9;M+H;[12C]15[13C]2[1H]21[14N]4[16O]6,1.000000
264.076614,779.969971,176206.437500,StdMix1_86;2M+Na;[12C]7[13C]1[1H]16[16O]8[23Na]1,1.000000
117.073690,940.614014,163440.265625,StdMix1_22;M+H;[12C]4[13C]1[1H]10[14N]1[16O]2,0.990000
465.168570,712.757996,157049.375000,StdMix1_3;2M+Na;[12C]16[1H]30[14N]2[16O]12[23Na]1,1.000000
267.106909,1771.709961,155406.265625,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[34S]1,0.955000
378.148433,467.022003,151625.218750,StdMix1_9;M+H;[12C]16[13C]1[1H]21[14N]4[16O]6,1.000000
466.252668,345.782013,147692.750000,StdMix1_5;2M+H;[12C]25[13C]1[1H]33[14N]4[16O]4,1.000000
399.126896,468.550995,145003.859375,StdMix1_9;M+Na;[12C]17[1H]20[14N]4[16O]6[23Na]1,1.000000
85.028194,587.356995,142800.296875,StdMix1_55;M+2H;[12C]8[1H]10[16O]4,0.960000
537.194023,1204.089966,141869.531250,StdMix1_39;2M+Na;[12C]16[1H]40[14N]2[16O]12[31P]2[23Na]1,1.000000
