m/z,RT,Intensity,Identification,Prob
245.075775,550.931030,1321539.250000,StdMix1_65;M+H;[12C]9[1H]13[14N]2[16O]6,0.995000
487.231328,338.998993,1281227.750000,StdMix1_5;2M+Na;[12C]26[1H]32[14N]4[16O]4[23Na]1,1.000000
349.053992,903.504028,1241615.875000,StdMix1_76;M+H;[12C]10[1H]14[14N]4[16O]8[31P]1,1.000000
264.076690,790.554016,1126579.875000,StdMix1_86;2M+Na;[12C]7[13C]1[1H]16[16O]8[23Na]1,0.980000
206.100166,799.002014,1116364.500000,StdMix1_14;M+H;[12C]10[13C]1[1H]13[14N]2[16O]2,0.995000
266.074310,1168.500000,1113177.375000,StdMix1_36;M+Na;[12C]9[1H]13[14N]3[16O]5[23Na]1,1.000000
324.058639,1185.589966,1095329.500000,StdMix1_79;M+H;[12C]9[1H]15[14N]3[16O]8[31P]1,1.000000
360.149743,808.932007,1070432.875000,StdMix1_87;M+NH4;[12C]12[1H]26[14N]1[16O]11,1.000000
243.097103,424.487000,1056232.500000,StdMix1_56;M+H;[12C]10[1H]15[14N]2[16O]5,1.000000
366.108387,748.325989,1032895.187500,StdMix1_87;M+Na;[12C]11[13C]1[1H]22[16O]11[23Na]1,1.000000
537.168468,626.526001,1020753.687500,StdMix1_11;2M+H;[12C]20[1H]25[14N]8[16O]10,1.000000
537.194424,1200.949951,996266.562500,StdMix1_39;2M+Na;[12C]16[1H]40[14N]2[16O]12[31P]2[23Na]1,1.000000
339.015865,1010.440002,991850.375000,StdMix1_77;2M+H;[12C]6[1H]15[14N]2[16O]10[32S]2,1.000000
147.112568,1606.619995,968979.625000,StdMix1_45;M+H;[12C]6[1H]15[14N]2[16O]2,1.000000
509.159915,1168.500000,951135.062500,StdMix1_36;2M+Na;[12C]18[1H]26[14N]6[16O]10[23Na]1,1.000000
291.069509,625.056030,941199.812500,StdMix1_11;M+Na;[12C]10[1H]12[14N]4[16O]5[23Na]1,1.000000
174.038327,869.142029,940799.375000,StdMix1_18;M+Na;[12C]5[1H]5[14N]5[16O]1[23Na]1,1.000000
441.133198,845.513977,857483.187500,StdMix1_69;2M+Na;[12C]14[1H]30[14N]2[16O]8[32S]2[23Na]1,1.000000
165.054440,336.074005,832265.750000,StdMix1_50;M+H;[12C]9[1H]9[16O]3,0.995000
142.026191,1177.800049,814498.500000,StdMix1_37;M+H;[12C]2[1H]9[14N]1[16O]4[31P]1,1.000000
399.126975,463.774994,803661.062500,StdMix1_9;M+Na;[12C]17[1H]20[14N]4[16O]6[23Na]1,1.000000
222.096868,719.513977,799094.312500,StdMix1_3;M+H;[12C]8[1H]16[14N]1[16O]6,1.000000
190.126230,1068.800049,783667.875000,StdMix1_27;M+H;[12C]7[13C]1[1H]17[14N]2[16O]3,0.995000
179.081233,355.463989,774426.062500,StdMix1_7;M+ACN+H;[12C]9[1H]11[14N]2[16O]2,1.000000
307.102002,807.504028,751937.625000,StdMix1_36;M+ACN+Na;[12C]11[1H]16[14N]4[16O]5[23Na]1,1.000000
465.249513,337.536987,721128.062500,StdMix1_5;2M+H;[12C]26[1H]33[14N]4[16O]4,1.000000
133.105026,794.778015,716457.687500,StdMix1_13;M+H;[12C]5[13C]1[1H]14[14N]1[16O]2,1.000000
202.068271,1384.209961,681189.437500,StdMix1_41;M+Na;[12C]6[1H]13[14N]1[16O]5[23Na]1,0.990000
119.081392,1580.880005,670926.937500,StdMix1_44;M+H;[12C]4[1H]11[14N]2[16O]2,1.000000
130.049678,1092.459961,650088.937500,StdMix1_58;M+ACN+H;[12C]5[1H]8[14N]1[16O]3,1.000000
246.096934,837.161987,620639.312500,StdMix1_88;2M+ACN+H;[12C]10[1H]16[14N]1[16O]6,1.000000
348.069891,1027.859985,600258.250000,StdMix1_33;M+H;[12C]10[1H]15[14N]5[16O]7[31P]1,1.000000
198.084563,1148.170044,574217.500000,StdMix1_35;M+Na;[12C]6[1H]13[14N]3[16O]3[23Na]1,1.000000
325.042725,837.161987,573473.000000,StdMix1_75;M+H;[12C]9[1H]14[14N]2[16O]9[31P]1,1.000000
102.054778,1127.359985,546790.250000,StdMix1_86;M+2ACN+2H;[12C]8[1H]16[14N]2[16O]4,1.000000
200.075701,1776.400024,541133.437500,StdMix1_48;M+2H;[12C]15[1H]24[14N]6[16O]5[32S]1,1.000000
