m/z,RT,Intensity,Identification,Prob
179.081449,352.290985,297017.093750,StdMix1_7;M+ACN+H;[12C]9[1H]11[14N]2[16O]2,1.000000
125.042509,448.751007,280810.625000,StdMix1_8;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,0.995000
465.250125,343.026001,279573.750000,StdMix1_5;2M+H;[12C]26[1H]33[14N]4[16O]4,1.000000
165.054608,331.895996,264877.406250,StdMix1_50;M+H;[12C]9[1H]9[16O]3,0.985000
366.108912,761.093994,253154.531250,StdMix1_87;M+Na;[12C]11[13C]1[1H]22[16O]11[23Na]1,1.000000
256.113600,331.895996,251981.859375,StdMix1_5;M+Na;[12C]12[13C]1[1H]16[14N]2[16O]2[23Na]1,1.000000
147.112740,1624.290039,251831.203125,StdMix1_45;M+H;[12C]6[1H]15[14N]2[16O]2,1.000000
115.069369,1052.390015,251420.312500,StdMix1_26;M+H;[12C]3[13C]1[1H]8[14N]3[16O]1,1.000000
133.105072,791.778015,237211.250000,StdMix1_13;M+H;[12C]5[13C]1[1H]14[14N]1[16O]2,1.000000
266.074755,1182.109985,230048.953125,StdMix1_36;M+Na;[12C]9[1H]13[14N]3[16O]5[23Na]1,1.000000
339.016407,991.781982,222541.468750,StdMix1_77;2M+H;[12C]6[1H]15[14N]2[16O]10[32S]2,1.000000
102.054852,1148.160034,217277.031250,StdMix1_86;M+2ACN+2H;[12C]8[1H]16[14N]2[16O]4,1.000000
117.073781,950.502014,210105.312500,StdMix1_22;M+H;[12C]4[13C]1[1H]10[14N]1[16O]2,1.000000
356.066940,292.199005,208906.093750,StdMix1_57;M+H;[12C]18[13C]1[1H]15[16O]5[32S]1,1.000000
137.064927,909.383972,192182.687500,StdMix1_21;M+H;[12C]4[13C]1[1H]6[14N]5,1.000000
130.049817,435.580994,177508.015625,StdMix1_58;M+ACN+H;[12C]5[1H]8[14N]1[16O]3,1.000000
211.038218,988.739990,174328.000000,StdMix1_77;M+ACN+H;[12C]5[1H]11[14N]2[16O]5[32S]1,1.000000
145.068696,561.953003,164651.296875,StdMix1_88;M+ACN+H;[12C]5[13C]1[1H]10[14N]1[16O]3,1.000000
148.096700,915.797974,161491.265625,StdMix1_22;M+CH3OH+H;[12C]6[1H]14[14N]1[16O]3,1.000000
291.105005,505.447998,157329.687500,StdMix1_99;2M+Na;[12C]10[1H]20[16O]8[23Na]1,1.000000
119.089508,890.148010,154719.921875,StdMix1_20;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2,1.000000
136.048071,1055.709961,144862.640625,StdMix1_26;M+Na;[12C]4[1H]7[14N]3[16O]1[23Na]1,1.000000
267.107387,1810.640015,143354.781250,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[34S]1,1.000000
153.572686,1812.189941,135501.062500,StdMix1_47;M+ACN+2H;[12C]14[1H]21[14N]5[16O]1[32S]1,1.000000
216.097859,1121.469971,126630.500000,StdMix1_29;M+2ACN+H;[12C]8[1H]14[14N]3[16O]4,1.000000
200.075814,1802.859985,116251.718750,StdMix1_48;M+2H;[12C]15[1H]24[14N]6[16O]5[32S]1,1.000000
441.133861,834.875977,114589.101563,StdMix1_69;2M+Na;[12C]14[1H]30[14N]2[16O]8[32S]2[23Na]1,1.000000
538.172784,617.388000,111548.320313,StdMix1_11;2M+H;[12C]19[13C]1[1H]25[14N]8[16O]10,0.995000
128.053451,996.335999,111361.828125,StdMix1_2;M+H;[12C]4[13C]1[1H]7[14N]2[16O]2,1.000000
245.096030,1182.109985,111159.921875,StdMix1_36;M+H;[12C]8[13C]1[1H]14[14N]3[16O]5,1.000000
108.576389,1611.040039,105960.968750,StdMix1_46;M+ACN+2H;[12C]8[1H]19[14N]5[16O]2,1.000000
134.057232,1813.729980,104591.000000,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[34S]1,1.000000
378.149119,453.470001,103284.921875,StdMix1_9;M+H;[12C]16[13C]1[1H]21[14N]4[16O]6,1.000000
264.076955,787.049988,101288.890625,StdMix1_86;2M+Na;[12C]7[13C]1[1H]16[16O]8[23Na]1,1.000000
282.118386,1391.800049,101147.140625,StdMix1_86;2M+ACN+H;[12C]10[1H]20[14N]1[16O]8,1.000000
399.127669,455.031006,100126.843750,StdMix1_9;M+Na;[12C]17[1H]20[14N]4[16O]6[23Na]1,1.000000
94.573270,1624.290039,99100.164063,StdMix1_45;M+ACN+2H;[12C]8[1H]19[14N]3[16O]2,1.000000
153.073791,812.286011,96092.515625,StdMix1_15;M+H;[12C]7[13C]1[1H]10[14N]1[16O]2,1.000000
139.058191,352.290985,94117.851563,StdMix1_7;M+H;[12C]6[13C]1[1H]8[14N]1[16O]2,1.000000
487.232044,330.278015,91948.632813,StdMix1_5;2M+Na;[12C]26[1H]32[14N]4[16O]4[23Na]1,1.000000
174.038547,865.494019,91351.421875,StdMix1_18;M+Na;[12C]5[1H]5[14N]5[16O]1[23Na]1,0.975000
465.169451,712.500000,88305.593750,StdMix1_3;2M+Na;[12C]16[1H]30[14N]2[16O]12[23Na]1,1.000000
509.160815,1180.410034,84776.695313,StdMix1_36;2M+Na;[12C]18[1H]26[14N]6[16O]10[23Na]1,1.000000
360.150120,762.671997,82648.648438,StdMix1_87;M+NH4;[12C]12[1H]26[14N]1[16O]11,1.000000
