DatabaseID,Adduct,Annotation,std3-Beer_esi_02022012.csv,std3-Beth20512.csv,std3-Eileen02512.csv,std3-Iain_Jonstone19_4_12.csv,std3-Ivana_29_2_12.csv,std3-Robello040512.csv
StdMix3_20,M+H,[12C]9[1H]18[14N]1[16O]4,1.2280991E7,,,,1.1169738E7,
StdMix3_1,M+H,[12C]6[1H]6[14N]1[16O]2,1.0687747E7,4.645568E7,4.4662912E7,7.5799736E7,1.156423E7,4.1718656E7
StdMix3_8,M+H,[12C]7[1H]12[14N]1[16O]5,6052910.0,3.5199104E7,3.5400476E7,6.7757032E7,9334827.0,3.463818E7
StdMix3_8,M+Na,[12C]7[1H]11[14N]1[16O]5[23Na]1,3887959.75,1.7139908E7,1.80239E7,2.7531714E7,2572063.0,5639667.5
StdMix3_18,M+H,[12C]8[1H]16[14N]1[16O]1[32S]2,2550957.0,,,,2594828.5,
StdMix3_7,M+NH4,[12C]5[1H]10[14N]1[16O]4,2231138.5,1670248.375,1664645.25,2499177.0,188167.125,
StdMix3_7,M+ACN+H,[12C]7[1H]10[14N]1[16O]4,1141123.125,8428081.0,8050169.5,1.3773975E7,1276480.875,4301953.0
StdMix3_4,M+H,[12C]4[1H]8[14N]1[16O]2,583495.625,1.3386632E7,1.2072807E7,2.2353476E7,590945.5625,1.3450787E7
StdMix3_8,2M+Na,[12C]14[1H]22[14N]2[16O]10[23Na]1,389863.8125,2227170.0,2982074.0,3253278.25,302579.40625,626837.0
StdMix3_24,M+ACN+Na,[12C]7[1H]12[14N]2[16O]4[23Na]1,156811.5,925656.0,906839.375,1270893.875,53583.390625,660646.125
StdMix3_7,2M+Na,[12C]10[1H]12[16O]8[23Na]1,155671.34375,,,,12420.792969,
StdMix3_4,M+CH3OH+H,[12C]5[1H]12[14N]1[16O]3,138312.921875,,,34374.316406,137493.984375,
StdMix3_4,M+ACN+H,[12C]6[1H]11[14N]2[16O]2,122307.960938,471575.5,417798.625,1410087.625,60665.109375,1551435.125
StdMix3_1,M+ACN+H,[12C]8[1H]9[14N]2[16O]2,73083.921875,170482.453125,159750.015625,490813.1875,155337.3125,451078.59375
StdMix3_20,M+Na,[12C]9[1H]17[14N]1[16O]4[23Na]1,40675.132813,,,,68933.601563,
StdMix3_24,M+ACN+H,[12C]7[1H]13[14N]2[16O]4,37482.695313,257500.21875,260250.90625,990852.0,30640.392578,192040.890625
StdMix3_20,2M+H,[12C]18[1H]35[14N]2[16O]8,34990.792969,,,,112094.625,
StdMix3_1,M+Na,[12C]6[1H]5[14N]1[16O]2[23Na]1,32323.423828,128290.851563,107570.359375,277337.625,51859.957031,119542.828125
StdMix3_7,M+H,[12C]5[1H]7[16O]4,25091.462891,37870.28125,25611.388672,17437.552734,25741.761719,
StdMix3_24,M+2ACN+2H,[12C]9[1H]17[14N]3[16O]4,15993.31543,,,,,16883.978516
StdMix3_24,M+ACN+2H,[12C]7[1H]14[14N]2[16O]4,15482.828125,,,16136.700195,112206.726563,
StdMix3_18,2M+H,[12C]16[1H]31[14N]2[16O]2[32S]4,14974.874023,,,,,
StdMix3_18,M+Na,[12C]8[1H]15[14N]1[16O]1[32S]2[23Na]1,13185.568359,,,,13632.804688,
StdMix3_7,M+2ACN+H,[12C]9[1H]13[14N]2[16O]4,12424.453125,99797.90625,99976.367188,112465.804688,16725.746094,103357.359375
