DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_41,M-H2O-H,[12C]6[1H]10[14N]1[16O]4,49652.613281,,,76354.804688,12869.179688,
StdMix1_86,M+Cl,[12C]4[1H]8[16O]4[37Cl]1,44485.691406,72243.210938,83457.40625,239841.84375,40566.621094,64834.453125
StdMix1_54,M+Cl,[12C]4[1H]6[16O]4[37Cl]1,44261.699219,,,,,
StdMix1_39,M+Cl,[12C]8[1H]20[14N]1[16O]6[31P]1[35Cl]1,43642.011719,,,22494.003906,,37038.96875
StdMix1_21,M+Cl,[12C]5[1H]5[14N]5[37Cl]1,43522.117188,103896.117188,124217.234375,231661.828125,86925.0625,65728.289063
StdMix1_14,M+Cl,[12C]11[1H]12[14N]2[16O]2[37Cl]1,43398.109375,,,,,
StdMix1_81,M+Na-2H,[12C]3[1H]3[16O]6[31P]1[23Na]1,40380.789063,38771.207031,,142360.984375,,
StdMix1_53,2M-H,[12C]8[1H]7[16O]8,39009.660156,12104.832031,14235.214844,73879.320313,62329.917969,34467.605469
StdMix1_72,M+Na-2H,[12C]6[1H]8[16O]7[23Na]1,37634.042969,18437.732422,,58649.597656,,
StdMix1_54,M-H2O-H,[12C]4[1H]3[16O]3,37619.917969,29118.273438,35497.675781,83107.507813,24264.039063,
StdMix1_98,M+Na-2H,[12C]8[1H]6[16O]3[23Na]1,37507.714844,40896.039063,,61963.261719,,
StdMix1_61,M+Cl,[12C]9[1H]12[14N]2[16O]5[35Cl]1,32888.285156,68129.648438,52447.566406,124041.164063,174183.296875,113297.5
StdMix1_54,2M-H,[12C]8[1H]11[16O]8,30601.595703,23037.728516,27243.775391,31781.177734,,33260.613281
StdMix1_104,M+Cl,[12C]3[1H]6[16O]3[35Cl]1,29274.480469,,,,,
StdMix1_54,2M+FA-H,[12C]9[1H]13[16O]10,28512.476563,,,,41918.230469,
StdMix1_28,M-H2O-H,[12C]4[1H]6[14N]1[16O]2,28319.910156,29603.052734,26738.544922,106516.90625,15828.591797,
StdMix1_65,M+Cl,[12C]9[1H]12[14N]2[16O]6[37Cl]1,28298.890625,125404.46875,93426.90625,317771.46875,39011.640625,129900.304688
StdMix1_88,2M+FA-H,[12C]9[1H]13[16O]8,28079.644531,,,,,
StdMix1_60,2M+FA-H,[12C]11[1H]17[16O]12,27591.255859,,,,23466.882813,
StdMix1_80,M+FA-H,[12C]7[1H]14[16O]11[31P]1,27030.9375,,,25980.910156,,
StdMix1_11,M+Cl,[12C]10[1H]12[14N]4[16O]5[35Cl]1,26308.753906,19125.074219,15621.125,48330.546875,24096.28125,43654.523438
StdMix1_55,M-H2O-H,[12C]8[1H]5[16O]3,25819.021484,,,,15494.179688,
StdMix1_54,M+Cl,[12C]4[1H]6[16O]4[35Cl]1,25131.898438,,,,,
StdMix1_34,2M+FA-H,[12C]7[1H]15[14N]2[16O]8,21810.972656,,,,,
StdMix1_66,M+Na-2H,[12C]6[1H]4[16O]6[23Na]1,21576.810547,,11909.151367,28524.085938,16791.263672,
StdMix1_79,2M-H,[12C]18[1H]27[14N]6[16O]16[31P]2,20647.560547,,,,,
StdMix1_11,2M+FA-H,[12C]21[1H]25[14N]8[16O]12,20540.255859,,,,13222.613281,20098.197266
StdMix1_50,2M+FA-H,[12C]19[1H]17[16O]8,20090.392578,,,,,
StdMix1_76,M+FA-H,[12C]11[1H]14[14N]4[16O]10[31P]1,19720.382813,,,,,29452.033203
StdMix1_66,M-H2O-H,[12C]6[1H]3[16O]5,19409.296875,,21216.707031,16398.935547,,
StdMix1_67,M-H2O-H,[12C]6[1H]9[16O]4,18731.345703,,,12259.233398,,
StdMix1_54,M+K-2H,[12C]4[1H]4[16O]4[39K]1,18681.4375,,,,,
StdMix1_14,M-H,[12C]11[1H]11[14N]2[16O]2,17169.123047,,,,,
StdMix1_34,M-H2O-H,[12C]3[1H]4[14N]1[16O]2,16907.625,,,,,
StdMix1_87,M+Na-2H,[12C]12[1H]20[16O]11[23Na]1,16643.769531,,,21592.605469,13507.851563,
StdMix1_3,M-H2O-H,[12C]8[1H]12[14N]1[16O]5,16627.191406,,,20128.728516,,
StdMix1_2,M+Cl,[12C]5[1H]6[14N]2[16O]2[37Cl]1,16221.795898,,,10463.888672,10311.341797,20460.763672
StdMix1_59,M+FA-H,[12C]4[1H]5[16O]6,15493.950195,,,,,
StdMix1_50,M+Na-2H,[12C]9[1H]6[16O]3[23Na]1,14430.050781,,,39101.386719,27871.494141,
