DatabaseID,Adduct,Annotation,std2-Beer_esi_02022012.csv,std2-Beth20512.csv,std2-Eileen02512.csv,std2-Iain_Jonstone19_4_12.csv,std2-Ivana_29_2_12.csv,std2-Robello040512.csv
StdMix2_39,M+H,[12C]3[1H]10[14N]1[16O]1,1088.97998,,,,1119.699951,
StdMix2_23,M+H,[12C]7[1H]16[14N]1[16O]2,984.942017,,,,993.882019,
StdMix2_54,M+H,[12C]3[1H]11[14N]2,1694.98999,,,,1716.0,
StdMix2_10,M+H,[12C]6[1H]7[14N]2[16O]1,516.283997,528.955994,,526.408997,520.445007,
StdMix2_12,M+H,[12C]11[1H]16[14N]5[16O]3[32S]1,590.385986,,,,596.893005,
StdMix2_34,M+H,[12C]5[1H]14[14N]1[16O]1,1082.949951,,,,1096.939941,
StdMix2_59,M+H,[12C]10[1H]12[14N]1[16O]3,347.803986,,,,337.355011,
StdMix2_26,M+H,[12C]7[1H]12[14N]3[16O]1,1025.689941,,,,1032.430054,
StdMix2_16,M+H,[12C]10[1H]14[14N]5[16O]4,765.114014,,,,,
StdMix2_18,M+H,[12C]6[1H]8[14N]5,827.046021,,,,823.919983,
StdMix2_19,M+H,[12C]6[1H]14[14N]1[16O]2,813.197998,,,,814.559998,
StdMix2_29,M+H,[12C]7[1H]16[14N]1[16O]3,1047.130005,1027.780029,,1034.609985,1071.22998,1016.330017
StdMix2_7,M+H,[12C]9[1H]18[14N]1[16O]5,386.476013,,,,396.471985,
StdMix2_14,M+H,[12C]11[1H]15[14N]2[16O]1,766.619995,,,,780.762024,
StdMix2_24,M+H,[12C]5[1H]12[14N]1[16O]2,963.888,,,,966.317993,
StdMix2_67,M+H,[12C]7[1H]13[14N]2[16O]4,516.283997,872.304016,328.782013,,515.940002,860.015991
StdMix2_36,M+H,[12C]4[1H]6[14N]3[16O]1,1082.949951,,,,1089.5,
StdMix2_32,M+ACN+H,[12C]6[1H]13[14N]2[16O]2,1053.199951,,,,1083.52002,
StdMix2_60,M+NH4,[12C]9[1H]12[14N]1[16O]3,900.390015,,,,,
StdMix2_6,M+H,[12C]10[1H]17[14N]2[16O]3[32S]1,386.476013,397.003998,396.437012,385.665985,380.335999,381.661987
StdMix2_65,M+H,[12C]26[1H]46[14N]1[16O]7[32S]1,289.690002,,,,295.104004,
StdMix2_30,M+CH3OH+H,[12C]4[1H]12[14N]1[16O]3,1286.030029,,,,1293.969971,
StdMix2_34,M+2ACN+H,[12C]9[1H]20[14N]3[16O]1,1096.640015,,,,1124.290039,
StdMix2_7,M+Na,[12C]9[1H]17[14N]1[16O]5[23Na]1,392.136993,,,,397.92099,
