DatabaseID,Adduct,Annotation,std2-Beer_esi_02022012.csv,std2-Beth20512.csv,std2-Eileen02512.csv,std2-Iain_Jonstone19_4_12.csv,std2-Ivana_29_2_12.csv,std2-Robello040512.csv
StdMix2_59,M-H,[12C]10[1H]10[14N]1[16O]3,1.0535376E7,,,,1.0092773E7,
StdMix2_64,M-H,[12C]4[1H]5[16O]4,8196513.5,418222.28125,377366.78125,92498.414063,1.183726E7,349872.09375
StdMix2_62,M-H,[12C]4[1H]5[16O]3,7555177.0,,,,1.0620736E7,
StdMix2_7,M-H,[12C]9[1H]16[14N]1[16O]5,3130659.5,,,,1856552.0,
StdMix2_72,M-H,[12C]10[1H]11[14N]2[16O]8,2544241.0,,,,2507260.5,
StdMix2_67,M-H,[12C]7[1H]11[14N]2[16O]4,2081661.125,,,,2362939.75,
StdMix2_59,2M-H,[12C]20[1H]21[14N]2[16O]6,1964270.5,,,,2880302.0,
StdMix2_7,2M-H,[12C]18[1H]33[14N]2[16O]10,1901284.5,,,,2133947.0,
StdMix2_11,M-H,[12C]5[1H]6[14N]1[16O]3,1710057.5,,,5158778.5,1804996.875,895990.625
StdMix2_16,M+Cl,[12C]10[1H]13[14N]5[16O]4[35Cl]1,1684624.875,,,,899873.4375,
StdMix2_77,M+FA-H,[12C]13[1H]23[16O]13,1597353.875,,,,1582115.0,
StdMix2_62,2M-H,[12C]8[1H]11[16O]6,1551201.125,,,,3205307.25,
StdMix2_32,2M+FA-H,[12C]9[1H]19[14N]2[16O]6,1456225.25,,,,,
StdMix2_23,M+FA-H,[12C]8[1H]16[14N]1[16O]4,1342269.75,,,,1026539.75,
StdMix2_61,M-H,[12C]5[1H]5[16O]4,961204.8125,235805.921875,265945.4375,390529.28125,1469764.0,135515.34375
StdMix2_44,M+FA-H,[12C]6[1H]15[14N]1[16O]6[31P]1,806837.0,,,,,
StdMix2_13,M+FA-H,[12C]11[1H]14[14N]5[16O]5,780606.5,,,,669109.875,
StdMix2_6,M-H,[12C]10[1H]15[14N]2[16O]3[32S]1,670894.875,742007.875,790586.5,1230606.125,646477.5,530255.5
StdMix2_26,M-H,[12C]7[1H]10[14N]3[16O]1,663484.0,,,,618934.5625,
StdMix2_5,M-H,[12C]6[1H]5[14N]4[32S]1,622326.25,,,,914464.5,
StdMix2_12,M+FA-H,[12C]12[1H]16[14N]5[16O]5[32S]1,618546.1875,,,,732727.9375,
StdMix2_33,M-H,[12C]4[1H]8[14N]1[16O]3,593916.375,,,,,
StdMix2_18,M+Cl,[12C]6[1H]7[14N]5[35Cl]1,579875.5,,,,733975.625,
StdMix2_16,M+Cl,[12C]10[1H]13[14N]5[16O]4[37Cl]1,561527.375,,,,286240.5,
StdMix2_9,M-H,[12C]4[1H]3[14N]2[16O]2,549335.9375,,,,,
StdMix2_18,M-H,[12C]6[1H]6[14N]5,521602.0,,,,403380.59375,
StdMix2_37,M-H,[12C]7[1H]13[14N]2[16O]3,482998.9375,,,,559386.625,
StdMix2_16,M+FA-H,[12C]11[1H]14[14N]5[16O]6,442415.8125,,,,802485.125,
StdMix2_70,M+FA-H,[12C]6[1H]11[16O]7,441659.75,,,131785.28125,989876.25,31871.439453
StdMix2_77,M+Cl,[12C]12[1H]22[16O]11[35Cl]1,385132.03125,,,,501851.03125,
StdMix2_25,M-H,[12C]6[1H]10[14N]1[16O]4,376660.09375,,,,1012001.4375,
StdMix2_77,M-H,[12C]12[1H]21[16O]11,370881.90625,,,,239381.859375,
StdMix2_78,M+FA-H,[12C]7[1H]9[16O]8,348136.96875,,,,120953.882813,
StdMix2_20,M-H,[12C]8[1H]8[14N]1[16O]3,289377.40625,,,,669181.125,
StdMix2_48,M-H,[12C]6[1H]11[19F]2[14N]2[16O]2,284672.09375,,,,,
StdMix2_68,M-H,[12C]4[1H]5[16O]5,260042.515625,39565.804688,,,327411.34375,
StdMix2_73,M-H,[12C]4[1H]5[14N]4[16O]3,253324.0625,,,,413905.3125,
StdMix2_18,M+Cl,[12C]6[1H]7[14N]5[37Cl]1,196450.71875,,,,248548.203125,
StdMix2_24,M+FA-H,[12C]6[1H]12[14N]1[16O]4,187610.625,,,,,
StdMix2_26,M+Cl,[12C]7[1H]11[14N]3[16O]1[35Cl]1,184776.09375,,,,357740.15625,
StdMix2_70,M-H,[12C]5[1H]9[16O]5,183335.984375,,,,511772.46875,
StdMix2_23,2M+FA-H,[12C]15[1H]31[14N]2[16O]6,172926.4375,,,,111372.40625,
