DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_77,2M+H,[12C]6[1H]15[14N]2[16O]10[32S]2,905524.75,324257.5625,352209.625,991850.375,222541.46875,379580.34375
StdMix1_86,2M+ACN+H,[12C]10[1H]20[14N]1[16O]8,877650.75,59892.054688,67022.054688,,101147.140625,
StdMix1_5,2M+H,[12C]26[1H]33[14N]4[16O]4,864616.4375,608700.75,603422.125,721128.0625,279573.75,420141.03125
StdMix1_52,M+H,[12C]8[1H]7[16O]4,842247.0,,375943.09375,,,
StdMix1_88,2M+H,[12C]8[1H]13[16O]6,813184.1875,1943348.125,1678455.125,2189155.25,412085.78125,252075.28125
StdMix1_37,M+H,[12C]2[1H]9[14N]1[16O]4[31P]1,791782.4375,,,814498.5,,731009.125
StdMix1_50,M+H,[12C]9[1H]9[16O]3,716953.25,766194.0,728096.375,832265.75,264877.40625,
StdMix1_24,M+H,[12C]2[1H]8[14N]1[16O]3[32S]1,689547.9375,508785.53125,503958.3125,1453616.125,520805.75,740615.5
StdMix1_48,M+2H,[12C]15[1H]24[14N]6[16O]5[32S]1,678968.0,,,541133.4375,116251.71875,1324581.625
StdMix1_29,M+2ACN+H,[12C]8[1H]14[14N]3[16O]4,649798.9375,,59867.292969,,126630.5,
StdMix1_58,M+ACN+H,[12C]5[1H]8[14N]1[16O]3,522475.53125,351922.625,313673.6875,650088.9375,177508.015625,281815.21875
StdMix1_47,M+ACN+2H,[12C]14[1H]21[14N]5[16O]1[32S]1,514927.0,87294.164063,105966.617188,198893.15625,135501.0625,177453.328125
StdMix1_46,M+ACN+2H,[12C]8[1H]19[14N]5[16O]2,501678.71875,16293.338867,17675.207031,134760.796875,105960.96875,315832.5
StdMix1_81,M+ACN+H,[12C]5[1H]9[14N]1[16O]6[31P]1,460931.25,,,,,150653.265625
StdMix1_44,M+H,[12C]4[1H]11[14N]2[16O]2,457172.21875,47765.425781,50682.75,670926.9375,,850156.0625
StdMix1_86,M+2ACN+2H,[12C]8[1H]16[14N]2[16O]4,439246.375,294481.1875,260112.875,546790.25,217277.03125,534847.25
StdMix1_69,M+Na,[12C]7[1H]15[14N]1[16O]4[32S]1[23Na]1,417644.6875,543529.3125,531179.0625,1696881.625,446143.3125,610537.125
StdMix1_88,2M+Na,[12C]8[1H]12[16O]6[23Na]1,389632.59375,383751.0,397579.25,1541257.5,408976.5625,177198.203125
StdMix1_42,M+2ACN+2H,[12C]11[1H]22[14N]4[16O]4,383010.0625,,,102433.71875,68733.570313,310714.0625
StdMix1_42,M+ACN+2H,[12C]9[1H]19[14N]3[16O]4,378394.6875,14392.387695,13304.989258,136084.734375,80172.882813,310986.875
StdMix1_45,M+ACN+2H,[12C]8[1H]19[14N]3[16O]2,371992.6875,,18903.052734,159797.953125,99100.164063,369439.3125
StdMix1_77,M+ACN+H,[12C]5[1H]11[14N]2[16O]5[32S]1,367020.34375,63347.160156,83581.6875,259747.515625,174328.0,413584.84375
StdMix1_88,2M+ACN+H,[12C]10[1H]16[14N]1[16O]6,363397.5,531303.125,447997.9375,620639.3125,330938.6875,351724.125
StdMix1_101,M+ACN+H,[12C]6[1H]14[14N]1[16O]1,343807.09375,144437.796875,93529.359375,280680.625,,
StdMix1_11,M+Na,[12C]10[1H]12[14N]4[16O]5[23Na]1,341393.65625,334877.28125,340050.5,941199.8125,381512.34375,373875.90625
StdMix1_42,M+Na,[12C]7[1H]14[14N]2[16O]4[23Na]1,324564.59375,16200.963867,15609.231445,462543.78125,69850.289063,88527.78125
StdMix1_99,2M+Na,[12C]10[1H]20[16O]8[23Na]1,317079.75,383592.8125,385054.65625,1659617.125,157329.6875,408361.875
StdMix1_46,M+2H,[12C]6[1H]16[14N]4[16O]2,310370.3125,34165.339844,30571.320313,126531.101563,76779.125,193759.078125
StdMix1_44,M+ACN+H,[12C]6[1H]14[14N]3[16O]2,308984.53125,17891.230469,19610.523438,48847.847656,,25684.119141
StdMix1_69,2M+H,[12C]14[1H]31[14N]2[16O]8[32S]2,261466.84375,31143.431641,36682.269531,330838.96875,52397.796875,29709.570313
StdMix1_76,2M+H,[12C]20[1H]27[14N]8[16O]16[31P]2,252164.953125,20084.939453,21336.964844,69860.726563,,31143.236328
StdMix1_84,M+CH3OH+H,[12C]6[1H]14[14N]1[16O]5,240808.359375,,,,,
StdMix1_3,2M+Na,[12C]16[1H]30[14N]2[16O]12[23Na]1,240022.28125,132459.703125,157049.375,475086.65625,88305.59375,
StdMix1_39,2M+Na,[12C]16[1H]40[14N]2[16O]12[31P]2[23Na]1,229796.34375,125808.273438,141869.53125,996266.5625,23090.025391,84782.773438
StdMix1_71,2M+Na,[12C]16[1H]20[14N]2[16O]12[31P]2[23Na]1,221245.484375,,,,,
StdMix1_45,M+2H,[12C]6[1H]16[14N]2[16O]2,215114.796875,,131357.625,225686.5,82354.460938,163984.46875
StdMix1_29,M+ACN+2H,[12C]6[1H]12[14N]2[16O]4,207124.296875,74966.234375,68988.40625,175549.25,38405.105469,64039.914063
StdMix1_5,2M+Na,[12C]26[1H]32[14N]4[16O]4[23Na]1,206264.640625,389313.25,358802.75,1281227.75,91948.632813,118736.851563
StdMix1_7,M+ACN+H,[12C]9[1H]11[14N]2[16O]2,203969.75,258563.53125,241389.703125,774426.0625,297017.09375,946727.4375
StdMix1_45,M+2ACN+2H,[12C]10[1H]22[14N]4[16O]2,199859.5625,,,63411.894531,43395.332031,188949.921875
StdMix1_36,M+Na,[12C]9[1H]13[14N]3[16O]5[23Na]1,199702.765625,340702.8125,361933.375,1113177.375,230048.953125,194952.875
StdMix1_2,2M+H,[12C]10[1H]13[14N]4[16O]4,195287.0625,23765.785156,26794.162109,,41529.445313,
StdMix1_26,M+CH3OH+H,[12C]5[1H]12[14N]3[16O]2,192662.375,,,,,
StdMix1_59,M+2ACN+H,[12C]7[1H]11[14N]2[16O]4,190812.953125,,,,,
StdMix1_44,M+2ACN+2H,[12C]8[1H]18[14N]4[16O]2,183356.078125,,,330828.09375,,
StdMix1_18,M+H,[12C]5[1H]6[14N]5[16O]1,181889.78125,,,1623698.5,341753.8125,488184.34375
StdMix1_20,M+CH3OH+H,[12C]6[1H]16[14N]1[16O]3,175531.484375,,,,26043.138672,
StdMix1_84,M+2ACN+H,[12C]9[1H]16[14N]3[16O]4,175390.515625,,,,,
StdMix1_48,M+H,[12C]15[1H]23[14N]6[16O]5[32S]1,170038.828125,,,350738.9375,15947.713867,145857.890625
StdMix1_58,M+2ACN+H,[12C]7[1H]11[14N]2[16O]3,166593.484375,22363.851563,19936.03125,21249.003906,36865.105469,
StdMix1_56,M+NH4,[12C]10[1H]18[14N]3[16O]5,166446.609375,,,,13433.443359,
StdMix1_40,M+H,[12C]6[1H]13[14N]2[16O]4[32S]2,165708.75,,,226006.671875,,
StdMix1_76,M+Na,[12C]10[1H]13[14N]4[16O]8[31P]1[23Na]1,158548.390625,51616.613281,50005.980469,137503.359375,37536.066406,47998.378906
StdMix1_69,2M+Na,[12C]14[1H]30[14N]2[16O]8[32S]2[23Na]1,154234.203125,118085.640625,127013.492188,857483.1875,114589.101563,78854.335938
StdMix1_35,M+ACN+2H,[12C]8[1H]18[14N]4[16O]3,129582.515625,,,,,
StdMix1_86,M+ACN+H,[12C]6[1H]12[14N]1[16O]4,128983.265625,107283.359375,102308.15625,320085.3125,55358.9375,127578.148438
StdMix1_46,M+Na,[12C]6[1H]14[14N]4[16O]2[23Na]1,126916.609375,27938.261719,29007.072266,272502.625,37324.886719,72239.890625
StdMix1_1,M+2H,[12C]7[1H]21[14N]3,126405.476563,,,130100.273438,,539339.875
StdMix1_43,M+H+NH4,[12C]6[1H]14[14N]4[16O]2,123445.414063,53966.277344,,123341.320313,35758.039063,50957.984375
StdMix1_87,M+NH4,[12C]12[1H]26[14N]1[16O]11,115894.679688,76678.65625,109773.59375,1070432.875,82648.648438,144591.625
StdMix1_12,M+ACN+H,[12C]11[1H]15[14N]2[16O]2,113193.804688,27826.609375,,,47110.300781,
StdMix1_87,M+ACN+H,[12C]14[1H]26[14N]1[16O]11,102632.164063,,16200.045898,,17552.916016,
StdMix1_80,M+H,[12C]6[1H]14[16O]9[31P]1,102064.851563,35900.789063,,43693.292969,,
StdMix1_22,M+CH3OH+H,[12C]6[1H]14[14N]1[16O]3,100016.375,,102208.007813,368453.8125,161491.265625,173306.15625
StdMix1_55,M+H,[12C]8[1H]9[16O]4,98804.976563,453795.03125,391660.875,242885.8125,,
StdMix1_50,M+2ACN+H,[12C]13[1H]15[14N]2[16O]3,95753.882813,28341.527344,27117.269531,,22133.505859,
StdMix1_79,M+Na,[12C]9[1H]14[14N]3[16O]8[31P]1[23Na]1,93700.953125,,,200046.703125,,
