m/z,RT,Intensity,Identification,Prob
163.024895,676.979980,18092.173828,StdMix2_64;M+FA-H;[12C]5[1H]7[16O]6,1.000000
211.000972,607.026001,17011.451172,StdMix2_78;M+Cl;[12C]6[1H]8[16O]6[35Cl]1,1.000000
100.012067,665.802002,16996.171875,StdMix2_64;M-H2O-H;[12C]3[13C]1[1H]3[16O]3,1.000000
164.012278,384.970001,16715.578125,StdMix2_11;M+Cl;[12C]5[1H]7[14N]1[16O]3[35Cl]1,0.945000
130.022535,663.018005,16614.851563,StdMix2_61;M-H;[12C]4[13C]1[1H]5[16O]4,1.000000
192.022551,671.346008,15567.646484,StdMix2_85;M-H;[12C]5[13C]1[1H]7[16O]7,0.995000
172.001622,908.309998,15383.561523,StdMix2_22;M+Cl;[12C]4[1H]9[14N]1[16O]2[37Cl]1[32S]1,1.000000
477.185245,1366.810059,15331.698242,StdMix2_47;2M-H;[12C]16[1H]35[14N]4[16O]8[32S]1[34S]1,1.000000
384.050203,663.018005,14665.366211,StdMix2_85;2M-H;[12C]11[13C]1[1H]15[16O]14,1.000000
167.999838,1226.290039,12774.498047,StdMix2_66;M+Na-2H;[12C]4[13C]1[1H]4[16O]5[23Na]1,0.970000
174.040357,443.186005,12180.496094,StdMix2_11;M+FA-H;[12C]6[1H]8[14N]1[16O]5,0.990000
112.012001,663.018005,10392.328125,StdMix2_61;M-H2O-H;[12C]4[13C]1[1H]3[16O]3,1.000000
