peakID, mass, rt, intensity
0, 102.03390499628058, 2119.3798828125, 2.259922E7
1, 100.11199199426757, 814.5900268554688, 2.0428546E7
2, 102.03386614699996, 2190.02001953125, 1.2013226E7
3, 102.03387505997297, 2190.02001953125, 1.2013226E7
4, 94.04510962690063, 2054.5400390625, 9472375.0
5, 102.03385488082081, 2237.260009765625, 8899123.0
6, 166.0861363189546, 744.083984375, 8731136.0
7, 102.03384715684714, 2263.330078125, 8458299.0
8, 233.12833455516238, 338.32000732421875, 7869950.0
9, 81.5206133601513, 2117.89990234375, 7744075.5
10, 94.04512481996103, 2065.25, 7526156.5
11, 94.04509879567838, 2036.260009765625, 7439235.0
12, 102.03384274679333, 2291.0, 7325395.5
13, 81.52060957748603, 2126.830078125, 7320126.5
14, 114.06610010123379, 1035.77001953125, 7276892.5
15, 167.01286530876266, 2119.3798828125, 7225760.5
16, 102.03384117704877, 2303.300048828125, 6855702.5
17, 102.0338388233713, 2330.929931640625, 6784755.5
18, 298.0966518432798, 595.1810302734375, 6663919.5
19, 132.10179273654006, 783.7020263671875, 6075652.5
20, 170.08097284032195, 915.75, 6050370.5
21, 102.03383071934253, 2394.179931640625, 5674785.5
22, 102.03383234876131, 2377.1201171875, 5609005.5
23, 167.0128357443054, 2147.669921875, 4816304.5
24, 124.03923844852442, 455.2139892578125, 4708188.0
25, 81.52059616371041, 2158.18994140625, 4638121.5
26, 245.06314666338434, 552.5609741210938, 4535716.5
27, 137.04569036745102, 616.1820068359375, 4472046.5
28, 122.54715434219294, 2119.3798828125, 4365007.5
29, 167.01281985700624, 2088.02001953125, 4071314.5
30, 365.1051121414864, 756.3300170898438, 3844658.5
31, 144.0654161600155, 561.3300170898438, 3833303.25
32, 265.1115630143831, 1763.6300048828125, 3792455.75
33, 189.12316405496517, 1062.469970703125, 3576098.5
34, 102.03381233867509, 2508.550048828125, 3540859.25
35, 138.05487863148917, 356.7460021972656, 3485668.25
36, 125.98624305141195, 2117.89990234375, 3471937.5
37, 205.09693311443738, 789.6119995117188, 3434698.75
38, 167.01282381825186, 2173.31005859375, 3280780.25
39, 167.01280449513115, 2190.02001953125, 3209767.75
40, 116.07049503811099, 950.1420288085938, 3192488.0
41, 102.03381454964965, 2550.389892578125, 3080533.25
42, 102.03381522413456, 2539.5, 3051839.0
43, 102.0338068059108, 2567.449951171875, 3033155.75
44, 102.03379142696957, 1958.52001953125, 3015809.75
45, 133.0593974138037, 1769.780029296875, 3010471.5
46, 102.03380809032946, 2025.4599609375, 2973528.0
47, 102.03379592957506, 1981.02001953125, 2973259.25
48, 102.03380283546001, 2009.8199462890625, 2962885.25
49, 255.11012932997846, 338.32000732421875, 2945342.5
50, 102.03378680117089, 1928.0, 2818115.25
51, 151.0352271447087, 2054.5400390625, 2808227.5
52, 102.03380141868169, 2621.530029296875, 2787548.25
53, 136.06169107956728, 894.2340087890625, 2740162.5
54, 102.03378260334895, 93.94020080566406, 2716376.5
55, 102.03378306209153, 31.2810001373291, 2695794.0
56, 102.03380379587101, 2731.239990234375, 2680964.75
57, 81.52058187179733, 2257.179931640625, 2670455.75
58, 269.0878000071577, 617.6820068359375, 2646946.5
59, 102.03380126249067, 2688.070068359375, 2621451.0
60, 309.18401906455335, 831.8280029296875, 2556386.0
61, 102.0337970205152, 2652.510009765625, 2535581.0
62, 102.03378039839306, 1900.5699462890625, 2529059.25
63, 102.03378723380978, 1863.4599609375, 2505499.5
64, 102.03378875667076, 1879.5699462890625, 2483817.75
65, 102.0338020782771, 2671.0400390625, 2477663.5
66, 263.0734681974689, 786.666015625, 2438011.0
67, 365.1051676958372, 794.0159912109375, 2375460.25
68, 170.01160446585413, 1006.9199829101562, 2359382.0
69, 102.03379464759492, 1794.5400390625, 2354141.75
70, 81.52058023308093, 2330.929931640625, 2320659.75
71, 122.54711840577058, 2190.02001953125, 2312666.75
72, 205.07057426942305, 559.8720092773438, 2260631.75
73, 263.0735506613581, 818.927978515625, 2246551.0
74, 102.03378714058312, 1751.1400146484375, 2232379.5
75, 102.03380240658124, 1769.780029296875, 2218183.5
76, 127.05007619500917, 987.1320190429688, 2196246.0
77, 167.01278889531542, 2223.4599609375, 2187508.0
78, 118.08612508696469, 891.1380004882812, 2183903.75
79, 347.0946455462988, 552.5609741210938, 2128389.75
80, 81.52058517252377, 2377.1201171875, 2092644.375
81, 81.52058513569246, 2360.199951171875, 2089503.5
82, 81.52058964437539, 2397.25, 2067474.375
83, 81.52059995520216, 2452.7900390625, 2066803.0
84, 94.0451466799409, 2156.68994140625, 2041516.75
85, 81.52059410099893, 2417.360107421875, 2032677.25
86, 73.5318332386996, 2054.5400390625, 2027318.625
87, 102.03377380513034, 1739.9000244140625, 2022235.75
88, 102.03376315769866, 1700.469970703125, 2006207.375
89, 94.5458623628228, 2054.5400390625, 1994989.125
90, 167.01277948951756, 2263.330078125, 1968263.625
91, 102.53538489666752, 2119.3798828125, 1954813.5
92, 347.09456467157344, 540.7490234375, 1941966.0
93, 81.52060126003575, 2483.7099609375, 1934449.375
94, 94.04517147739453, 2119.3798828125, 1931444.125
95, 151.03522007578076, 2033.199951171875, 1918242.625
96, 94.04512479970232, 2197.570068359375, 1915521.25
97, 81.52060021983489, 2511.669921875, 1912418.0
98, 94.04515354431189, 2137.239990234375, 1900742.0
99, 81.5206007289268, 2516.320068359375, 1860133.75
100, 81.52060009368498, 2531.780029296875, 1844656.25
101, 122.54709487797348, 2263.330078125, 1842504.75
102, 110.01997047817771, 2036.260009765625, 1814450.25
103, 122.54710158090427, 2238.800048828125, 1799921.375
104, 94.04513429870453, 2190.02001953125, 1795563.75
105, 132.06537535591798, 1005.4000244140625, 1792333.875
106, 118.08610127337403, 883.3079833984375, 1786235.0
107, 102.0337645325732, 1689.0400390625, 1785703.125
108, 122.5471091216872, 2226.530029296875, 1771624.0
109, 81.5205975705263, 2587.550048828125, 1718863.5
110, 81.52059657772283, 2604.56005859375, 1715254.25
111, 94.04509788020923, 2278.679931640625, 1714999.5
112, 94.04510496044277, 2267.949951171875, 1686091.125
113, 94.04511417733454, 2238.800048828125, 1678969.25
114, 122.54708864479947, 2278.679931640625, 1672921.125
115, 355.06313035184655, 311.218994140625, 1671547.125
116, 167.01277161427757, 2291.0, 1668744.125
117, 202.14354463297954, 877.02001953125, 1663224.375
118, 81.52059500782259, 2720.510009765625, 1654611.375
119, 81.52059894402169, 2752.889892578125, 1643919.0
120, 81.52059710344821, 2731.239990234375, 1638673.0
121, 120.08069645416334, 742.5419921875, 1601058.25
122, 167.0127646771537, 2301.77001953125, 1595881.5
123, 151.03528850110226, 2075.919921875, 1594345.125
124, 472.14569497556664, 830.3939819335938, 1590473.875
125, 94.54586625539989, 2065.25, 1580859.75
126, 94.04510981842115, 2251.050048828125, 1579253.25
127, 102.033759883263, 1638.0, 1569927.0
128, 94.54585343317083, 2045.3900146484375, 1562866.5
129, 94.04509191991802, 2340.1201171875, 1548005.125
130, 81.52058053083633, 41.97480010986328, 1540792.875
131, 167.01276506570306, 2330.929931640625, 1539670.75
