	RT	Std2_1
145.11022054967998	586.2940063476562	4.638722048E9
153.08999868994823	418.7550048828125	3.853109504E9
117.07890964831749	536.1890258789062	2.305870592E9
149.070126637029	439.8210144042969	2.129380992E9
166.03124725118303	375.364990234375	1.2955264E9
195.08942377154315	302.8909912109375	1.245154688E9
149.04758731904832	302.8909912109375	1.098863104E9
122.0479735787076	403.885009765625	9.49647488E8
251.10159197658513	443.55999755859375	8.3237856E8
141.07897791077053	371.64300537109375	7.87948672E8
111.04321221216159	553.7639770507812	6.68072E8
75.06828518767342	1030.050048828125	6.29028352E8
187.12078667321236	262.9169921875	6.19191104E8
140.09493539895274	400.1419982910156	6.05340096E8
297.0892930038511	388.9849853515625	5.74712128E8
131.09459394206908	551.291015625	5.65886656E8
121.07377941099823	680.8729858398438	4.4664512E8
207.11064818373404	472.4490051269531	4.04640352E8
161.1051487541281	587.5679931640625	3.92532896E8
188.07963299246194	492.9429931640625	3.90619584E8
267.0964664297684	473.6839904785156	3.74068864E8
146.11353903168163	586.2940063476562	3.53437344E8
157.0739303193684	358.0220031738281	2.97719104E8
154.09329507457437	418.7550048828125	2.90220032E8
219.11060901273035	434.885986328125	2.81840096E8
129.07900621591256	312.80499267578125	2.6598216E8
175.0844376338584	459.68798828125	2.63999408E8
186.13671587067705	306.5870056152344	2.5934576E8
193.1103374956021	284.35101318359375	2.4908136E8
193.07389674990043	349.3479919433594	2.47574416E8
222.0863711381826	555.0020141601562	2.40845504E8
167.05818215846676	426.1990051269531	1.9466288E8
131.09462698840264	358.0220031738281	1.62996848E8
212.11587181834656	421.2229919433594	1.59565952E8
75.06832009228305	1095.0999755859375	1.56208432E8
238.09850008444724	490.29400634765625	1.50455344E8
270.15768120423377	356.7860107421875	1.47252576E8
103.09957000687187	994.25	1.45715328E8
269.17366569725544	405.1199951171875	1.45675472E8
211.0877650853577	575.1129760742188	1.43143392E8
150.07344446731065	439.8210144042969	1.41339376E8
211.08777711863755	546.1640014648438	1.40933744E8
133.11016385781804	732.4249877929688	1.3791528E8
175.08445105164384	472.4490051269531	1.3513288E8
205.09505457052924	506.76800537109375	1.30431624E8
196.09274133172565	302.8909912109375	1.29139216E8
131.09463277487862	436.1199951171875	1.26759976E8
169.08508326521033	565.1069946289062	1.25733048E8
