"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"19413",19413,6800,2,454.113,84.0441859041479,1,1,0,0,"84.04419","174.0639"
"23692",23692,10063,2,655.196,70.0650838348866,1,1,0,0,"70.06515","60.03229"
"18817",18817,6646,2,469.355,258.133243750545,0.863391394735507,1,2240,0,"258.13348","36.02088"
"22144",22144,8689,2,684.881,85.0282942087503,1,1,4215,0,"85.02834",NA
"20209",20209,7313,2,538.169,260.111589358917,1,1,0,0,"260.11146","18.01147"
"18455",18455,6439,2,426.999,53.038949106614,0.122749310206216,1,375,0,"53.03889","73.01599"
"19957",19957,7233,2,560.75,112.05104501061,1,1,0,0,"112.05106",NA
"23408",23408,9960,2,860.795,70.0650926463706,1,1,0,0,"70.06515",NA
"23498",23498,10015,2,626.791,230.103393250124,0.216928043587658,1,0,0,"230.10341","36.01978"
"22517",22517,8952,2,655.12,97.0283143304541,0.222380914896596,1,2827,0,"97.02839",NA
"20747",20747,7533,2,568.231,56.0497641316106,0.0944430272179458,1,0,0,"56.04978","74.03669"
"22255",22255,8746,2,684.732,85.0283042708208,1,1,0,0,"85.02834",NA
"18736",18736,6597,2,458.593,56.0497740500245,0.114695141512288,1,0,0,"56.04978","74.0003"
"18704",18704,6581,2,495.85,113.034007271588,1,1,0,0,"113.03411","132.04154"
"21447",21447,8022,2,637.706,104.107367071825,1,1,3306,0,"104.10714",NA
"19041",19041,6688,2,464.836,119.035142502982,0.0748428688006592,1,0,0,"119.03522","149.06859"
"19617",19617,6868,2,527.681,58.0655619260712,0.268568189219893,1,1611,0,"58.06542",NA
"21198",21198,7844,2,609.835,98.9839426550705,0.354301692368459,1,0,0,"98.98385",NA
"24735",24735,11943,2,626.946,70.0650897910141,1,1,0,0,"70.06515","46.00544"
"23455",23455,9977,2,862.17,130.087122117179,0.317170531968113,1,0,0,"130.08725","59.07313"
"18880",18880,6648,2,436.685,276.143578903758,1,1,0,0,"276.14354","18.01089"
"19618",19618,6889,2,531.651,140.068658371482,1,1,0,0,"140.06842","117.07873"
"19192",19192,6745,2,467.77,73.0646508097342,0.588938157521585,1,0,0,"73.06468","180.06252"
"17033",17033,5457,2,420.895,70.0650741619487,1,1,0,0,"70.06515",NA
"20774",20774,7541,2,583.758,135.029522130924,0.150281000902127,1,0,0,"135.02964","149.06859"
"22444",22444,8903,2,661.539,85.0283772960405,1,1,0,0,"85.02834",NA
"22668",22668,9168,2,709.877,70.0651400123668,1,1,0,0,"70.06515",NA
"18818",18818,6646,2,469.355,230.139801839372,0.66676947217631,1,2240,0,"230.13974","64.01508"
"22145",22145,8689,2,684.881,145.050004290979,0.795058760911528,1,4215,0,"145.04999",NA
"18425",18425,6390,2,435.111,119.035171287893,0.0895844580027925,1,0,0,"119.03522","133.07372"
"23499",23499,10015,2,626.791,70.065233572987,0.174746920296116,1,0,0,"70.06515","196.05795"
"19426",19426,6805,2,497.078,72.0807812021358,0.542906713504315,1,0,0,"72.08071",NA
"22226",22226,8741,2,669.57,69.0336035333624,0.257827965473156,1,4130,0,"69.03369",NA
"20532",20532,7463,2,588.607,234.097684512557,1,1,1777,0,"234.09769","18.00976"
"24047",24047,10137,2,723.338,103.054384909253,0.246081893478754,1,0,0,"103.0545",NA
"22227",22227,8741,2,669.57,97.0282911836224,0.250449526353119,1,4130,0,"97.02839",NA
"23500",23500,10015,2,626.791,69.0337731917654,0.165631592478026,1,0,0,"69.03369","197.08976"
"19248",19248,6752,2,490.999,164.034505823244,1,1,0,0,"164.03457","197.08976"
"16252",16252,5039,2,417.616,125.070950997722,0.140254180589838,1,0,0,"125.07082","101.04764"
"19427",19427,6805,2,497.078,216.124863343586,0.508505179305281,1,0,0,"216.1246",NA
"19782",19782,7194,2,522.409,97.0283480070756,1,1,0,0,"97.02839","177.06093"
"24056",24056,10138,2,692.156,121.064964466338,1,1,0,0,"121.06491","45.05787"
"17824",17824,6092,2,457.251,68.0498095942881,0.215169918823716,1,256,0,"68.04936","45.02045"
"18349",18349,6377,2,343.711,84.0447972977714,1,1,0,0,"84.04483","143.05814"
