,mz,rt,into
1,86.0236158341127,3.42503,90378.5690947234
2,154.133775959491,2.15902,83601.3137834675
3,250.177279202599,3.42503,33938.0330039905
4,265.154465344632,2.15902,44274.2519623214
5,114.110652922594,3.42503,176634.343950504
6,237.945960167518,4.68065,298208.421523603
7,248.149678918558,5.93828,75716.5375482347
8,167.154285784069,3.42503,193624.830827626
9,139.122985723037,3.42503,518724.504579349
10,564.251375595888,11.3357,58153.1798175781
11,794.720561508218,13.8479,64544.9530470703
12,436.342173242248,15.1034,101789.800498954
13,79.9896171126498,19.2424,87248.7676942383
14,115.122957374785,3.42503,913869.032177982
15,295.150324324531,38.2318,57931.7224939648
16,213.112650176341,39.4874,73701.3568303711
17,130.066329035754,4.68065,989900.593751651
18,85.039685531482,55.8779,62008.0498853516
19,174.098695303046,55.8779,73119.2011943847
20,160.071718795675,57.2207,328177.862051611
21,189.087055688488,58.4742,175866.296149336
22,204.086807143182,57.2207,396059.007305233
23,213.134700318272,57.2207,372518.609989003
24,251.138641197254,58.4742,71906.9736328125
25,176.12806126531,57.2207,270890.649479355
26,202.118740758785,58.4742,324739.357249032
27,215.113863511999,57.2207,195397.09352712
28,216.134209726558,58.4742,229818.431722168
29,196.11925527068,58.4742,290964.129408636
30,130.06113425149,57.2207,526033.123443616
31,141.077036714696,57.2207,706418.256173782
32,156.132504083101,58.4742,299410.77738762
33,171.087626470341,58.4742,280157.555008416
34,172.071600044842,57.2207,211550.358321695
35,173.103271513831,58.4742,624195.864806273
36,129.085158760842,62.4246,59696.256258125
37,153.077030097839,58.4742,304443.012876675
38,118.061068012066,57.2207,949910.510583069
39,147.076315091073,58.4742,512010.245037437
40,174.087384343648,59.7284,795133.539015354
41,186.087327305164,58.4742,577120.78687059
42,198.1349448844,58.4742,475012.758106055
43,204.066342265999,11.3357,804741.670214398
44,204.066450057468,29.3662,698435.097901134
45,204.066475066911,52.1137,704555.142185064
46,159.087639150457,58.4742,354207.854182823
47,200.103024117627,57.2207,498317.442042774
48,187.119099896617,59.7284,638689.290021094
49,274.935758157001,36.9359,4809028.35998192
50,140.043037407742,59.7284,896164.51068833
51,169.144757037329,57.2207,2889531.83812445
52,172.205889107417,23.006,9393665.92261958
53,185.139742337249,58.4742,962856.404896159
54,199.118981849581,58.4742,903475.396619161
55,158.111739849052,58.4742,1013485.97493072
56,158.092439154144,58.4742,1204023.03822773
57,159.07640977961,58.4742,849666.528734601
58,102.066186119867,58.4742,2599712.39637806
59,143.092735552922,58.4742,1299111.3862732
60,192.881565221121,85.3213,63722.061264668
61,244.29063246614,38.2318,6545816.95363112
62,151.011590178431,4.68065,1649642.41062159
