,mz,rt,into
1,98.0963980278688,2.15136,88784.4661144409
2,182.165193536706,2.15136,119966.883003157
3,184.180800199199,3.41398,126723.961561512
4,302.222516146384,3.41398,89843.8432099512
5,332.279091678062,4.66773,333648.030480716
6,139.12298742249,3.41398,507529.480721641
7,213.12735135219,4.66773,208048.594549745
8,141.138593457819,3.41398,404911.188315232
9,143.15438586172,3.41398,303940.870557073
10,152.106724797334,5.92172,61826.3745278828
11,167.154290816041,3.41398,246875.922194443
12,312.229233443382,5.92172,176368.47581567
13,201.098068065757,7.54873,91856.2893358952
14,234.096332462916,12.5669,67165.7678428555
15,252.216558112912,4.66773,494765.727779133
16,115.122962317207,3.41398,1007676.75382027
17,88.0756509392884,8.80248,11751987.1910296
18,272.25796623068,41.9222,84146.3721926953
19,150.102637999104,41.9222,65811.1611764063
20,326.15949790836,58.379,138735.35507063
21,340.881819859656,67.2342,8546034.58871415
22,340.881715669209,16.3298,3508542.9809196
23,179.127950318006,63.3917,88245.3431916212
24,151.0115844861,4.66773,1665443.77477229
25,244.290587097952,34.3285,3560772.83253956
26,243.14895406737,52.0299,1598062.34684236
27,243.149033159851,68.4869,3121231.95445559
28,243.1490171769,17.955,2942873.93359397
29,243.148995548854,40.6704,1677829.4122082
30,172.205898707565,26.7736,9936107.64184806
31,236.118091845628,19.2104,5995778.01248266
32,283.165428178597,91.2205,79822.6350826562
33,343.295002945864,91.2205,203348.060246988
34,113.107233122052,3.41398,3281463.09589739
35,129.956899315616,68.4869,1489404.56273581
36,129.95686629185,33.0752,1158381.47767891
37,129.956900182458,49.5235,1065829.62304621
38,129.956832831013,12.5669,931247.48260849
39,129.956937783318,108.941,1009063.87515845
40,182.053570486776,119.052,289142.925407715
41,380.87408356366,22.9719,3457498.3990954
42,380.874282662327,86.1184,2801569.72402996
43,380.874209887529,132.923,1263525.6313101
44,380.874295585651,115.208,1779087.9767
45,380.874316345055,153.142,1613571.99059115
46,205.143539428711,160.745,69049.8001041667
47,259.282490505189,168.351,68623.0485960936
48,169.072212774211,146.837,2355708.81548525
49,169.072171998123,100.083,1064593.38002554
50,169.072220468688,63.3917,1311352.93730437
51,169.072161690409,22.9719,734734.938445898
52,169.072211713846,180.969,1013925.38641827
53,169.072173701725,5.92172,687670.619011797
54,169.072240968833,84.8653,788803.2401425
55,169.072221899353,112.701,793303.539004688
56,187.224924964451,170.856,1190865.31207617
57,214.107394641137,215.009,3401244.87260912
58,214.107299688126,150.638,1134296.80493197
59,214.107333270168,86.1184,1003894.68264283
60,214.107315323387,167.097,1431322.36752685
61,214.107184289414,138.024,819205.644058595
62,312.192652013329,203.701,307159.957884588
63,568.457417304679,203.701,134105.186444092
64,541.42914137634,204.954,81984.299922656
65,159.087641398799,208.791,449088.625862026
66,160.13318891033,208.791,390921.406796875
67,181.069530494718,210.036,155288.30974541
68,211.119091023327,211.28,244531.721184997
69,540.426068867481,207.542,473597.946246311
70,144.113137310091,210.036,263889.602598332
71,182.053692990739,210.036,509425.609703844
72,182.103855064444,210.036,93977.3488120118
73,196.069241093705,210.036,237369.723235294
74,359.221335012897,210.036,197502.200864258
75,118.061042340622,210.036,569394.64210973
76,146.092379497592,208.791,684083.421893485
77,171.123946341428,208.791,1063638.10072656
78,186.087315236259,210.036,532362.801364518
79,198.134870840384,207.542,519826.334772583
80,202.118724356338,208.791,311213.522360054
81,261.120759498618,212.524,217075.475845312
82,428.275323871806,208.791,504205.53552795
83,130.061130345796,207.542,465554.255417578
84,157.060818698886,210.036,674840.601661099
85,171.087671399901,208.791,444816.036368437
86,187.119039778537,208.791,571588.883573918
87,189.086875702317,210.036,338526.86820159
88,200.114242838965,210.036,323197.899720019
89,229.047363005922,212.524,100473.874643555
90,158.111741226789,210.036,900499.595907629
91,188.102970727341,208.791,587821.11193461
92,197.064481755348,210.036,338914.803465549
93,197.114587632751,211.28,392910.139390625
94,200.103055781922,208.791,629591.237886719
95,322.243190247294,213.767,153043.823423437
96,327.289200461529,213.767,132346.531328125
97,155.092720027163,208.791,321236.017413025
98,235.132793184655,217.576,240515.342877604
99,335.219443820829,217.576,70586.8745677734
100,652.587904873664,218.821,196246.794020996
101,663.453147542349,218.821,423432.89331179
102,132.076733241402,210.036,842363.747597605
103,154.058637523874,208.791,1121025.21932161
104,160.108040927068,210.036,577558.214569946
105,185.103348898358,210.036,862986.211806127
106,185.139691042482,210.036,1065574.82953631
107,321.2399966659,215.009,1242443.80964258
108,466.175060372273,216.254,231797.514628906
109,657.340298023855,221.309,694772.778203126
110,684.202250066905,218.821,357592.157900391
111,140.043033308069,210.036,830898.816613051
112,172.169543384767,207.542,1890772.82280599
113,284.125362459835,213.767,722657.795909535
114,300.261141439709,215.009,591011.315825391
115,313.237121238473,218.821,518160.290594076
116,681.483973234613,218.821,580259.521188337
117,698.25374237043,218.821,251328.014126954
118,172.107933684673,208.791,1833754.28643082
119,272.229807211743,217.576,921897.421927084
120,293.208429374407,217.576,1951733.40485
121,539.16313977844,220.064,921329.5193845
122,612.182881283137,220.064,164348.282366537
123,624.235507856951,220.064,344309.704780762
124,683.366250340449,222.738,1493042.32753825
125,743.268389319436,221.309,199805.647753125
126,137.068538345256,217.576,282882.528693182
127,307.188000056007,221.309,129369.625085938
128,316.284535587403,215.009,1824829.16344584
129,533.442350584639,220.064,425818.10984668
130,611.183707908558,220.064,511538.746047608
131,384.097882747649,220.064,754530.123586155
132,409.403643613164,223.984,95343.7848257813
133,426.430307429092,223.984,181902.290481864
134,437.434975543143,223.984,113596.280996094
135,444.368273835874,223.984,125503.854620313
136,447.346569382323,222.738,199729.521307129
137,456.403706651338,223.984,184930.108456641
138,463.130085770016,223.984,128645.435535938
139,515.479112164349,223.984,144152.372728516
140,554.514115632856,221.309,477772.441433594
141,684.369231310875,221.309,270888.695462612
142,699.59472929735,221.309,160883.387331543
143,190.050688515898,216.254,2165742.41889706
144,190.050675104513,178.462,2652565.60111701
145,267.195112472007,223.984,337058.415219727
146,336.157141603675,223.984,186181.288310547
147,337.346415326474,225.232,269774.736636718
148,372.319011080479,223.984,1061605.86752704
149,383.09446901535,220.064,3866420.99714784
150,403.23277107626,226.482,1073277.62024414
151,440.446103723891,223.984,274958.349345703
152,454.46142962401,223.984,266027.893210938
153,472.426249475595,223.984,413999.431485938
154,610.18375264301,221.309,761183.836119142
155,638.307958945405,221.309,1936555.13
156,661.29284811619,223.984,265630.107685547
157,675.260548380812,221.309,819297.857501628
158,680.479830772213,218.821,1577569.0657959
159,695.358360805132,223.984,367534.330297852
160,700.313413849316,222.738,1885214.30567708
161,701.316618077026,223.984,663315.261211915
162,705.58163788839,222.738,396892.4116875
163,305.170743220605,222.738,499306.292088976
164,341.304734361523,225.232,179443.713791504
165,379.319819025315,226.482,113860.430488769
166,379.357123836307,225.232,148647.031214355
167,395.387962419729,223.984,297171.903372803
168,398.362484985482,226.482,489122.917192383
169,398.399003028283,225.232,403180.134341518
170,442.315976865074,226.482,138727.226185937
171,474.280745881704,225.232,182196.312758789
172,270.24255661722,225.232,299418.088022851
173,323.294184854753,226.482,283886.818309375
174,351.325613220428,226.482,326003.629861327
175,357.282800865423,226.482,325194.002729166
176,365.304789666073,229.022,175873.428572544
177,367.356805833988,227.774,336806.453462402
178,381.372367609292,225.232,414583.49781665
179,386.32624526078,226.482,465390.434974023
180,412.414294773807,226.482,400791.464008594
181,416.336590582519,226.482,315893.088987304
182,426.393739248837,225.232,709848.701117621
183,440.4092554456,226.482,410223.901953126
184,444.404559982167,225.232,363288.019961181
185,449.148626547464,226.482,349143.001971679
186,538.163071059869,221.309,3372972.83023047
187,660.290479662141,222.738,1718613.70053613
188,306.254485191553,229.022,667860.074481027
189,312.297503889877,230.271,193684.062232422
190,313.273424813623,227.774,280469.919823242
191,337.309943169079,227.774,189106.890831299
192,365.341299364528,227.774,302546.076888428
193,367.3205756661,227.774,331426.39510471
194,370.330947706515,227.774,319457.16126237
195,384.383265856494,226.482,325799.898530274
196,398.289876221009,227.774,298792.672186105
197,400.34181062528,227.774,295481.700639205
198,414.357346058784,227.774,349062.797111049
199,425.214518739407,226.482,656847.306678786
200,430.388681800995,227.774,177902.558634983
201,493.40571644076,225.232,1003702.24379403
202,502.3738990466,230.271,222130.821732422
203,532.438971178569,221.309,1400067.9047804
204,701.63054825147,222.738,1453792.71863281
205,152.14337928715,229.022,316818.566238932
206,225.188798305861,178.462,23468274.2148324
207,225.18872975922,10.0565,4195477.47196501
208,251.046395721279,229.022,309650.193779575
209,271.177488094278,227.774,225814.190696023
210,273.189046143641,229.022,546630.005672153
211,295.299316512055,229.022,395241.531960227
212,310.282162014993,230.271,141304.828099609
213,326.34167784107,227.774,608890.760813368
214,327.289143467657,231.519,211828.458113281
215,353.341318242893,227.774,937465.210913194
216,374.289905501696,231.519,583544.539772727
217,374.326010879766,229.022,421910.158174045
218,384.346836279069,227.774,493272.15302832
219,389.11117442272,227.774,291464.992280273
220,389.345256256071,226.482,1114892.32739568
221,402.357569946395,227.774,551316.984755469
222,416.373290907801,226.482,788113.851366299
223,419.315036654387,223.984,794515.082804688
224,428.336898520024,229.022,307667.431435547
225,442.388634550152,226.482,463018.023703124
226,531.407986063342,222.738,1281808.84053564
227,537.165849159861,221.309,5341268.37089739
228,102.066188547979,207.542,3870093.02118673
229,191.106607124248,231.519,327602.627722222
230,231.086462421436,231.519,94402.5576269533
231,281.283560064033,230.271,161892.266643677
232,284.266179269092,230.271,147112.019658203
233,298.281838636302,230.271,178646.336888998
234,300.198347113756,230.271,635990.405515626
235,309.278096130361,230.271,764248.263090821
236,311.257780878671,231.519,449623.274145432
237,315.272095390816,232.95,184331.426027344
238,328.284325880622,231.519,358235.096823731
239,339.325821938936,226.482,698782.320166016
240,342.167887099151,231.519,213446.134707032
241,342.33644397856,230.271,211369.001782552
242,344.279170744865,230.271,552885.911931818
243,356.352067491499,227.774,588085.787125001
244,385.314011942559,231.519,155078.149089844
245,393.297443577053,226.482,1798550.6947482
246,430.243570393103,230.271,334204.572854493
247,143.092746509646,210.036,1702613.79837695
248,201.176070074417,231.519,260701.984757812
249,226.180087035018,229.022,701563.207774127
250,277.140718036061,231.519,231009.605449219
251,289.227594357684,230.271,409406.671524503
252,324.216818217525,231.519,701427.842366211
253,325.224709995993,232.95,338826.8236375
254,333.145834940186,232.95,165188.808690321
255,350.230133093123,230.271,624589.726740451
256,356.315790351762,229.022,867037.929631126
257,358.294868078505,230.271,742786.691027344
258,360.3104818463,230.271,693092.424463541
259,361.221733044919,229.022,840078.99939375
260,369.181850858098,232.95,203316.26755
261,370.367822979374,226.482,821595.10186839
262,388.30528590381,231.519,398979.282912109
263,418.279644313028,234.199,238303.660856934
264,432.20129041305,234.199,213427.441922433
265,453.252475100537,232.95,191389.4791875
266,522.238012161794,229.022,2350334.58224512
267,758.567844765788,232.95,620067.235933268
268,760.583184308754,231.519,267370.292037109
269,212.112459698254,232.95,921050.824666666
270,260.193129322585,232.95,123862.291851172
271,275.257776174222,232.95,153811.864226563
272,302.144310832883,232.95,362542.278078125
273,312.229824547331,234.199,1852988.64415909
274,314.305032875242,230.271,970005.305592968
275,325.177211755203,231.519,262443.712590402
276,327.158678823723,232.95,288801.073947266
277,328.248000450694,231.519,725365.2053131
278,330.190888744154,227.774,897706.741486328
279,331.223352246593,234.199,204734.900587891
280,341.288029221675,232.95,168785.752158482
281,342.30003339726,231.519,745608.751658202
282,356.279337611765,226.482,2020608.58587891
283,383.203822728606,229.022,891088.428404748
284,384.310660774774,231.519,1040769.14333711
285,387.212063697904,231.519,374621.236995536
286,415.324363407582,232.95,634792.23961843
287,471.423656892153,225.232,4593050.1425279
288,637.304161673343,222.738,7641310.31536719
289,659.286862264457,222.738,5215103.15476368
290,682.362802793123,221.309,5602588.73844166
291,163.148032635654,234.199,142060.694908447
292,170.056107329835,235.446,128945.508392578
293,219.195275514598,236.738,210942.809543527
294,253.154922749638,235.446,336198.405046875
295,256.235173795321,232.95,598160.826070313
296,268.235117518019,234.199,211298.341722412
297,278.268786438136,235.446,300061.815950521
298,284.229641825242,235.446,108955.605911133
299,293.209738630172,234.199,192761.908496094
300,295.189285678614,236.738,247247.334835156
301,295.226640944676,232.95,860596.909757813
302,295.263091086305,231.519,759131.637428977
303,320.189592991336,232.95,600898.901132813
304,325.273453268542,230.271,772183.73630679
305,325.309954241034,229.022,874704.498967098
306,328.211521653721,236.738,357717.986666016
307,328.320783277381,229.022,1299083.26149339
308,333.282838514885,230.271,890066.629971591
309,334.258589930324,234.199,253182.568854353
310,338.341213568016,230.271,518972.862201953
311,339.289234328521,229.022,766329.517303712
312,344.185467936397,232.95,472898.37220459
313,345.190240657388,235.446,351166.357260352
314,346.294975351762,231.519,634654.827237216
315,358.258513743537,234.199,238349.217779297
316,459.350607259135,234.199,178205.790334375
317,492.402204396243,225.232,4135177.52914746
318,145.028710129574,236.738,264848.963591146
319,207.101589228836,235.446,153666.394377604
320,242.219313241928,235.446,247208.91913923
321,252.135374498001,234.199,486814.699805555
322,253.2523975405,231.519,948488.170558073
323,256.162347920334,232.95,382201.896375
324,270.250631795181,232.95,750669.8425625
325,286.273824657685,231.519,1947049.62149414
326,287.148438040493,235.446,602077.374803385
327,292.256173836012,235.446,223315.540020833
328,299.221497091437,235.446,517019.096203658
329,302.268867483052,232.95,686551.170121652
330,309.203483110432,230.271,12881040.2616001
331,311.294264353234,229.022,2171594.26845382
332,313.200885536595,235.446,316377.096875
333,329.195751193947,236.738,180775.974515625
334,330.180147022779,234.199,781002.66661111
335,331.002102379181,235.446,483374.923531251
336,365.235960251965,236.738,222299.683543294
337,374.253372310263,235.446,279413.504488637
338,390.284565326371,235.446,207111.784257812
339,404.26401519041,234.199,611964.050051562
340,406.24320240774,232.95,717831.163358842
341,406.279596280681,232.95,548475.362454545
342,458.347302213819,232.95,1343968.68984082
343,536.165418914484,221.309,11794644.2906125
344,116.081830304543,207.542,5647518.97682342
345,196.073339381423,234.199,700927.380384766
346,205.085950578899,232.95,2964002.30367812
347,213.15955638183,237.984,134250.246960937
348,279.231710809099,235.446,266640.678691406
349,281.21065973199,235.446,854533.767960228
350,281.247151742496,234.199,1127348.90447721
351,283.190026211376,236.738,825514.16407452
352,297.278640389698,230.271,1606040.54477413
353,299.185223097272,239.23,486346.117425455
354,299.25794549142,215.009,3637330.18415458
355,299.257770386465,235.446,676031.200641113
356,303.216619464077,235.446,303477.416063702
357,309.131007273712,236.738,370411.313442187
358,322.295006507424,236.738,586320.943164063
359,325.198947186558,235.446,695589.147095541
360,340.284343618906,231.519,1536818.61082617
361,343.2112668065,237.984,264028.081160575
362,363.220531235676,236.738,828572.444647728
363,364.196168501386,237.984,323114.829393749
364,383.167311631596,235.446,951407.677181819
365,386.208525055861,232.95,2118628.83641246
366,388.341800075689,225.232,5232539.73712305
367,392.263797540745,235.446,376183.941545455
368,402.248304815769,237.984,190189.141593927
369,420.258793601208,234.199,1391547.55137195
370,422.274431956282,235.446,335003.724207153
371,656.337881498173,222.738,6705744.23807721
372,214.18815256584,237.984,401625.213723633
373,225.221284856928,235.446,697629.960861747
374,226.188424569904,237.984,352751.70285
375,228.232293510437,239.23,175954.230644531
376,237.111926583324,239.23,179531.465011719
377,251.121634505316,237.984,537723.005447049
