,mz,rt,into
1,210.196307394464,3.51056,181690.431830166
2,312.229305277365,3.51056,113301.468246524
3,237.94569882319,3.51056,191879.696800202
4,180.149391776096,4.76007,137081.242856679
5,436.341103677909,4.76007,191873.99816364
6,143.154318612455,3.51056,398253.30018718
7,157.133497383076,3.51056,259463.545078305
8,239.943912838677,4.76007,284226.912668792
9,184.180733076547,7.26156,147351.604794989
10,115.122945819045,3.51056,960086.590863529
11,139.122960962522,3.51056,919277.72306039
12,216.122722912051,20.1342,86733.4625327344
13,103.050199445935,39.3713,546782.277730969
14,171.124007273296,41.8677,895063.872066641
15,173.103339648676,41.8677,745513.862605859
16,118.061021276336,40.6193,352250.144687355
17,158.11173955627,41.8677,708438.753506779
18,225.145800552005,41.8677,776988.417434883
19,187.118900451681,41.8677,732523.14236529
20,142.158720441178,36.6867,685279.367935201
21,237.121226430941,12.6331,5986954.26465269
22,244.290584269108,40.6193,7537655.58210527
23,172.205878726631,21.3853,9939839.97950192
24,113.107239263583,3.51056,4241694.14812363
25,358.162498929759,106.13,121040.629003125
26,185.103297660302,116.211,541484.295759645
27,129.956853768453,80.9317,4111324.49817143
28,129.956821065815,25.2184,2858422.78848492
29,129.956831398275,111.171,2930565.10282589
30,129.956820309102,3.51056,1400374.85915584
31,116.081803214551,43.1558,1720298.79639492
32,196.100415196805,160.473,1136843.6708125
33,196.100399249011,137.662,1461863.35851563
34,196.100401692762,118.753,1253313.83818229
35,236.117970506802,9.76132,28119327.2330862
36,236.118006974831,35.4381,22325360.2284132
37,384.581726822625,204.79,213659.184586588
38,357.146673813959,206.037,208997.089401562
39,473.100031078912,206.037,444359.039040527
40,145.028467795813,207.283,317440.057698438
41,177.164710828847,207.283,110529.499262891
42,312.192492683345,203.54,310932.645327148
43,371.162529132619,207.283,103177.256983203
44,540.425808720135,206.037,457538.194366072
45,625.130983610333,206.037,164146.407338107
46,193.069603503845,207.283,99013.8457324218
47,350.206498933258,207.283,202313.682991536
48,433.107758500436,206.037,517860.818264648
49,145.060771496565,208.529,280693.73336914
50,200.114331606693,208.529,306323.699065755
51,229.129515146784,209.773,124096.033488281
52,118.06106153627,209.773,765842.050439307
53,153.077067834959,209.773,401606.838321986
54,160.107982942455,208.529,1119026.82633334
55,183.124052324596,209.773,637516.661704277
56,201.09824023908,209.773,244263.76844689
57,170.128785921638,208.529,613385.860828125
58,176.128110247298,209.773,442127.433841145
59,412.129086258457,206.037,2508245.2770731
60,434.779761261934,211.015,304635.088891602
61,130.061082591731,209.773,314954.549282422
62,144.113187679868,209.773,389396.909376065
63,154.058599599182,208.529,876957.68247819
64,164.128115130504,213.575,146341.932489063
65,175.107734970126,211.015,692079.740820313
66,182.053636608346,211.015,451389.581015625
67,185.103322100477,208.529,959955.394739309
68,186.087270887983,207.283,786857.456232244
69,196.119287971001,208.529,516279.361888889
70,217.118400711748,211.015,255983.097333334
71,85.0760221744824,209.773,985346.024269043
72,140.04304673309,208.529,704856.473711182
73,144.076767993773,211.015,2652004.50251812
74,171.087630984282,209.773,493196.019350694
75,172.107987733628,209.773,1209587.713651
76,172.169562068109,207.283,1837404.08790604
77,188.102968929661,209.773,838286.202910102
78,197.114566196756,211.015,896194.745960527
79,198.134972570391,212.334,358623.668657618
