,mz,rt,into,maxo,intb
1,114.110674857042,2.15564,143984.880262984,42384.03125,143978.072742984
2,143.154343353889,2.15564,289102.349260778,77836.1875,278292.419993989
3,181.069356022596,3.42052,44714.0462606694,10900.7900390625,42321.8038050513
4,370.248476088657,3.42052,52771.4056647764,15559.4375,52766.1189007764
5,213.127168630295,5.92939,225269.660559254,42546.3828125,224423.345048252
6,302.22246261348,3.42052,96045.9960210734,24026.662109375,96039.0828770734
7,486.837285951163,5.92939,177105.384544309,33191.01171875,158258.925973617
8,139.122983373091,3.42052,460676.83150712,98095.140625,423367.086508639
9,239.943959492814,4.67451,288588.765527269,42893.9609375,266386.835524448
10,436.341709926964,5.92939,303946.303815551,38972.87109375,285458.870303128
11,165.076916749966,15.0814,100179.517839673,18561.025390625,97488.5150278866
12,363.176018130138,29.3312,77787.3712023828,19112.40234375,77782.2916823828
13,174.148971415661,30.5838,84938.9889033985,15938.06640625,81841.3763250181
14,294.133426795553,39.4395,277800.479777839,45734.1953125,242060.08405393
15,285.180351213181,4.67451,1344154.57135152,67670.390625,687315.307911651
16,196.069161314184,44.4509,178950.79869627,43749.65234375,169221.089600968
17,151.011598400783,4.67451,1745288.9351233,134842.578125,1374007.48920409
18,182.092900114117,57.1589,67304.6389012696,16628.9296875,67299.5565812696
19,200.114367683626,59.6647,74248.7491870312,21089.265625,71075.443870419
20,244.290653093635,39.4395,7835171.32930784,231726.796875,7181302.86586315
21,172.205944189779,30.5838,4756918.69691709,211893.609375,4716847.34951915
22,172.20595133575,57.1589,1679355.19141198,147994.890625,1657714.03511473
23,113.107239817369,3.42052,3577476.08543406,668788.9375,3075281.56194698
24,144.07675931584,43.1983,1444649.26770594,96587.375,698111.378873188
25,196.108030606306,58.4117,2448377.58232255,83264.4140625,2448334.5830377
26,196.107967052883,133.021,953595.52456676,83612.109375,953580.282384942
27,196.107862662388,4.67451,1585821.32430867,72365.09375,1585793.87618097
28,196.107993824372,116.537,1045975.41138462,93674.546875,1045957.75846154
29,257.164538901145,38.1865,553110.162883334,136749.34375,553105.034616667
