	RT	Std1new_1
169.07377133023863	436.4339904785156	3.888866048E9
113.05891895978655	498.76300048828125	2.502564096E9
232.12100410918146	276.3659973144531	1.75066752E9
126.04290551181086	529.385009765625	1.143898752E9
123.0320091446542	407.0740051269531	9.05433344E8
115.06329090685153	581.7890014648438	8.91894848E8
169.0738638358185	450.5719909667969	6.698896E8
209.07203742737153	386.95098876953125	6.29027648E8
99.10468048970527	716.0440063476562	4.894224E8
226.1177212867007	498.76300048828125	4.68012512E8
257.1024997073323	609.4669799804688	3.9650544E8
188.1159692650191	629.8099975585938	3.74116736E8
135.0545230894632	495.0220031738281	3.59420384E8
170.0770762242926	436.4339904785156	3.30407296E8
131.09459606115868	523.0180053710938	2.8658E8
149.05109750416793	541.8209838867188	2.8652528E8
233.12428240328103	277.6000061035156	2.40630896E8
194.97976320292423	614.6060180664062	2.01062448E8
173.095289350296	280.0710144042969	1.96221344E8
211.08784188759196	541.8209838867188	1.70474048E8
159.0796167174289	283.8219909667969	1.69996016E8
131.05817828038556	623.4429931640625	1.69443888E8
211.0877368618655	570.5399780273438	1.65827072E8
211.08775236691864	551.8319702148438	1.64577888E8
531.4319379754519	219.39700317382812	1.43686704E8
211.08777250649433	523.0180053710938	1.41576624E8
117.0789036524575	571.8159790039062	1.32182216E8
211.08773133853484	594.2030029296875	1.26047224E8
173.0840801135217	276.3659973144531	1.25588992E8
151.06331921614222	436.4339904785156	1.23906736E8
464.242169954978	277.6000061035156	1.228292E8
243.08528719856272	563.052978515625	1.14738696E8
114.06223194975212	498.76300048828125	1.09072104E8
136.03852796466995	529.385009765625	1.03090416E8
146.0690480889782	633.5640258789062	1.02732264E8
204.08989428594427	556.7969970703125	9.968012E7
192.98066996922822	614.6060180664062	9.4528712E7
418.1438254907371	386.95098876953125	9.180136E7
165.07902779560752	498.76300048828125	8.7944104E7
196.99558987690128	538.0969848632812	8.1317144E7
111.04322444069291	563.052978515625	7.4390312E7
127.046226145848	529.385009765625	7.2339536E7
211.08780334721445	446.6759948730469	7.0127304E7
211.08779259881126	464.6960144042969	6.8498288E7
268.08052619800156	529.385009765625	6.5110844E7
254.10287153082456	277.6000061035156	6.4883692E7
329.05224813719053	464.6960144042969	6.3955424E7
206.1518205070101	256.2309875488281	6.2472672E7
124.03532908360735	407.0740051269531	6.1964592E7
231.0539136481449	386.95098876953125	6.1507316E7
89.0476557707494	648.8900146484375	6.1184332E7
203.0794346609972	551.8319702148438	5.662826E7
151.0493700088395	590.4959716796875	5.5889328E7
211.08778007727702	487.5889892578125	5.2898076E7
116.06660366631111	581.7890014648438	4.8896872E7
248.1158853260738	301.32598876953125	4.7488904E7
532.4355636754351	220.63299560546875	4.7266848E7
131.06942444805827	633.5640258789062	4.6682116E7
126.04286047696577	404.5690002441406	4.5488508E7
210.07539189511846	386.95098876953125	4.5155036E7
354.05588983117025	300.0899963378906	4.3973028E7
175.09560973469428	656.5349731445312	4.3813752E7
221.0898868206682	551.8319702148438	4.0887836E7
440.12583684003914	386.95098876953125	3.872184E7
233.069658796676	446.6759948730469	3.8397916E7
190.9824793483533	614.6060180664062	3.8147472E7
194.9964014939098	538.0969848632812	3.7890256E7
227.1211805604945	498.76300048828125	3.7331396E7
277.17877932969054	277.6000061035156	3.6683844E7
149.1052015446982	484.8970031738281	3.6589E7
151.06333337560477	529.385009765625	3.5711264E7
100.10804389257048	716.0440063476562	3.5044276E7
258.10577688467265	609.4669799804688	3.4990396E7
279.084362747196	609.4669799804688	3.3956824E7
196.97991579861727	614.6060180664062	3.385022E7
