,mz,rt,into
1,98.0964065689585,2.16677,146315.629972384
2,171.185540377553,3.42278,229707.83901782
3,185.164869529074,2.16677,72750.9840021563
4,212.212080229106,3.42278,161711.679196093
5,143.154340363664,3.42278,583591.594669941
6,610.864448553962,5.92577,116152.349119898
7,252.216528678194,5.92577,616627.101951934
8,204.066342152695,17.7341,336227.83632334
9,115.122953323625,3.42278,1661559.00454462
10,139.122947041518,3.42278,1373892.9857004
11,139.122895509292,20.234,782232.598795312
12,197.114413377988,32.858,156701.824950937
13,231.113176190903,42.9415,89545.7081607813
14,142.158745086016,34.107,1517389.45439551
15,184.144462825009,46.7349,105412.316411133
16,141.077031399977,46.7349,616418.648301856
17,196.069240986595,46.7349,254811.789970564
18,155.092624158051,47.9845,300100.839316927
19,182.103690356154,47.9845,148656.878654069
20,186.087217553486,47.9845,566926.776509901
21,200.114234673209,46.7349,453403.442743195
22,203.102723938482,47.9845,312814.555200195
23,153.113370353819,49.234,79390.3091350195
24,176.128051066991,47.9845,264324.693161666
25,181.069331897472,50.4835,120015.908266289
26,184.069119558815,47.9845,184027.367788355
27,184.119242664273,47.9845,412863.044975444
28,189.123112972176,47.9845,640752.609843945
29,202.129854345123,50.4835,106507.582791914
30,214.129711213397,49.234,257612.144832552
31,117.077035916056,50.4835,162101.825414004
32,118.049781900802,47.9845,422710.196943209
33,156.132462900715,50.4835,579206.378346019
34,164.128047891688,49.234,329162.645401281
35,169.108329456043,49.234,424319.803217756
36,182.139938812265,50.4835,229597.138941833
37,197.103365083092,47.9845,779663.880490967
38,213.134437311995,47.9845,458001.746762754
39,424.863671829259,11.1123,1249989.91938994
40,424.863674656077,37.9023,808519.783120488
41,85.0759913922646,47.9845,760330.427662354
42,132.076692342042,49.234,725761.7332948
43,145.060697464768,46.7349,392846.873763999
44,174.076027079834,51.7352,287657.168378732
45,198.135009102978,49.234,540610.08779967
46,200.102942467504,49.234,711699.12887959
47,202.118563422007,49.234,662284.013252224
48,228.134045182449,49.234,631095.101299561
49,75.0552948450779,51.7352,375131.431228516
50,100.086847477048,47.9845,705975.572739676
51,130.061081568784,47.9845,604267.219481506
52,154.058573010294,49.234,2810768.49233288
53,180.087922672705,46.7349,1387473.94485037
54,146.092333077024,47.9845,1201569.29707187
55,158.103596188117,49.234,438980.421670195
56,159.087556515765,47.9845,764870.929653394
57,173.103315538462,47.9845,1219941.19397476
58,175.107722374781,51.7352,1019585.16734062
59,187.118933932704,49.234,1167091.81342852
60,188.102899375356,49.234,892640.040394694
61,199.118910746643,47.9845,1770504.71515433
62,118.061050009437,49.234,623397.353714673
63,140.042993721867,47.9845,1793977.14339201
64,185.103292377046,49.234,816764.129878906
65,160.108002245038,49.234,869530.173715864
66,172.107909840294,49.234,1846244.99916138
67,142.110559978746,47.9845,1829308.15970923
68,171.123922353339,49.234,1601602.43090505
69,111.0916462493,17.7341,4478938.68776222
70,158.092371931484,47.9845,2802772.82925574
71,158.111690483363,47.9845,2328326.32638149
72,237.121272628934,5.92577,2645735.40904165
73,172.205856659828,29.0699,9953597.21420455
74,143.09267916944,47.9845,2935777.05452291
75,244.290502126344,35.3567,6790658.38028594
76,185.13964060708,49.234,1429251.84993733
77,107.070261454675,88.3342,72510.7976323047
78,89.0709053888829,102.215,268844.066826904
79,254.138239062271,107.262,74875.2587000001
80,173.092034020928,47.9845,2392484.16458427
81,737.884373727702,141.275,149329.626070312
82,156.113111459656,49.234,1390926.40606709
83,326.158890567638,145.07,72021.3938115235
84,144.076731819344,49.234,1579600.13200254
85,236.117978736345,9.8624,42249300.73767
86,446.845887607273,193.014,1845457.74135106
87,446.845846386973,98.4213,1298735.67284514
88,446.845878483996,152.66,1348446.13631079
89,446.845873582314,118.6,781300.318167579
90,446.845924025216,84.5392,861054.539789062
91,446.846030963687,140.026,1027880.62393269
92,394.177903224569,189.22,73606.8992955079
93,151.011582826532,4.6734,2384655.10492638
94,222.111938029037,196.81,72635.1939667968
95,568.45727002691,204.346,129510.405392578
96,398.173467414608,206.876,824605.178646875
97,399.177539230654,205.592,141604.621210327
98,358.150304172488,206.876,206526.635267857
99,455.144765310606,205.592,123770.011096875
100,486.864395426218,198.061,2358577.03082019
101,311.126295130424,206.876,358059.128979492
102,413.133288923988,206.876,156902.469482143
103,463.110971670271,206.876,155945.922234375
104,278.122916307047,209.361,98744.2910238279
105,357.146757645642,206.876,1787432.45779119
106,371.162433823367,205.592,1493142.39030762
107,412.189092638852,205.592,700365.301368055
108,413.121107244128,206.876,340104.438885498
109,460.293406947257,208.119,544810.295058106
110,476.357907495273,209.361,154639.178987109
111,540.425497744258,206.876,316813.476343316
112,343.131119736252,208.119,545518.391064453
113,350.206354147741,208.119,547082.910914307
114,397.139266921513,206.876,662835.319766406
115,411.15443227964,205.592,779080.67384233
116,416.267139070658,206.876,420870.369015842
117,433.10776293541,206.876,854385.853618707
118,473.100093492351,206.876,737204.204025
119,490.373697718016,209.361,119926.365038086
120,492.404433788106,210.604,134954.61473457
121,504.319986781561,206.876,492762.96702474
122,217.033499296944,211.845,176583.865973772
123,290.188587696692,209.361,433700.561061524
124,434.779730891158,208.119,246409.146245508
125,108.055575635652,47.9845,1856108.39247224
126,113.107234597548,3.42278,4548793.35532467
127,149.01341957525,4.6734,4391480.36237643
128,172.169585315939,204.346,1857405.83621361
129,185.103320729379,211.845,431417.573242188
130,216.066462940806,210.604,553857.591500558
131,260.175640354079,211.845,253128.348417062
132,263.147083710732,211.845,552499.937495118
133,342.236052985473,213.085,270945.908950391
134,344.315780630257,213.085,231094.65190625
135,347.196309072837,211.845,319909.714964925
136,394.24293690647,213.085,181098.457734375
137,412.129103442162,206.876,3074949.17868149
138,820.736953676261,214.323,400808.775341985
139,834.752900273441,213.085,95735.8510474611
140,102.066168446053,47.9845,3079421.72230134
141,116.081800872744,47.9845,3824276.6886419
142,117.065787262323,47.9845,2496562.39309209
143,124.048100101903,214.323,102743.502142969
144,130.097469600167,47.9845,4066842.23091518
145,137.068504352363,213.085,255806.860413412
146,148.096725359804,49.234,1701294.12712148
147,215.035160255023,211.845,733724.591455079
148,273.144221322909,211.845,333420.0603125
149,280.169455930751,211.845,818544.69099384
150,297.07427596096,213.085,363322.756725262
151,301.211263556414,213.085,358671.602197266
152,317.287827172468,213.085,339839.205354687
153,318.169755017815,213.085,650087.140401368
154,329.24228504051,213.085,628662.532070313
155,452.167879292557,214.323,183612.746521094
156,466.175423901837,213.085,721380.548240235
157,86.0712326534133,47.9845,2500062.44727737
158,120.101865078001,49.234,1841449.47348405
159,169.144688513383,47.9845,2335437.54859541
160,219.174156812617,211.845,1097613.44657143
161,258.168233343267,210.604,525443.487868862
162,279.231480877833,214.323,365860.747593193
163,281.247210340668,214.323,780741.655345459
164,284.125393061129,211.845,1025475.33309249
165,293.208615786461,215.56,1102687.83320139
166,300.261220746232,214.323,726028.849261162
167,313.237154888666,216.806,831419.233624999
168,337.052656553259,214.323,471080.322200894
169,358.162262458745,211.845,1875326.64907031
170,411.12579883437,206.876,12782416.3033717
171,413.777968198843,211.845,1387358.86671745
172,451.164257629538,214.323,1610377.1206875
173,468.191172449918,213.085,1604510.61699414
174,473.146279867853,214.323,491822.572533762
175,486.095247992295,215.56,186586.351748047
176,573.465831550444,218.162,1613557.57696214
177,822.752102585552,215.56,166280.16771211
178,128.081789296174,47.9845,3780065.09923945
179,232.117844144634,211.845,3052077.85897083
180,243.287270061881,36.6079,90535311.6261011
181,272.229850791453,215.56,416316.365416666
182,295.226709961903,215.56,716680.479357731
183,318.90001263477,146.322,1852558.51895834
184,318.899898148955,39.1524,13021455.8954627
185,321.239851412311,214.323,2221742.69017535
186,445.069055162749,216.806,4421736.02646627
187,664.456085264087,216.806,1531395.7326375
188,168.113154592602,199.311,14762774.066588
189,168.113093907422,47.9845,9830254.76651509
190,168.113152707284,94.6274,1873357.14374625
191,168.113125565178,117.35,2013978.99451875
192,168.113135690334,128.686,2513654.74065104
193,297.24238986815,214.323,1429268.5297862
194,316.284617820092,214.323,2210315.81642266
195,336.18046855904,213.085,2454231.88455156
196,547.458287455911,220.633,1085142.52863281
197,751.409361569522,218.162,905192.487207031
198,752.406920289102,216.806,563309.10034375
199,239.138800916362,211.845,3408809.69767923
200,293.190744981326,218.162,1935653.98812435
201,299.257915438137,214.323,4609557.31458293
202,326.240688622543,216.806,2532911.60044922
203,347.219250964149,216.806,1472661.37763541
204,405.076701767147,218.162,2445855.61085889
205,428.061492064462,218.162,926055.525886963
206,446.072440713686,218.162,681547.210880859
207,468.085224772535,218.162,733344.143287108
208,659.28631211041,220.633,2695369.02219643
209,802.55460397155,218.162,924509.815480467
210,271.226580583397,216.806,3412517.52323065
211,385.089969722234,218.162,8091654.40290324
212,386.093170204234,219.397,1288130.50256445
213,511.041265087583,218.162,1206995.58184277
214,518.424207302739,220.633,1546375.64117969
215,540.394298135006,220.633,1395620.38709218
216,591.484333027334,219.397,1595315.94109197
217,616.532414661097,219.397,869887.355424107
218,647.458673763844,218.162,8008080.39390625
219,683.366188599611,220.633,1160284.72286523
220,750.405806877207,218.162,2402247.32355682
