beer3-file1 0 8544984.000000 267.191986 183.053161  beer3-file3 0 3973986.250000 262.993988 183.053168  beer3-file2 0 8267060.500000 269.502991 183.053173  
beer3-file1 0 730264.500000 487.890991 159.053141  beer3-file3 0 711304.312500 486.808990 159.053124  beer3-file2 0 589410.187500 488.790985 159.053174  
beer3-file1 0 7522104.000000 239.110992 158.057897  beer3-file3 0 8525574.000000 240.294998 158.057948  beer3-file2 0 7709852.000000 240.376999 158.057950  
beer3-file1 0 6755740.000000 628.815979 89.047689  beer3-file3 0 8761390.000000 629.270996 89.047704  beer3-file2 0 7103291.500000 632.572998 89.047706  
beer3-file1 0 1585506.250000 467.234009 363.154153  beer3-file3 0 1397353.750000 466.299011 363.154101  beer3-file2 0 1518833.375000 466.731995 363.154037  
beer3-file1 0 911088.500000 468.470001 216.099780  beer3-file3 0 999843.875000 468.928986 216.099775  beer3-file2 0 948049.875000 469.384003 216.099710  
beer3-file1 0 103422.078125 239.110992 105.065909  beer3-file2 0 87577.539063 237.889999 105.065927  
beer3-file3 0 156770.781250 663.229004 365.179700  beer3-file2 0 244695.375000 663.806030 365.179764  
beer3-file1 0 413009.437500 507.181000 227.079211  beer3-file2 0 350196.031250 506.585999 227.079228  
beer3-file1 0 92645.171875 560.987000 174.039010  beer3-file2 0 122038.171875 559.580994 174.038972  
beer3-file1 0 15152954.000000 470.942993 229.094999  beer3-file3 0 15064024.000000 470.165009 229.094992  beer3-file2 0 13594521.000000 472.091003 229.094968  
beer3-file1 0 29262550.000000 467.234009 225.121176  beer3-file3 0 26682230.000000 467.691986 225.121202  beer3-file2 0 27381502.000000 466.731995 225.121151  
beer3-file1 0 222291.781250 627.568970 255.110458  beer3-file3 0 360022.843750 629.270996 255.110486  beer3-file2 0 247033.375000 628.831970 255.110566  
beer3-file1 0 210969.953125 295.710999 184.073570  beer3-file3 0 218005.328125 343.938995 184.073691  beer3-file2 0 181840.125000 388.881989 184.073670  
beer3-file1 0 125665.812500 218.244995 250.083831  beer3-file3 0 189254.453125 217.973999 250.083884  beer3-file2 0 138197.250000 219.503998 250.083762  
beer3-file1 0 437768.687500 420.519989 201.100005  beer3-file3 0 382828.437500 337.417999 201.100093  
beer3-file1 0 501578.812500 642.551025 344.131815  beer3-file3 0 772942.187500 643.005005 344.131746  beer3-file2 0 663634.437500 647.552979 344.131732  
beer3-file1 0 691254.812500 454.625000 373.100979  beer3-file2 0 233608.734375 359.729004 373.101021  
beer3-file1 0 144636.671875 1368.750000 578.142953  beer3-file3 0 194159.843750 1373.089966 578.142783  beer3-file2 0 146504.765625 1371.189941 578.142713  
beer3-file1 0 288539.187500 272.359985 376.149761  beer3-file3 0 196048.187500 268.343994 376.149710  
beer3-file1 0 323040.500000 244.410004 144.078631  beer3-file3 0 224646.718750 272.447998 144.078674  beer3-file2 0 297576.343750 240.376999 144.078689  
beer3-file1 0 354403.906250 589.700012 307.083852  beer3-file3 0 388744.250000 588.169983 307.084097  beer3-file2 0 295650.343750 587.286987 307.083813  
beer3-file1 0 14247685.000000 588.458984 174.050435  beer3-file3 0 10193791.000000 586.932007 174.050545  beer3-file2 0 17075742.000000 588.528015 174.050434  
beer3-file1 0 1266756.500000 493.036987 181.037683  beer3-file3 0 1153771.750000 490.523010 181.037615  beer3-file2 0 1430727.125000 495.178986 181.037669  
beer3-file1 0 1358867.625000 812.536011 233.101091  beer3-file3 0 1527770.125000 816.750977 233.101084  beer3-file2 0 1472203.750000 813.216003 233.101085  
beer3-file1 0 351840.250000 484.002014 291.044935  beer3-file3 0 625116.750000 481.859985 291.044914  beer3-file2 0 478139.656250 480.977997 291.044943  
beer3-file3 0 147982.625000 790.950989 370.165962  beer3-file2 0 130644.984375 795.155029 370.165881  
beer3-file1 0 4061634.500000 613.388000 205.064243  beer3-file3 0 2966079.750000 612.989014 205.064435  beer3-file2 0 4124930.750000 612.377991 205.064263  
beer3-file1 0 122922.531250 909.981018 353.147448  beer3-file3 0 164276.593750 907.585999 353.147407  beer3-file2 0 126362.289063 898.476990 353.147432  
beer3-file1 0 345506.656250 440.889008 142.026641  beer3-file3 0 397111.062500 444.856995 142.026640  beer3-file2 0 330852.250000 443.065002 142.026630  
beer3-file1 0 3559776.250000 500.483002 301.113849  beer3-file3 0 963138.750000 412.239014 301.114725  
beer3-file1 0 160678.718750 512.320007 619.219829  beer3-file2 0 141805.109375 515.731995 619.220005  
beer3-file1 0 964782.750000 617.354980 272.100621  beer3-file3 0 958348.937500 619.213989 272.100760  beer3-file2 0 1062533.375000 618.744995 272.100663  
beer3-file1 0 949688.250000 438.406006 176.068488  beer3-file3 0 1337689.375000 437.303986 176.068412  beer3-file2 0 863500.250000 436.819000 176.068470  
beer3-file1 0 113456.718750 815.072998 258.652820  beer3-file3 0 157919.781250 818.015991 258.652747  beer3-file2 0 106141.773438 817.208984 258.652807  
beer3-file1 0 8318906.000000 593.500977 255.074084  beer3-file3 0 8591275.000000 584.416016 255.074315  beer3-file2 0 8514200.000000 593.578003 255.074043  
beer3-file1 0 646067.187500 435.829987 289.064412  beer3-file3 0 1034068.750000 438.544006 289.064429  beer3-file2 0 719355.437500 436.819000 289.064459  
beer3-file1 0 375634.562500 484.002014 268.105776  beer3-file3 0 432101.875000 480.404999 268.105710  beer3-file2 0 323775.437500 482.382996 268.105906  
beer3-file1 0 444143.468750 592.257996 215.079404  beer3-file3 0 418189.312500 591.885986 215.079640  beer3-file2 0 489848.187500 593.578003 215.079368  
beer3-file1 0 228879.781250 235.044006 371.173063  beer3-file3 0 143176.828125 236.216003 371.173491  beer3-file2 0 250914.031250 231.005005 371.173177  
beer3-file1 0 11014748.000000 600.950989 179.079268  beer3-file3 0 12629134.000000 601.830017 179.079441  beer3-file2 0 11670743.000000 601.028015 179.079315  
beer3-file1 0 756840.750000 567.288025 329.147491  beer3-file3 0 762234.375000 569.533997 329.147673  beer3-file2 0 700920.187500 572.379028 329.147307  
beer3-file1 0 173559.703125 882.713013 198.124288  beer3-file2 0 209773.609375 882.781006 198.124270  
beer3-file1 0 12722159.000000 470.942993 275.136741  beer3-file3 0 10342883.000000 471.399994 275.136819  beer3-file2 0 11404140.000000 472.091003 275.136704  
beer3-file1 0 1956959.875000 613.388000 306.092600  beer3-file3 0 1399441.000000 611.752991 306.092971  beer3-file2 0 1843839.750000 612.377991 306.092746  
beer3-file1 0 2291148.000000 595.984985 299.136886  beer3-file3 0 2043671.125000 595.606018 299.137206  beer3-file2 0 2099682.250000 597.304016 299.136894  
beer3-file1 0 654318.937500 264.330994 116.010960  beer3-file3 0 394353.125000 262.993988 116.010959  beer3-file2 0 564442.250000 268.256012 116.010954  
beer3-file1 0 266713.250000 219.483994 236.068191  beer3-file3 0 274832.031250 219.212997 236.068365  beer3-file2 0 241533.125000 222.203003 236.068233  
beer3-file1 0 302275.406250 650.033020 242.100130  beer3-file3 0 395431.468750 645.484009 242.100116  beer3-file2 0 319008.562500 648.794006 242.100070  
beer3-file1 0 430667.343750 464.583008 204.063464  beer3-file3 0 344918.218750 474.044006 204.063501  
beer3-file1 0 802255.500000 470.942993 230.090173  beer3-file3 0 616861.437500 468.928986 230.090017  beer3-file2 0 797393.812500 472.091003 230.089988  
beer3-file1 0 196767.828125 686.518982 188.031997  beer3-file3 0 224253.453125 685.687988 188.032042  beer3-file2 0 169892.359375 686.736023 188.031955  
beer3-file1 0 378301.812500 519.739014 136.073476  beer3-file3 0 395626.250000 503.170990 136.073518  beer3-file2 0 468798.281250 519.443970 136.073510  
beer3-file1 0 9340338.000000 438.406006 267.131622  beer3-file3 0 10087385.000000 438.544006 267.131607  beer3-file2 0 9507924.000000 436.819000 267.131647  
beer3-file1 0 608732.250000 612.151978 184.083148  beer3-file3 0 584499.812500 612.989014 184.083264  beer3-file2 0 600717.625000 614.851013 184.083161  
beer3-file1 0 41120784.000000 539.755005 273.084741  beer3-file3 0 21269594.000000 535.809021 273.084689  beer3-file2 0 41239752.000000 539.466003 273.084647  
beer3-file1 0 3364737.250000 598.468994 211.105433  beer3-file3 0 2574714.750000 596.880005 211.105641  beer3-file2 0 2766293.750000 598.546021 211.105520  
beer3-file1 0 577656.312500 416.798004 357.105735  beer3-file3 0 778239.500000 419.658997 357.105906  beer3-file2 0 671789.437500 418.931000 357.106003  
beer3-file1 0 3447672.500000 468.470001 269.087475  beer3-file3 0 3258874.250000 463.828003 269.087462  beer3-file2 0 3143978.500000 468.148010 269.087367  
beer3-file1 0 1360287.250000 623.559998 277.079616  beer3-file3 0 1464975.125000 624.255981 277.079731  beer3-file2 0 1223850.000000 623.814026 277.079678  
beer3-file1 0 213253.046875 623.559998 201.063609  beer3-file2 0 293162.781250 541.991028 201.063665  
beer3-file1 0 11474191.000000 612.151978 164.068477  beer3-file3 0 12699347.000000 612.989014 164.068611  beer3-file2 0 13363989.000000 613.614014 164.068505  
beer3-file1 0 756052.187500 411.614990 123.051360  beer3-file3 0 460824.125000 415.946014 123.051431  beer3-file2 0 626462.750000 412.733002 123.051409  
beer3-file1 0 68599.359375 135.074005 136.108174  beer3-file3 0 97689.101563 127.625000 136.108174  beer3-file2 0 98922.875000 120.544998 136.108187  
beer3-file1 0 686844.750000 409.089996 340.163322  beer3-file3 0 700865.937500 414.710999 340.163596  beer3-file2 0 532649.375000 411.279999 340.163438  
beer3-file1 0 4085482.750000 418.037994 247.093003  beer3-file3 0 3264036.500000 419.658997 247.093226  beer3-file2 0 4020772.750000 416.450012 247.093188  
beer3-file1 0 142921.546875 219.483994 390.144208  beer3-file3 0 399577.937500 217.973999 390.144290  beer3-file2 0 193433.312500 219.503998 390.144028  
beer3-file1 0 379620.562500 549.716980 106.063009  beer3-file3 0 392606.187500 548.255981 106.063034  beer3-file2 0 321387.000000 549.435974 106.063025  
beer3-file1 0 613794.687500 482.765991 253.116212  beer3-file3 0 590110.500000 481.859985 253.116247  beer3-file2 0 531475.500000 478.506012 253.116195  
beer3-file1 0 1412806.000000 673.992004 163.066632  beer3-file3 0 1532400.375000 675.663025 163.066632  beer3-file2 0 1195003.000000 675.109009 163.066650  
beer3-file1 0 994415.000000 409.089996 213.099936  beer3-file3 0 1073669.875000 414.710999 213.100096  beer3-file2 0 936382.312500 411.279999 213.100070  
beer3-file1 0 130630.203125 265.576996 276.119061  beer3-file2 0 145522.953125 269.502991 276.119127  
beer3-file1 0 200873.468750 210.783997 385.137298  beer3-file3 0 516232.312500 211.608994 385.137231  beer3-file2 0 257805.203125 211.757996 385.136877  
beer3-file1 0 289419.031250 265.576996 330.073942  beer3-file3 0 117629.031250 264.239990 330.073862  beer3-file2 0 195682.000000 270.748993 330.073872  
beer3-file1 0 25519770.000000 636.289001 132.053452  beer3-file3 0 27062518.000000 636.780029 132.053463  beer3-file2 0 23648814.000000 637.585999 132.053485  
beer3-file1 0 398493.500000 554.770020 245.089911  beer3-file2 0 147897.390625 506.585999 245.089868  
beer3-file1 0 2667640.500000 636.289001 158.043969  beer3-file3 0 2708047.500000 633.023010 158.043986  beer3-file2 0 2288914.500000 637.585999 158.044003  
beer3-file1 0 2080643.125000 505.634003 254.126472  beer3-file3 0 2347852.500000 505.656006 254.126529  beer3-file2 0 1961570.000000 506.585999 254.126491  
beer3-file1 0 391442.218750 585.966980 242.042620  beer3-file2 0 356873.437500 586.026001 242.042616  
beer3-file1 0 1351503.250000 418.037994 199.084319  beer3-file3 0 1223207.875000 422.312988 199.084472  beer3-file2 0 1088056.875000 421.412994 199.084433  
beer3-file1 0 2765249.500000 542.280029 279.120725  beer3-file3 0 2651498.500000 542.033020 279.120804  beer3-file2 0 2320726.500000 544.473999 279.120703  
beer3-file1 0 702798.375000 425.720001 219.101158  beer3-file2 0 675360.187500 426.739990 219.101076  
beer3-file1 0 599883.562500 464.583008 297.082286  beer3-file3 0 339983.625000 465.063995 297.082323  beer3-file2 0 512047.156250 465.494995 297.082155  
beer3-file1 0 18472026.000000 567.288025 131.058220  beer3-file3 0 20780360.000000 563.257996 131.058257  beer3-file2 0 16727563.000000 568.616028 131.058196  
beer3-file1 0 1005005.062500 517.265991 176.079674  beer3-file3 0 760436.875000 512.112000 176.079708  beer3-file2 0 929699.875000 518.206970 176.079666  
beer3-file1 0 197070.046875 260.221008 158.094280  beer3-file2 0 205824.031250 261.294006 158.094301  
beer3-file1 0 3249550.250000 491.622009 489.184864  beer3-file3 0 3352435.250000 489.283997 489.184655  beer3-file2 0 3371738.000000 491.265991 489.184961  
beer3-file1 0 9829155.000000 410.325989 242.090047  beer3-file3 0 5881468.000000 415.946014 242.090257  beer3-file2 0 7781598.000000 412.733002 242.090191  
beer3-file1 0 3906225.250000 559.742004 167.079392  beer3-file3 0 3883260.500000 558.273010 167.079385  beer3-file2 0 3015096.250000 559.580994 167.079353  
beer3-file1 0 359647.437500 444.648010 250.056233  beer3-file2 0 371139.000000 443.065002 250.056120  
beer3-file1 0 217738.593750 741.719971 340.173973  beer3-file3 0 301184.125000 746.958008 340.173946  beer3-file2 0 299633.500000 751.413025 340.173928  
beer3-file1 0 125941.312500 282.677002 217.106229  beer3-file2 0 159287.265625 282.687012 217.106209  
beer3-file1 0 476982.781250 512.320007 294.058970  beer3-file2 0 405945.718750 513.255981 294.059002  
beer3-file3 0 251698.625000 623.013977 437.140302  beer3-file2 0 167755.859375 621.223999 437.140154  
beer3-file1 0 3823224.750000 409.089996 239.126707  beer3-file3 0 3377646.000000 414.710999 239.126824  beer3-file2 0 3350818.750000 410.042999 239.126821  
beer3-file1 0 9659914.000000 626.051025 197.089895  beer3-file3 0 9718822.000000 628.026001 197.089950  beer3-file2 0 8788697.000000 697.085022 197.089903  
beer3-file1 0 298389.281250 554.770020 104.047372  beer3-file3 0 296653.593750 554.508972 104.047375  beer3-file2 0 240079.062500 555.677002 104.047343  
beer3-file1 0 984876.937500 418.037994 224.079649  beer3-file3 0 795326.250000 415.946014 224.079741  beer3-file2 0 1188309.375000 420.170990 224.079712  
beer3-file1 0 316642.000000 558.499023 142.037900  beer3-file3 0 358541.156250 550.732971 142.037923  
beer3-file1 0 602183.750000 299.618011 299.148110  beer3-file3 0 285326.000000 288.101990 299.148017  beer3-file2 0 684055.750000 298.518005 299.148043  
beer3-file1 0 736533.500000 512.320007 266.126478  beer3-file3 0 710224.125000 510.876007 266.126620  beer3-file2 0 681402.625000 513.255981 266.126482  
beer3-file1 0 169574.234375 808.689026 121.056139  beer3-file3 0 213186.656250 808.929993 121.056145  beer3-file2 0 178401.875000 806.645020 121.056115  
beer3-file1 0 284559.312500 473.644989 188.068491  beer3-file3 0 336453.375000 474.044006 188.068409  beer3-file2 0 208025.343750 474.566010 188.068456  
beer3-file1 0 445589.781250 260.221008 272.160031  beer3-file3 0 355962.062500 258.893005 272.160272  beer3-file2 0 351938.937500 261.294006 272.160564  
beer3-file1 0 3557995.250000 589.700012 169.095026  beer3-file3 0 3878854.500000 585.653992 169.095165  beer3-file2 0 4567011.000000 588.528015 169.095010  
beer3-file1 0 1548240.125000 542.280029 172.084878  beer3-file3 0 1298389.375000 542.033020 172.084878  beer3-file2 0 1237664.125000 541.991028 172.084812  
beer3-file1 0 2207531.250000 487.890991 186.064096  beer3-file2 0 2327529.250000 491.265991 186.064081  
beer3-file1 0 922277.500000 489.127991 217.095017  beer3-file3 0 1012294.125000 489.283997 217.094917  beer3-file2 0 1024492.000000 493.941010 217.095034  
